triplet_id	ac_id	score_ac	score_ad	delta	rank_value
SCF:0000029	AC:000024	0.72330344	0.65916963	-0.06413381	0
SCF:0000030	AC:000024	0.72330344	0.74568075	0.02237731	1
SCF:0000031	AC:000024	0.72330344	0.73889774	0.01559430	1
SCF:0000032	AC:000028	0.71215993	0.92522681	0.21306688	1
SCF:0000033	AC:000029	0.63100521	0.76141193	0.13040672	1
SCF:0000034	AC:000029	0.63100521	0.62668080	-0.00432441	0
SCF:0000035	AC:000029	0.63100521	0.57187843	-0.05912678	0
SCF:0000036	AC:000032	0.50931810	0.48707683	-0.02224127	0
SCF:0000037	AC:000034	0.64012924	0.79903916	0.15890992	1
SCF:0000038	AC:000034	0.64012924	0.79903916	0.15890992	1
SCF:0000039	AC:000034	0.64012924	0.66587442	0.02574518	1
SCF:0000040	AC:000035	0.99484903	0.93091187	-0.06393716	0
SCF:0000041	AC:000036	0.60901415	0.79679167	0.18777752	1
SCF:0000042	AC:000038	0.54691022	0.62443626	0.07752604	1
SCF:0000043	AC:000039	0.67473897	0.69677669	0.02203772	1
SCF:0000044	AC:000041	0.53321593	0.65903562	0.12581969	1
SCF:0000045	AC:000041	0.53321593	0.53425069	0.00103476	1
SCF:0000046	AC:000041	0.53321593	0.57616483	0.04294890	1
SCF:0000047	AC:000042	0.27358924	0.39841063	0.12482139	1
SCF:0000048	AC:000042	0.27358924	0.47850539	0.20491615	1
SCF:0000049	AC:000042	0.27358924	0.41570295	0.14211371	1
SCF:0000050	AC:000044	0.72802505	0.98150941	0.25348436	1
SCF:0000051	AC:000046	0.71768963	0.58900259	-0.12868704	0
SCF:0000052	AC:000046	0.71768963	0.75786132	0.04017169	1
SCF:0000053	AC:000046	0.71768963	0.75942352	0.04173389	1
SCF:0000054	AC:000048	0.91383123	0.47443229	-0.43939894	0
SCF:0000055	AC:000048	0.91383123	0.85620871	-0.05762252	0
SCF:0000056	AC:000049	0.56318575	0.53399275	-0.02919300	0
SCF:0000057	AC:000049	0.56318575	0.64713423	0.08394848	1
SCF:0000058	AC:000050	0.86823726	0.87535628	0.00711902	1
SCF:0000059	AC:000050	0.86823726	0.63914415	-0.22909311	0
SCF:0000060	AC:000050	0.86823726	0.81365874	-0.05457852	0
SCF:0000061	AC:000050	0.86823726	0.69443012	-0.17380714	0
SCF:0000062	AC:000051	0.51610881	0.42940884	-0.08669997	0
SCF:0000063	AC:000052	0.31450351	0.31696304	0.00245953	1
SCF:0000064	AC:000052	0.31450351	0.62562577	0.31112226	1
SCF:0000065	AC:000053	0.69587531	0.64835654	-0.04751877	0
SCF:0000066	AC:000054	0.60590595	0.66374117	0.05783522	1
SCF:0000067	AC:000055	0.96378137	0.96069183	-0.00308954	0
SCF:0000068	AC:000055	0.96378137	0.97836337	0.01458200	1
SCF:0000069	AC:000056	0.92755630	0.95058405	0.02302775	1
SCF:0000070	AC:000057	0.40887394	0.58718161	0.17830767	1
SCF:0000071	AC:000057	0.40887394	0.41932716	0.01045322	1
SCF:0000072	AC:000057	0.40887394	0.37065632	-0.03821762	0
SCF:0000073	AC:000058	0.60149560	0.46187121	-0.13962439	0
SCF:0000074	AC:000058	0.60149560	0.56946540	-0.03203020	0
SCF:0000075	AC:000063	0.72288796	0.93792475	0.21503679	1
SCF:0000076	AC:000064	0.43658953	0.57916953	0.14258000	1
SCF:0000077	AC:000068	0.95802889	0.87928421	-0.07874468	0
SCF:0000078	AC:000068	0.95802889	0.94327372	-0.01475517	0
SCF:0000079	AC:000070	0.65213860	0.76909328	0.11695468	1
SCF:0000080	AC:000070	0.65213860	0.81370041	0.16156181	1
SCF:0000081	AC:000074	0.65199086	0.56437644	-0.08761442	0
SCF:0000082	AC:000074	0.65199086	0.54365656	-0.10833430	0
SCF:0000083	AC:000074	0.65199086	0.74257234	0.09058148	1
SCF:0000084	AC:000077	0.45220825	0.56736216	0.11515391	1
SCF:0000085	AC:000077	0.45220825	0.58163706	0.12942881	1
SCF:0000086	AC:000077	0.45220825	0.46111269	0.00890444	1
SCF:0000087	AC:000078	0.55019092	0.55061721	0.00042629	1
SCF:0000088	AC:000079	0.41588633	0.64998129	0.23409496	1
SCF:0000089	AC:000081	0.78822686	0.75876309	-0.02946377	0
SCF:0000090	AC:000081	0.78822686	0.81883752	0.03061066	1
SCF:0000091	AC:000083	0.94040909	0.92471406	-0.01569503	0
SCF:0000092	AC:000083	0.94040909	0.87397068	-0.06643841	0
SCF:0000093	AC:000085	0.63275037	0.95891893	0.32616856	1
SCF:0000094	AC:000085	0.63275037	0.73743603	0.10468566	1
SCF:0000095	AC:000087	0.33631162	0.23091525	-0.10539637	0
SCF:0000096	AC:000089	0.90774244	0.90774244	0.00000000	0.5
SCF:0000097	AC:000091	0.65156379	0.49360317	-0.15796062	0
SCF:0000098	AC:000091	0.65156379	0.52833381	-0.12322998	0
SCF:0000099	AC:000091	0.65156379	0.43476588	-0.21679791	0
SCF:0000100	AC:000091	0.65156379	0.60817167	-0.04339212	0
SCF:0000101	AC:000091	0.65156379	0.90174192	0.25017813	1
SCF:0000102	AC:000094	0.56863599	0.52359712	-0.04503887	0
SCF:0000103	AC:000094	0.56863599	0.71885030	0.15021431	1
SCF:0000104	AC:000094	0.56863599	0.64606168	0.07742569	1
SCF:0000105	AC:000095	0.79774985	0.70828731	-0.08946254	0
SCF:0000106	AC:000096	0.78727702	0.72923395	-0.05804307	0
SCF:0000107	AC:000097	0.44210226	0.49597124	0.05386898	1
SCF:0000108	AC:000097	0.44210226	0.37374164	-0.06836062	0
SCF:0000109	AC:000099	0.87877319	0.75392446	-0.12484873	0
SCF:0000110	AC:000099	0.87877319	0.86125177	-0.01752142	0
SCF:0000111	AC:000099	0.87877319	0.69220793	-0.18656526	0
SCF:0000112	AC:000100	0.77655322	0.56437644	-0.21217678	0
SCF:0000113	AC:000103	0.60148097	0.77331954	0.17183857	1
SCF:0000114	AC:000107	0.25084795	0.28303308	0.03218513	1
SCF:0000115	AC:000107	0.25084795	0.37124154	0.12039359	1
SCF:0000116	AC:000107	0.25084795	0.27346028	0.02261233	1
SCF:0000117	AC:000110	0.66729516	0.54597352	-0.12132164	0
SCF:0000118	AC:000111	0.95507669	0.95728949	0.00221280	1
SCF:0000119	AC:000113	0.45052469	0.62172511	0.17120042	1
SCF:0000120	AC:000113	0.45052469	0.64074499	0.19022030	1
SCF:0000121	AC:000114	0.53695512	0.67490250	0.13794738	1
SCF:0000122	AC:000114	0.53695512	0.49707068	-0.03988444	0
SCF:0000123	AC:000116	0.72362707	0.82976710	0.10614003	1
SCF:0000124	AC:000118	0.98233977	0.98894503	0.00660526	1
SCF:0000125	AC:000118	0.98233977	0.95639821	-0.02594156	0
SCF:0000126	AC:000119	0.18602884	0.63625520	0.45022636	1
SCF:0000127	AC:000120	0.85488904	0.61021853	-0.24467051	0
SCF:0000128	AC:000120	0.85488904	0.96645036	0.11156132	1
SCF:0000129	AC:000120	0.85488904	0.66059238	-0.19429666	0
SCF:0000130	AC:000121	0.84142760	0.77221653	-0.06921107	0
SCF:0000131	AC:000122	0.42159993	0.36023579	-0.06136414	0
SCF:0000132	AC:000123	0.68711869	0.74066924	0.05355055	1
SCF:0000133	AC:000123	0.68711869	0.59267954	-0.09443915	0
SCF:0000134	AC:000124	0.61569801	0.86231484	0.24661683	1
SCF:0000135	AC:000124	0.61569801	0.62795884	0.01226083	1
SCF:0000136	AC:000124	0.61569801	0.55986799	-0.05583002	0
SCF:0000137	AC:000125	0.47591619	0.57441842	0.09850223	1
SCF:0000138	AC:000125	0.47591619	0.43299779	-0.04291840	0
SCF:0000139	AC:000126	0.97955161	0.98100573	0.00145412	1
SCF:0000140	AC:000126	0.97955161	0.98354506	0.00399345	1
SCF:0000141	AC:000126	0.97955161	0.98772115	0.00816954	1
SCF:0000142	AC:000126	0.97955161	0.98562971	0.00607810	1
SCF:0000143	AC:000127	0.82070970	0.75124228	-0.06946742	0
SCF:0000144	AC:000129	0.84510362	0.85566524	0.01056162	1
SCF:0000145	AC:000129	0.84510362	0.69612924	-0.14897438	0
SCF:0000146	AC:000129	0.84510362	0.67594859	-0.16915503	0
SCF:0000147	AC:000129	0.84510362	0.72659853	-0.11850509	0
SCF:0000148	AC:000132	0.46185974	0.41050908	-0.05135066	0
SCF:0000149	AC:000132	0.46185974	0.59074261	0.12888287	1
SCF:0000150	AC:000132	0.46185974	0.37680137	-0.08505837	0
SCF:0000151	AC:000133	0.96479511	0.96417686	-0.00061825	0
SCF:0000152	AC:000133	0.96479511	0.97064596	0.00585085	1
SCF:0000153	AC:000133	0.96479511	0.96326950	-0.00152561	0
SCF:0000154	AC:000135	0.54416818	0.64074499	0.09657681	1
SCF:0000155	AC:000136	0.51885262	0.83018210	0.31132948	1
SCF:0000156	AC:000138	0.81744740	0.90157053	0.08412313	1
SCF:0000157	AC:000138	0.81744740	0.88735989	0.06991249	1
SCF:0000158	AC:000139	0.93305083	0.93582440	0.00277357	1
SCF:0000159	AC:000140	0.94235065	0.81935087	-0.12299978	0
SCF:0000160	AC:000140	0.94235065	0.78460226	-0.15774839	0
SCF:0000161	AC:000142	0.98721463	0.98500872	-0.00220591	0
SCF:0000162	AC:000142	0.98721463	0.98370406	-0.00351057	0
SCF:0000163	AC:000142	0.98721463	0.97007895	-0.01713568	0
SCF:0000164	AC:000143	0.36798958	0.30539292	-0.06259666	0
SCF:0000165	AC:000144	0.88187063	0.83625879	-0.04561184	0
SCF:0000166	AC:000144	0.88187063	0.58840178	-0.29346885	0
SCF:0000167	AC:000144	0.88187063	0.53168960	-0.35018103	0
SCF:0000168	AC:000145	0.97431532	0.96481795	-0.00949737	0
SCF:0000169	AC:000146	0.70728493	0.63924104	-0.06804389	0
SCF:0000170	AC:000146	0.70728493	0.72220376	0.01491883	1
SCF:0000171	AC:000148	0.30667979	0.31964976	0.01296997	1
SCF:0000172	AC:000148	0.30667979	0.32519548	0.01851569	1
SCF:0000173	AC:000148	0.30667979	0.31858795	0.01190816	1
SCF:0000174	AC:000150	0.89347109	0.94643727	0.05296618	1
SCF:0000175	AC:000150	0.89347109	0.94156689	0.04809580	1
SCF:0000176	AC:000153	0.91104249	0.94982007	0.03877758	1
SCF:0000177	AC:000153	0.91104249	0.94539240	0.03434991	1
SCF:0000178	AC:000153	0.91104249	0.92659804	0.01555555	1
SCF:0000179	AC:000153	0.91104249	0.93033031	0.01928782	1
SCF:0000180	AC:000153	0.91104249	0.88324800	-0.02779449	0
SCF:0000181	AC:000153	0.91104249	0.78340977	-0.12763272	0
SCF:0000182	AC:000156	0.20856695	0.33583504	0.12726809	1
SCF:0000183	AC:000156	0.20856695	0.32876853	0.12020158	1
SCF:0000184	AC:000158	0.65038577	0.75312933	0.10274356	1
SCF:0000185	AC:000158	0.65038577	0.77353885	0.12315308	1
SCF:0000186	AC:000161	0.41433489	0.58708110	0.17274621	1
SCF:0000187	AC:000162	0.70563765	0.63643447	-0.06920318	0
SCF:0000188	AC:000163	0.94470852	0.93662553	-0.00808299	0
SCF:0000189	AC:000163	0.94470852	0.92581040	-0.01889812	0
SCF:0000190	AC:000164	0.88039065	0.72314823	-0.15724242	0
SCF:0000191	AC:000164	0.88039065	0.84090704	-0.03948361	0
SCF:0000192	AC:000165	0.52887080	0.51531277	-0.01355803	0
SCF:0000193	AC:000165	0.52887080	0.24044697	-0.28842383	0
SCF:0000194	AC:000166	0.99709934	0.99854807	0.00144873	1
SCF:0000195	AC:000167	0.76427070	0.85121797	0.08694727	1
SCF:0000196	AC:000167	0.76427070	0.84744527	0.08317457	1
SCF:0000197	AC:000168	0.87654251	0.91373009	0.03718758	1
SCF:0000198	AC:000170	0.76336622	0.75834987	-0.00501635	0
SCF:0000199	AC:000171	0.62786535	0.51342195	-0.11444340	0
SCF:0000200	AC:000171	0.62786535	0.67363215	0.04576680	1
SCF:0000201	AC:000171	0.62786535	0.45491158	-0.17295377	0
SCF:0000202	AC:000171	0.62786535	0.73318022	0.10531487	1
SCF:0000203	AC:000171	0.62786535	0.54922052	-0.07864483	0
SCF:0000204	AC:000174	0.98567766	0.46658746	-0.51909020	0
SCF:0000205	AC:000174	0.98567766	0.93200693	-0.05367073	0
SCF:0000206	AC:000176	0.36790999	0.51342195	0.14551196	1
SCF:0000207	AC:000176	0.36790999	0.67363215	0.30572216	1
SCF:0000208	AC:000176	0.36790999	0.47228890	0.10437891	1
SCF:0000209	AC:000177	0.33330055	0.37124154	0.03794099	1
SCF:0000210	AC:000177	0.33330055	0.28303308	-0.05026747	0
SCF:0000211	AC:000177	0.33330055	0.29503612	-0.03826443	0
SCF:0000212	AC:000178	0.30888546	0.29503612	-0.01384934	0
SCF:0000213	AC:000178	0.30888546	0.40169421	0.09280875	1
SCF:0000214	AC:000178	0.30888546	0.27346028	-0.03542518	0
SCF:0000215	AC:000179	0.64179114	0.83873343	0.19694229	1
SCF:0000216	AC:000180	0.87803897	0.88953857	0.01149960	1
SCF:0000217	AC:000180	0.87803897	0.89298709	0.01494812	1
SCF:0000218	AC:000182	0.99417370	0.99059889	-0.00357481	0
SCF:0000219	AC:000184	0.63115826	0.51280299	-0.11835527	0
SCF:0000220	AC:000184	0.63115826	0.64176620	0.01060794	1
SCF:0000221	AC:000184	0.63115826	0.89590777	0.26474951	1
SCF:0000222	AC:000184	0.63115826	0.82460331	0.19344505	1
SCF:0000223	AC:000185	0.88230177	0.56643566	-0.31586611	0
SCF:0000224	AC:000186	0.39536713	0.39991647	0.00454934	1
SCF:0000225	AC:000187	0.74204828	0.80299981	0.06095153	1
SCF:0000226	AC:000187	0.74204828	0.94526887	0.20322059	1
SCF:0000227	AC:000187	0.74204828	0.73211765	-0.00993063	0
SCF:0000228	AC:000187	0.74204828	0.70234816	-0.03970012	0
SCF:0000229	AC:000187	0.74204828	0.53029795	-0.21175033	0
SCF:0000230	AC:000187	0.74204828	0.51540323	-0.22664505	0
SCF:0000231	AC:000188	0.49326431	0.43005490	-0.06320941	0
SCF:0000232	AC:000190	0.32397275	0.49669676	0.17272401	1
SCF:0000233	AC:000190	0.32397275	0.52452961	0.20055686	1
SCF:0000234	AC:000190	0.32397275	0.50434765	0.18037490	1
SCF:0000235	AC:000192	0.99701220	0.99546194	-0.00155026	0
SCF:0000236	AC:000192	0.99701220	0.99040931	-0.00660289	0
SCF:0000237	AC:000193	0.68838332	0.84841612	0.16003280	1
SCF:0000238	AC:000193	0.68838332	0.73013568	0.04175236	1
SCF:0000239	AC:000193	0.68838332	0.80741221	0.11902889	1
SCF:0000240	AC:000194	0.60160966	0.52543580	-0.07617386	0
SCF:0000241	AC:000194	0.60160966	0.69594624	0.09433658	1
SCF:0000242	AC:000195	0.97319168	0.97216305	-0.00102863	0
SCF:0000243	AC:000195	0.97319168	0.93904356	-0.03414812	0
SCF:0000244	AC:000195	0.97319168	0.96930775	-0.00388393	0
SCF:0000245	AC:000198	0.95812851	0.94969249	-0.00843602	0
SCF:0000246	AC:000199	0.58656597	0.51412341	-0.07244256	0
SCF:0000247	AC:000199	0.58656597	0.72475380	0.13818783	1
SCF:0000248	AC:000200	0.61584735	0.63296347	0.01711612	1
SCF:0000249	AC:000200	0.61584735	0.63381504	0.01796769	1
SCF:0000250	AC:000200	0.61584735	0.82419569	0.20834834	1
SCF:0000251	AC:000200	0.61584735	0.72201030	0.10616295	1
SCF:0000252	AC:000200	0.61584735	0.83421690	0.21836955	1
SCF:0000253	AC:000201	0.75863749	0.98417613	0.22553864	1
SCF:0000254	AC:000202	0.51504814	0.54410808	0.02905994	1
SCF:0000255	AC:000203	0.61326590	0.59475562	-0.01851028	0
SCF:0000256	AC:000203	0.61326590	0.22344715	-0.38981875	0
SCF:0000257	AC:000203	0.61326590	0.52640712	-0.08685878	0
SCF:0000258	AC:000203	0.61326590	0.56094942	-0.05231648	0
SCF:0000259	AC:000204	0.96103117	0.88189388	-0.07913729	0
SCF:0000260	AC:000205	0.35520455	0.27227453	-0.08293002	0
SCF:0000261	AC:000205	0.35520455	0.55199288	0.19678833	1
SCF:0000262	AC:000208	0.78002589	0.98413218	0.20410629	1
SCF:0000263	AC:000208	0.78002589	0.93704760	0.15702171	1
SCF:0000264	AC:000208	0.78002589	0.46598139	-0.31404450	0
SCF:0000265	AC:000208	0.78002589	0.41564334	-0.36438255	0
SCF:0000266	AC:000209	0.51584017	0.42702755	-0.08881262	0
SCF:0000267	AC:000209	0.51584017	0.41468915	-0.10115102	0
SCF:0000268	AC:000210	0.45471010	0.39381412	-0.06089598	0
SCF:0000269	AC:000210	0.45471010	0.41837050	-0.03633960	0
SCF:0000270	AC:000211	0.82455042	0.85204381	0.02749339	1
SCF:0000271	AC:000212	0.65987444	0.80783308	0.14795864	1
SCF:0000272	AC:000212	0.65987444	0.67175490	0.01188046	1
SCF:0000273	AC:000213	0.81133929	0.85204381	0.04070452	1
SCF:0000274	AC:000214	0.39626085	0.50168195	0.10542110	1
SCF:0000275	AC:000214	0.39626085	0.49344403	0.09718318	1
SCF:0000276	AC:000216	0.66491778	0.62220214	-0.04271564	0
SCF:0000277	AC:000216	0.66491778	0.74836660	0.08344882	1
SCF:0000278	AC:000218	0.71787534	0.79411796	0.07624262	1
SCF:0000279	AC:000218	0.71787534	0.74763360	0.02975826	1
SCF:0000280	AC:000220	0.44980164	0.32024012	-0.12956152	0
SCF:0000281	AC:000220	0.44980164	0.64969315	0.19989151	1
SCF:0000282	AC:000221	0.98559747	0.94123092	-0.04436655	0
SCF:0000283	AC:000221	0.98559747	0.96684644	-0.01875103	0
SCF:0000284	AC:000221	0.98559747	0.97326186	-0.01233561	0
SCF:0000285	AC:000221	0.98559747	0.98227555	-0.00332192	0
SCF:0000286	AC:000221	0.98559747	0.97672671	-0.00887076	0
SCF:0000287	AC:000221	0.98559747	0.94385594	-0.04174153	0
SCF:0000288	AC:000222	0.61480679	0.56122030	-0.05358649	0
SCF:0000289	AC:000223	0.92929193	0.87892054	-0.05037139	0
SCF:0000290	AC:000223	0.92929193	0.91099198	-0.01829995	0
SCF:0000291	AC:000224	0.49451787	0.48585691	-0.00866096	0
SCF:0000292	AC:000226	0.72466543	0.84071118	0.11604575	1
SCF:0000293	AC:000226	0.72466543	0.70890173	-0.01576370	0
SCF:0000294	AC:000227	0.53498364	0.59563069	0.06064705	1
SCF:0000295	AC:000227	0.53498364	0.66811263	0.13312899	1
SCF:0000296	AC:000227	0.53498364	0.62446506	0.08948142	1
SCF:0000297	AC:000228	0.55797437	0.69057759	0.13260322	1
SCF:0000298	AC:000228	0.55797437	0.47391868	-0.08405569	0
SCF:0000299	AC:000229	0.29288993	0.49746947	0.20457954	1
SCF:0000300	AC:000229	0.29288993	0.34975940	0.05686947	1
SCF:0000301	AC:000230	0.49735332	0.57125764	0.07390432	1
SCF:0000302	AC:000230	0.49735332	0.70709591	0.20974259	1
SCF:0000303	AC:000230	0.49735332	0.83120298	0.33384966	1
SCF:0000304	AC:000230	0.49735332	0.47388570	-0.02346762	0
SCF:0000305	AC:000231	0.18543740	0.36179049	0.17635309	1
SCF:0000306	AC:000231	0.18543740	0.36188805	0.17645065	1
SCF:0000307	AC:000231	0.18543740	0.38260977	0.19717237	1
SCF:0000308	AC:000233	0.37905175	0.75083339	0.37178164	1
SCF:0000309	AC:000235	0.70467436	0.62068847	-0.08398589	0
SCF:0000310	AC:000235	0.70467436	0.62127528	-0.08339908	0
SCF:0000311	AC:000235	0.70467436	0.65103495	-0.05363941	0
SCF:0000312	AC:000235	0.70467436	0.70960442	0.00493006	1
SCF:0000313	AC:000235	0.70467436	0.71373087	0.00905651	1
SCF:0000314	AC:000235	0.70467436	0.70737550	0.00270114	1
SCF:0000315	AC:000236	0.66725817	0.66197995	-0.00527822	0
SCF:0000316	AC:000236	0.66725817	0.57733461	-0.08992356	0
SCF:0000317	AC:000236	0.66725817	0.53574521	-0.13151296	0
SCF:0000318	AC:000237	0.87287381	0.90157053	0.02869672	1
SCF:0000319	AC:000237	0.87287381	0.88735989	0.01448608	1
SCF:0000320	AC:000237	0.87287381	0.71350588	-0.15936793	0
SCF:0000321	AC:000240	0.26158498	0.18193598	-0.07964900	0
SCF:0000322	AC:000243	0.49192397	0.64713423	0.15521026	1
SCF:0000323	AC:000243	0.49192397	0.41813704	-0.07378693	0
SCF:0000324	AC:000243	0.49192397	0.51997227	0.02804830	1
SCF:0000325	AC:000245	0.67236106	0.64647520	-0.02588586	0
SCF:0000326	AC:000246	0.71774164	0.79053136	0.07278972	1
SCF:0000327	AC:000247	0.55180947	0.62220214	0.07039267	1
SCF:0000328	AC:000247	0.55180947	0.72510743	0.17329796	1
SCF:0000329	AC:000250	0.58819775	0.70233387	0.11413612	1
SCF:0000330	AC:000251	0.50852832	0.51856280	0.01003448	1
SCF:0000331	AC:000251	0.50852832	0.49360317	-0.01492515	0
SCF:0000332	AC:000251	0.50852832	0.49432179	-0.01420653	0
SCF:0000333	AC:000251	0.50852832	0.46687958	-0.04164874	0
SCF:0000334	AC:000251	0.50852832	0.88880735	0.38027903	1
SCF:0000335	AC:000255	0.52436427	0.57710863	0.05274436	1
SCF:0000336	AC:000257	0.52506318	0.45969232	-0.06537086	0
SCF:0000337	AC:000258	0.52462453	0.73222348	0.20759895	1
SCF:0000338	AC:000258	0.52462453	0.63201311	0.10738858	1
SCF:0000339	AC:000258	0.52462453	0.76440579	0.23978126	1
SCF:0000340	AC:000259	0.48138432	0.48064692	-0.00073740	0
SCF:0000341	AC:000259	0.48138432	0.58285380	0.10146948	1
SCF:0000342	AC:000259	0.48138432	0.63474776	0.15336344	1
SCF:0000343	AC:000259	0.48138432	0.53385997	0.05247565	1
SCF:0000344	AC:000260	0.29480791	0.26460669	-0.03020122	0
SCF:0000345	AC:000260	0.29480791	0.38562662	0.09081871	1
SCF:0000346	AC:000260	0.29480791	0.41037295	0.11556504	1
SCF:0000347	AC:000263	0.68296278	0.77076742	0.08780464	1
SCF:0000348	AC:000267	0.52242575	0.67143124	0.14900549	1
SCF:0000349	AC:000268	0.59424141	0.75624841	0.16200700	1
SCF:0000350	AC:000268	0.59424141	0.62687695	0.03263554	1
SCF:0000351	AC:000268	0.59424141	0.62136028	0.02711887	1
SCF:0000352	AC:000272	0.34954417	0.45648524	0.10694107	1
SCF:0000353	AC:000272	0.34954417	0.51076958	0.16122541	1
SCF:0000354	AC:000273	0.50251872	0.48872118	-0.01379754	0
SCF:0000355	AC:000273	0.50251872	0.32337359	-0.17914513	0
SCF:0000356	AC:000273	0.50251872	0.42698074	-0.07553798	0
SCF:0000357	AC:000273	0.50251872	0.46548707	-0.03703165	0
SCF:0000358	AC:000273	0.50251872	0.52909120	0.02657248	1
SCF:0000359	AC:000276	0.65744966	0.56736216	-0.09008750	0
SCF:0000360	AC:000276	0.65744966	0.66017639	0.00272673	1
SCF:0000361	AC:000276	0.65744966	0.68273443	0.02528477	1
SCF:0000362	AC:000276	0.65744966	0.61724714	-0.04020252	0
SCF:0000363	AC:000278	0.38162695	0.39801249	0.01638554	1
SCF:0000364	AC:000281	0.57949528	0.38004643	-0.19944885	0
SCF:0000365	AC:000283	0.62266543	0.60767530	-0.01499013	0
SCF:0000366	AC:000284	0.69364237	0.65757147	-0.03607090	0
SCF:0000367	AC:000284	0.69364237	0.66506354	-0.02857883	0
SCF:0000368	AC:000284	0.69364237	0.66496654	-0.02867583	0
SCF:0000369	AC:000284	0.69364237	0.73287716	0.03923479	1
SCF:0000370	AC:000284	0.69364237	0.62975542	-0.06388695	0
SCF:0000371	AC:000285	0.85572710	0.69470257	-0.16102453	0
SCF:0000372	AC:000286	0.78472963	0.82769812	0.04296849	1
SCF:0000373	AC:000286	0.78472963	0.74763360	-0.03709603	0
SCF:0000374	AC:000287	0.97755921	0.98222360	0.00466439	1
SCF:0000375	AC:000287	0.97755921	0.97632644	-0.00123277	0
SCF:0000376	AC:000287	0.97755921	0.97333446	-0.00422475	0
SCF:0000377	AC:000287	0.97755921	0.95690125	-0.02065796	0
SCF:0000378	AC:000287	0.97755921	0.97526723	-0.00229198	0
SCF:0000379	AC:000287	0.97755921	0.96222648	-0.01533273	0
SCF:0000380	AC:000288	0.71542069	0.73344144	0.01802075	1
SCF:0000381	AC:000288	0.71542069	0.70883066	-0.00659003	0
SCF:0000382	AC:000292	0.26085716	0.43894077	0.17808361	1
SCF:0000383	AC:000292	0.26085716	0.77815360	0.51729644	1
SCF:0000384	AC:000294	0.47852227	0.68072236	0.20220009	1
SCF:0000385	AC:000294	0.47852227	0.47852232	0.00000005	1
SCF:0000386	AC:000295	0.64832836	0.68840087	0.04007251	1
SCF:0000387	AC:000295	0.64832836	0.67245287	0.02412451	1
SCF:0000388	AC:000296	0.99277270	0.93074822	-0.06202448	0
SCF:0000389	AC:000298	0.28061043	0.43131328	0.15070285	1
SCF:0000390	AC:000298	0.28061043	0.28477673	0.00416630	1
SCF:0000391	AC:000298	0.28061043	0.28303308	0.00242265	1
SCF:0000392	AC:000299	0.62366966	0.69895512	0.07528546	1
SCF:0000393	AC:000299	0.62366966	0.71144518	0.08777552	1
SCF:0000394	AC:000299	0.62366966	0.73543975	0.11177009	1
SCF:0000395	AC:000300	0.87217792	0.93363890	0.06146098	1
SCF:0000396	AC:000301	0.53115005	0.47086582	-0.06028423	0
SCF:0000397	AC:000302	0.98730469	0.98266208	-0.00464261	0
SCF:0000398	AC:000303	0.99651280	0.99799976	0.00148696	1
SCF:0000399	AC:000303	0.99651280	0.99799976	0.00148696	1
SCF:0000400	AC:000303	0.99651280	0.99590888	-0.00060392	0
SCF:0000401	AC:000307	0.65524512	0.51900316	-0.13624196	0
SCF:0000402	AC:000307	0.65524512	0.73232286	0.07707774	1
SCF:0000403	AC:000307	0.65524512	0.81603005	0.16078493	1
SCF:0000404	AC:000309	0.74028406	0.59094875	-0.14933531	0
