pair_id	score_mean	score_sd_across_crop_seeds	score_seed13	score_seed29	score_seed47	score_seed71	score_seed97
SP:0000121	0.84142760	0.00000000	0.84142760	0.84142760	0.84142760	0.84142760	0.84142760
SP:0000122	0.42159993	0.01524408	0.42705076	0.42310001	0.39788219	0.44459249	0.41537420
SP:0000123	0.68711869	0.00801381	0.68843356	0.69728622	0.69394031	0.67698035	0.67895302
SP:0000124	0.61569801	0.02620840	0.62274152	0.63187390	0.61434504	0.56680279	0.64272681
SP:0000125	0.47591619	0.01741301	0.48363376	0.46907309	0.44550399	0.48575886	0.49561126
SP:0000126	0.97955161	0.00000000	0.97955161	0.97955161	0.97955161	0.97955161	0.97955161
SP:0000127	0.82070970	0.00000000	0.82070970	0.82070970	0.82070970	0.82070970	0.82070970
SP:0000129	0.84510362	0.00000000	0.84510362	0.84510362	0.84510362	0.84510362	0.84510362
SP:0000132	0.46185974	0.00000000	0.46185974	0.46185974	0.46185974	0.46185974	0.46185974
SP:0000133	0.96479511	0.00000000	0.96479511	0.96479511	0.96479511	0.96479511	0.96479511
SP:0000135	0.54416818	0.01178622	0.53557147	0.56136257	0.54799310	0.54875584	0.52715795
SP:0000136	0.51885262	0.00748088	0.50768747	0.52944039	0.51372898	0.52117677	0.52222948
SP:0000138	0.81744740	0.00000000	0.81744740	0.81744740	0.81744740	0.81744740	0.81744740
SP:0000139	0.93305083	0.00000004	0.93305085	0.93305076	0.93305085	0.93305085	0.93305085
SP:0000140	0.94235065	0.00000005	0.94235062	0.94235074	0.94235062	0.94235062	0.94235062
SP:0000142	0.98721463	0.00000000	0.98721463	0.98721463	0.98721463	0.98721463	0.98721463
SP:0000143	0.36798958	0.00000000	0.36798958	0.36798958	0.36798958	0.36798958	0.36798958
SP:0000144	0.88187063	0.00000000	0.88187063	0.88187063	0.88187063	0.88187063	0.88187063
SP:0000145	0.97431532	0.00000000	0.97431532	0.97431532	0.97431532	0.97431532	0.97431532
SP:0000146	0.70728493	0.00000000	0.70728493	0.70728493	0.70728493	0.70728493	0.70728493
SP:0000148	0.30667979	0.00000000	0.30667979	0.30667979	0.30667979	0.30667979	0.30667979
SP:0000150	0.89347109	0.00000000	0.89347109	0.89347109	0.89347109	0.89347109	0.89347109
SP:0000153	0.91104249	0.00000000	0.91104249	0.91104249	0.91104249	0.91104249	0.91104249
SP:0000156	0.20856695	0.00000000	0.20856695	0.20856695	0.20856695	0.20856695	0.20856695
SP:0000158	0.65038577	0.00000000	0.65038577	0.65038577	0.65038577	0.65038577	0.65038577
SP:0000161	0.41433489	0.00000000	0.41433489	0.41433489	0.41433489	0.41433489	0.41433489
SP:0000162	0.70563765	0.00000000	0.70563765	0.70563765	0.70563765	0.70563765	0.70563765
SP:0000163	0.94470852	0.00644647	0.95307312	0.94890541	0.93700081	0.93733108	0.94723219
SP:0000164	0.88039065	0.01169256	0.86931192	0.86512372	0.88762018	0.88313755	0.89675987
SP:0000165	0.52887080	0.00000000	0.52887080	0.52887080	0.52887080	0.52887080	0.52887080
SP:0000166	0.99709934	0.00000000	0.99709934	0.99709934	0.99709934	0.99709934	0.99709934
SP:0000167	0.76427070	0.11525816	0.87052211	0.82832677	0.77956972	0.54190910	0.80102580
SP:0000168	0.87654251	0.00000000	0.87654251	0.87654251	0.87654251	0.87654251	0.87654251
SP:0000170	0.76336622	0.00000000	0.76336622	0.76336622	0.76336622	0.76336622	0.76336622
SP:0000171	0.62786535	0.00000000	0.62786535	0.62786535	0.62786535	0.62786535	0.62786535
SP:0000174	0.98567766	0.00000000	0.98567766	0.98567766	0.98567766	0.98567766	0.98567766
SP:0000176	0.36790999	0.00000000	0.36790999	0.36790999	0.36790999	0.36790999	0.36790999
SP:0000177	0.33330055	0.00000000	0.33330055	0.33330055	0.33330055	0.33330055	0.33330055
SP:0000178	0.30888546	0.00000000	0.30888546	0.30888546	0.30888546	0.30888546	0.30888546
SP:0000179	0.64179114	0.00000000	0.64179114	0.64179114	0.64179114	0.64179114	0.64179114
SP:0000180	0.87803897	0.00573053	0.88754496	0.87176198	0.87436309	0.87503606	0.88148877
SP:0000182	0.99417370	0.00000000	0.99417370	0.99417370	0.99417370	0.99417370	0.99417370
SP:0000184	0.63115826	0.09395292	0.68522180	0.77342793	0.59789409	0.60693848	0.49230897
SP:0000185	0.88230177	0.00000000	0.88230177	0.88230177	0.88230177	0.88230177	0.88230177
SP:0000186	0.39536713	0.04716896	0.34413475	0.44806950	0.35262786	0.45501483	0.37698874
SP:0000187	0.74204828	0.04274719	0.81331101	0.75515274	0.70983035	0.68869051	0.74325681
SP:0000188	0.49326431	0.01270103	0.49529656	0.47627085	0.48703188	0.51504694	0.49267531
SP:0000190	0.32397275	0.00000000	0.32397275	0.32397275	0.32397275	0.32397275	0.32397275
SP:0000192	0.99701220	0.00000000	0.99701220	0.99701220	0.99701220	0.99701220	0.99701220
SP:0000193	0.68838332	0.00000000	0.68838332	0.68838332	0.68838332	0.68838332	0.68838332
SP:0000194	0.60160966	0.04087364	0.54125550	0.64850241	0.57634029	0.59727755	0.64467253
SP:0000195	0.97319168	0.00000000	0.97319168	0.97319168	0.97319168	0.97319168	0.97319168
SP:0000198	0.95812851	0.00000000	0.95812851	0.95812851	0.95812851	0.95812851	0.95812851
SP:0000199	0.58656597	0.00000000	0.58656597	0.58656597	0.58656597	0.58656597	0.58656597
SP:0000200	0.61584735	0.04540937	0.62920124	0.65095941	0.56876065	0.55736169	0.67295375
SP:0000201	0.75863749	0.00000000	0.75863749	0.75863749	0.75863749	0.75863749	0.75863749
SP:0000202	0.51504814	0.00000000	0.51504814	0.51504814	0.51504814	0.51504814	0.51504814
SP:0000203	0.61326590	0.00000000	0.61326590	0.61326590	0.61326590	0.61326590	0.61326590
SP:0000204	0.96103117	0.00000000	0.96103117	0.96103117	0.96103117	0.96103117	0.96103117
SP:0000205	0.35520455	0.00000000	0.35520455	0.35520455	0.35520455	0.35520455	0.35520455
SP:0000208	0.78002589	0.03971849	0.80306098	0.76380571	0.70973432	0.82008698	0.80344143
SP:0000209	0.51584017	0.00000000	0.51584017	0.51584017	0.51584017	0.51584017	0.51584017
SP:0000210	0.45471010	0.00000000	0.45471010	0.45471010	0.45471010	0.45471010	0.45471010
SP:0000211	0.82455042	0.00000000	0.82455042	0.82455042	0.82455042	0.82455042	0.82455042
SP:0000212	0.65987444	0.00000000	0.65987444	0.65987444	0.65987444	0.65987444	0.65987444
SP:0000213	0.81133929	0.00000000	0.81133929	0.81133929	0.81133929	0.81133929	0.81133929
SP:0000214	0.39626085	0.01911860	0.36390644	0.41554317	0.40669630	0.40975728	0.38540105
SP:0000216	0.66491778	0.00000002	0.66491780	0.66491780	0.66491780	0.66491780	0.66491774
SP:0000218	0.71787534	0.00000005	0.71787536	0.71787536	0.71787536	0.71787536	0.71787524
SP:0000220	0.44980164	0.00699145	0.46003439	0.45108686	0.43837742	0.45169432	0.44781522
SP:0000221	0.98559747	0.00000000	0.98559747	0.98559747	0.98559747	0.98559747	0.98559747
SP:0000222	0.61480679	0.00000000	0.61480679	0.61480679	0.61480679	0.61480679	0.61480679
SP:0000223	0.92929193	0.00816835	0.92906144	0.91715572	0.93627888	0.93982338	0.92414025
SP:0000224	0.49451787	0.00000000	0.49451787	0.49451787	0.49451787	0.49451787	0.49451787
SP:0000226	0.72466543	0.02958931	0.76146170	0.72398603	0.70784432	0.67928174	0.75075337
SP:0000227	0.53498364	0.00000000	0.53498364	0.53498364	0.53498364	0.53498364	0.53498364
SP:0000228	0.55797437	0.00000000	0.55797437	0.55797437	0.55797437	0.55797437	0.55797437
SP:0000229	0.29288993	0.00000000	0.29288993	0.29288993	0.29288993	0.29288993	0.29288993
SP:0000230	0.49735332	0.02787190	0.44935382	0.52559208	0.48446506	0.52014889	0.50720676
SP:0000231	0.18543740	0.00000000	0.18543740	0.18543740	0.18543740	0.18543740	0.18543740
SP:0000233	0.37905175	0.00000000	0.37905175	0.37905175	0.37905175	0.37905175	0.37905175
SP:0000235	0.70467436	0.00000000	0.70467436	0.70467436	0.70467436	0.70467436	0.70467436
SP:0000236	0.66725817	0.00000000	0.66725817	0.66725817	0.66725817	0.66725817	0.66725817
SP:0000237	0.87287381	0.00000000	0.87287381	0.87287381	0.87287381	0.87287381	0.87287381
SP:0000240	0.26158498	0.00000000	0.26158498	0.26158498	0.26158498	0.26158498	0.26158498
SP:0000243	0.49192397	0.00000000	0.49192397	0.49192397	0.49192397	0.49192397	0.49192397
SP:0000245	0.67236106	0.00000000	0.67236106	0.67236106	0.67236106	0.67236106	0.67236106
SP:0000246	0.71774164	0.00000000	0.71774164	0.71774164	0.71774164	0.71774164	0.71774164
SP:0000247	0.55180947	0.00000000	0.55180947	0.55180947	0.55180947	0.55180947	0.55180947
SP:0000250	0.58819775	0.01336494	0.58780235	0.59351030	0.56571552	0.60710480	0.58685579
SP:0000251	0.50852832	0.00000000	0.50852832	0.50852832	0.50852832	0.50852832	0.50852832
SP:0000255	0.52436427	0.00000000	0.52436427	0.52436427	0.52436427	0.52436427	0.52436427
SP:0000257	0.52506318	0.00616184	0.51684891	0.52037645	0.52404688	0.53314507	0.53089860
SP:0000258	0.52462453	0.00000000	0.52462453	0.52462453	0.52462453	0.52462453	0.52462453
SP:0000259	0.48138432	0.08475808	0.54862180	0.37787425	0.60963550	0.43713413	0.43365594
SP:0000260	0.29480791	0.00000000	0.29480791	0.29480791	0.29480791	0.29480791	0.29480791
SP:0000263	0.68296278	0.00000000	0.68296278	0.68296278	0.68296278	0.68296278	0.68296278
SP:0000267	0.52242575	0.00000000	0.52242575	0.52242575	0.52242575	0.52242575	0.52242575
SP:0000268	0.59424141	0.00000000	0.59424141	0.59424141	0.59424141	0.59424141	0.59424141
SP:0000272	0.34954417	0.00913604	0.35381340	0.33618821	0.35590839	0.34151079	0.36030007
SP:0000273	0.50251872	0.00000000	0.50251872	0.50251872	0.50251872	0.50251872	0.50251872
SP:0000276	0.65744966	0.00000000	0.65744966	0.65744966	0.65744966	0.65744966	0.65744966
SP:0000278	0.38162695	0.03997374	0.33582815	0.43498022	0.34924893	0.36497882	0.42309864
SP:0000281	0.57949528	0.00907379	0.59393624	0.57358009	0.58540974	0.57607622	0.56847410
SP:0000283	0.62266543	0.00460433	0.62561307	0.62604613	0.61413725	0.62608184	0.62144886
SP:0000284	0.69364237	0.02966632	0.69539699	0.66390317	0.66847166	0.74729997	0.69314006
SP:0000285	0.85572710	0.00000000	0.85572710	0.85572710	0.85572710	0.85572710	0.85572710
SP:0000286	0.78472963	0.00000000	0.78472963	0.78472963	0.78472963	0.78472963	0.78472963
SP:0000287	0.97755921	0.00000000	0.97755921	0.97755921	0.97755921	0.97755921	0.97755921
SP:0000288	0.71542069	0.00000000	0.71542069	0.71542069	0.71542069	0.71542069	0.71542069
SP:0000292	0.26085716	0.00000000	0.26085716	0.26085716	0.26085716	0.26085716	0.26085716
SP:0000294	0.47852227	0.00000000	0.47852227	0.47852227	0.47852227	0.47852227	0.47852227
SP:0000295	0.64832836	0.05932240	0.68712267	0.53707498	0.68470144	0.69586137	0.63688132
SP:0000296	0.99277270	0.00000000	0.99277270	0.99277270	0.99277270	0.99277270	0.99277270
SP:0000298	0.28061043	0.01461476	0.25317725	0.29202185	0.28254878	0.29406416	0.28124012
SP:0000299	0.62366966	0.00000000	0.62366966	0.62366966	0.62366966	0.62366966	0.62366966
SP:0000300	0.87217792	0.00000000	0.87217792	0.87217792	0.87217792	0.87217792	0.87217792
SP:0000301	0.53115005	0.02508274	0.49957016	0.52013358	0.53868824	0.57471473	0.52264354
SP:0000302	0.98730469	0.00000000	0.98730469	0.98730469	0.98730469	0.98730469	0.98730469
SP:0000303	0.99651280	0.00000000	0.99651280	0.99651280	0.99651280	0.99651280	0.99651280
SP:0000307	0.65524512	0.02983830	0.65994081	0.64864007	0.64509127	0.70715746	0.61539599
SP:0000309	0.74028406	0.02210733	0.76102233	0.71940607	0.76276121	0.70882987	0.74940082
SP:0000310	0.57116421	0.00276063	0.57359210	0.56696939	0.57474473	0.57053087	0.56998396
SP:0000311	0.99226993	0.00000000	0.99226993	0.99226993	0.99226993	0.99226993	0.99226993
SP:0000313	0.44152954	0.00000000	0.44152954	0.44152954	0.44152954	0.44152954	0.44152954
SP:0000316	0.92622289	0.00680857	0.92997962	0.91771800	0.93107239	0.91836792	0.93397653
SP:0000317	0.74963010	0.02652405	0.69865332	0.76872057	0.76469765	0.74839378	0.76768521
SP:0000319	0.51744139	0.00732967	0.50998970	0.51979808	0.50995428	0.51771884	0.52974607
SP:0000320	0.32339884	0.00000000	0.32339884	0.32339884	0.32339884	0.32339884	0.32339884
SP:0000323	0.49735593	0.00000000	0.49735593	0.49735593	0.49735593	0.49735593	0.49735593
SP:0000324	0.38774367	0.02682920	0.33883703	0.41936747	0.40185870	0.38813332	0.39052184
SP:0000325	0.92746760	0.00000004	0.92746761	0.92746761	0.92746761	0.92746761	0.92746752
SP:0000328	0.95116140	0.00000002	0.95116142	0.95116142	0.95116142	0.95116142	0.95116135
SP:0000329	0.71511440	0.00441907	0.71698412	0.72245926	0.71120772	0.71013141	0.71478951
SP:0000330	0.40679706	0.00000005	0.40679709	0.40679709	0.40679709	0.40679709	0.40679696
SP:0000331	0.53070344	0.02407211	0.48674103	0.54867033	0.55422938	0.53846938	0.52540709
SP:0000333	0.72487483	0.01905202	0.74058354	0.70415392	0.70677608	0.75292507	0.71993554
SP:0000334	0.67772660	0.01636995	0.68663520	0.64706177	0.69245782	0.67497429	0.68750393
SP:0000335	0.89840558	0.00000000	0.89840558	0.89840558	0.89840558	0.89840558	0.89840558
SP:0000336	0.15635162	0.00000005	0.15635160	0.15635160	0.15635160	0.15635173	0.15635160
SP:0000338	0.30326216	0.00000018	0.30326224	0.30326224	0.30326224	0.30326180	0.30326224
SP:0000339	0.56365969	0.00000021	0.56365958	0.56365958	0.56365958	0.56366012	0.56365958
SP:0000340	0.60802885	0.00562372	0.60799835	0.60403966	0.61516375	0.61304609	0.59989640
SP:0000342	0.92634573	0.00000000	0.92634573	0.92634573	0.92634573	0.92634573	0.92634573
SP:0000343	0.68893712	0.04101667	0.70709692	0.73273367	0.67622672	0.61537650	0.71325177
SP:0000345	0.60819150	0.07505925	0.51323480	0.64733455	0.71850741	0.62546931	0.53641143
SP:0000346	0.92116350	0.00000000	0.92116350	0.92116350	0.92116350	0.92116350	0.92116350
SP:0000348	0.52553931	0.00000000	0.52553931	0.52553931	0.52553931	0.52553931	0.52553931
SP:0000352	0.45458017	0.00000000	0.45458017	0.45458017	0.45458017	0.45458017	0.45458017
SP:0000355	0.48631855	0.00000000	0.48631855	0.48631855	0.48631855	0.48631855	0.48631855
SP:0000356	0.49868263	0.00000000	0.49868263	0.49868263	0.49868263	0.49868263	0.49868263
SP:0000357	0.90937221	0.00000000	0.90937221	0.90937221	0.90937221	0.90937221	0.90937221
SP:0000359	0.62628273	0.00210428	0.62487943	0.62541389	0.63008204	0.62413805	0.62690026
SP:0000366	0.88271414	0.00547546	0.88574332	0.88584447	0.87263322	0.88796231	0.88138739
SP:0000371	0.52518546	0.00000000	0.52518546	0.52518546	0.52518546	0.52518546	0.52518546
SP:0000375	0.97739613	0.00000000	0.97739613	0.97739613	0.97739613	0.97739613	0.97739613
SP:0000376	0.70779873	0.04292751	0.69269227	0.65518641	0.77381876	0.67817266	0.73912355
SP:0000381	0.94135624	0.00491220	0.94191074	0.93684369	0.93761450	0.95051339	0.93989888
SP:0000384	0.58815071	0.05608051	0.62013611	0.63227201	0.49279082	0.63946971	0.55608492
SP:0000385	0.51674453	0.02034795	0.50963628	0.55449143	0.50092921	0.52016914	0.49849659
SP:0000387	0.95123677	0.00179344	0.95050511	0.95063120	0.95179645	0.94892698	0.95432412
SP:0000388	0.98429632	0.00000000	0.98429632	0.98429632	0.98429632	0.98429632	0.98429632
SP:0000392	0.37991116	0.00000000	0.37991116	0.37991116	0.37991116	0.37991116	0.37991116
SP:0000393	0.65513105	0.06044580	0.54398912	0.69818820	0.69069904	0.70506638	0.63771252
SP:0000394	0.74063086	0.00000000	0.74063086	0.74063086	0.74063086	0.74063086	0.74063086
SP:0000399	0.51345232	0.00000000	0.51345232	0.51345232	0.51345232	0.51345232	0.51345232
SP:0000400	0.34516669	0.00233773	0.34358283	0.34898627	0.34358283	0.34677803	0.34290350
SP:0000402	0.99313000	0.00000000	0.99313000	0.99313000	0.99313000	0.99313000	0.99313000
SP:0000404	0.70041081	0.00000000	0.70041081	0.70041081	0.70041081	0.70041081	0.70041081
SP:0000407	0.51220782	0.03830695	0.55900407	0.50298506	0.45553646	0.49287637	0.55063715
SP:0000410	0.88789469	0.00000000	0.88789469	0.88789469	0.88789469	0.88789469	0.88789469
SP:0000412	0.58798872	0.00000000	0.58798872	0.58798872	0.58798872	0.58798872	0.58798872
SP:0000414	0.38344001	0.00000000	0.38344001	0.38344001	0.38344001	0.38344001	0.38344001
SP:0000419	0.53234366	0.00000000	0.53234366	0.53234366	0.53234366	0.53234366	0.53234366
SP:0000422	0.74122525	0.00000000	0.74122525	0.74122525	0.74122525	0.74122525	0.74122525
SP:0000424	0.98473230	0.00000000	0.98473230	0.98473230	0.98473230	0.98473230	0.98473230
SP:0000425	0.99701098	0.00000000	0.99701098	0.99701098	0.99701098	0.99701098	0.99701098
SP:0000426	0.92100528	0.00000000	0.92100528	0.92100528	0.92100528	0.92100528	0.92100528
SP:0000427	0.46191717	0.03007242	0.50460228	0.43819294	0.48682222	0.45663537	0.42333304
SP:0000428	0.70659022	0.00000000	0.70659022	0.70659022	0.70659022	0.70659022	0.70659022
SP:0000429	0.50462735	0.03727271	0.54999201	0.45367522	0.53256184	0.46833241	0.51857526
SP:0000430	0.94997448	0.00000000	0.94997448	0.94997448	0.94997448	0.94997448	0.94997448
SP:0000432	0.51390788	0.05733948	0.50326835	0.41992977	0.55704737	0.50138496	0.58790896
SP:0000433	0.98714936	0.00000000	0.98714936	0.98714936	0.98714936	0.98714936	0.98714936
SP:0000437	0.67108756	0.01113615	0.66382023	0.66974598	0.69278043	0.66669965	0.66239152
SP:0000438	0.82506078	0.01932622	0.81498790	0.81213453	0.80231378	0.85212809	0.84373960
SP:0000439	0.96493798	0.00000000	0.96493798	0.96493798	0.96493798	0.96493798	0.96493798
SP:0000443	0.86730760	0.00000000	0.86730760	0.86730760	0.86730760	0.86730760	0.86730760
SP:0000444	0.97953260	0.00000000	0.97953260	0.97953260	0.97953260	0.97953260	0.97953260
SP:0000447	0.41472615	0.00000000	0.41472615	0.41472615	0.41472615	0.41472615	0.41472615
SP:0000450	0.60494265	0.00000000	0.60494265	0.60494265	0.60494265	0.60494265	0.60494265
SP:0000451	0.75384239	0.00000000	0.75384239	0.75384239	0.75384239	0.75384239	0.75384239
SP:0000453	0.48762681	0.00999962	0.49567586	0.46872270	0.48660411	0.49532968	0.49180171
SP:0000456	0.63748320	0.00000000	0.63748320	0.63748320	0.63748320	0.63748320	0.63748320
SP:0000458	0.47454023	0.00000000	0.47454023	0.47454023	0.47454023	0.47454023	0.47454023
SP:0000459	0.83627325	0.00000012	0.83627349	0.83627319	0.83627319	0.83627319	0.83627319
SP:0000461	0.72135063	0.00000002	0.72135058	0.72135064	0.72135064	0.72135064	0.72135064
SP:0000462	0.79179880	0.02900467	0.75721237	0.81652674	0.80769848	0.75616214	0.82139427
SP:0000465	0.51229834	0.00000002	0.51229830	0.51229835	0.51229835	0.51229835	0.51229835
SP:0000467	0.95909029	0.00000000	0.95909029	0.95909029	0.95909029	0.95909029	0.95909029
SP:0000469	0.44335427	0.00000000	0.44335427	0.44335427	0.44335427	0.44335427	0.44335427
SP:0000470	0.95645883	0.00000000	0.95645883	0.95645883	0.95645883	0.95645883	0.95645883
SP:0000475	0.31246162	0.00000000	0.31246162	0.31246162	0.31246162	0.31246162	0.31246162
SP:0000477	0.47020930	0.01384568	0.48217194	0.45376494	0.46214007	0.46232292	0.49064663
SP:0000479	0.74859494	0.00000000	0.74859494	0.74859494	0.74859494	0.74859494	0.74859494
SP:0000480	0.36952950	0.00000000	0.36952950	0.36952950	0.36952950	0.36952950	0.36952950
SP:0000481	0.56200181	0.00000000	0.56200181	0.56200181	0.56200181	0.56200181	0.56200181
SP:0000482	0.99319813	0.00000000	0.99319813	0.99319813	0.99319813	0.99319813	0.99319813
SP:0000485	0.85419431	0.00000000	0.85419431	0.85419431	0.85419431	0.85419431	0.85419431
SP:0000488	0.50468628	0.11563888	0.39447295	0.39516290	0.63502735	0.65363098	0.44513726
SP:0000489	0.41527880	0.00000000	0.41527880	0.41527880	0.41527880	0.41527880	0.41527880
SP:0000491	0.94734791	0.00000000	0.94734791	0.94734791	0.94734791	0.94734791	0.94734791
SP:0000492	0.60823787	0.00000000	0.60823787	0.60823787	0.60823787	0.60823787	0.60823787
SP:0000494	0.53164936	0.00000000	0.53164936	0.53164936	0.53164936	0.53164936	0.53164936
SP:0000496	0.54067652	0.00000000	0.54067652	0.54067652	0.54067652	0.54067652	0.54067652
SP:0000498	0.61603591	0.00000000	0.61603591	0.61603591	0.61603591	0.61603591	0.61603591
SP:0000499	0.82850461	0.01996441	0.85265595	0.83624115	0.80196017	0.80807248	0.84359330
SP:0000500	0.73457262	0.00000000	0.73457262	0.73457262	0.73457262	0.73457262	0.73457262
