triplet_id	anchor	c_structure	c_random	d	taxon_c	permutation_status
SCF:0000195	P38550	A0A1S3ZSI0	A0A1S4BFK7	A0A1S3YXM6	4097	ok
SCF:0000196	P38550	A0A1S3ZSI0	A0A1S3YEW3	A0AA96C3P8	4097	ok
SCF:0000197	C3SYP2	W8T6F0	C3SR52	C3SRY2	562	ok
SCF:0000199	Q1HFW0	Q1HFX0	Q1HFW2	W7XJB1	5911	ok
SCF:0000200	Q1HFW0	Q1HFX0	Q1HFW2	Q1HFV9	5911	ok
SCF:0000201	Q1HFX0	Q1HFW0	Q1HFX1	Q1HFW2	5911	ok
SCF:0000202	Q1HFX0	Q1HFW0	Q1HGH8	Q1HFV9	5911	ok
SCF:0000203	Q1HFX0	Q1HFW0	Q1HGH8	W7XJB1	5911	ok
SCF:0000206	Q1HFW0	Q1HFW2	Q1HFX0	W7XJB1	5911	ok
SCF:0000207	Q1HFW0	Q1HFW2	Q1HFX0	Q1HFV9	5911	ok
SCF:0000208	Q1HFW2	Q1HFW0	Q1HGH8	Q1HFV9	5911	ok
SCF:0000209	P59768	Q96RJ0	P49427	P28223	9606	ok
SCF:0000210	P59768	Q96RJ0	P35346	P21728	9606	ok
SCF:0000211	P59768	Q96RJ0	P35346	P30872	9606	ok
SCF:0000212	P59768	P35346	Q96RJ0	P30872	9606	ok
SCF:0000213	P59768	P35346	Q96RJ0	P30874	9606	ok
SCF:0000214	P59768	P35346	Q96L50	P41143	9606	ok
SCF:0000215	P19947	O31742	P21476	P42924	224308	ok
SCF:0000216	Q8DJD9	Q8DKF5	P59087	Q8DMR6	197221	ok
SCF:0000217	Q8DJD9	Q8DKF5	Q8DMP8	Q8DKY0	197221	ok
SCF:0000219	P19658	P33332	P32910	P22224	559292	ok
SCF:0000220	P33332	P19658	P32910	P32844	559292	ok
SCF:0000221	P33332	P19658	Q02792	P89102	559292	ok
SCF:0000222	P33332	P19658	P54784	Q06245	559292	ok
SCF:0000224	P16370	Q02792	P19658	P19263	559292	ok
SCF:0000225	P30665	P54784	P19658	P53091	559292	ok
SCF:0000226	P30665	P54784	P06839	Q08032	559292	ok
SCF:0000227	P30665	P54784	P06839	P29469	559292	ok
SCF:0000228	P54784	P30665	Q06675	P24279	559292	ok
SCF:0000229	P54784	P30665	Q06675	P38132	559292	ok
SCF:0000230	P54784	P30665	Q12277	P53091	559292	ok
SCF:0000231	A0A140G1Q3	A0A1S4BFK7	A0A1S3ZSI0	A0A1S4D4H1	4097	ok
SCF:0000232	P62877	Q96L50	P35346	Q9BT78	9606	ok
SCF:0000233	P62877	Q96L50	P40337	Q9UNS2	9606	ok
SCF:0000234	P62877	Q96L50	Q6PJ56	Q7L5N1	9606	ok
SCF:0000237	P0AG63	P0A7G2	P69222	P02358	83333	ok
SCF:0000238	P0AG63	P0A7G2	P0ACJ8	P0A7R9	83333	ok
SCF:0000239	P0AG63	P0A7G2	P0ACJ8	P0A7X3	83333	ok
SCF:0000240	P14736	P06839	P54784	Q00578	559292	ok
SCF:0000241	P14736	P06839	P54784	P32776	559292	ok
SCF:0000248	P49735	Q9XYU0	Q9VBI1	Q9VGW6	7227	ok
SCF:0000249	P49735	Q9XYU0	Q9VBI1	Q9V461	7227	ok
SCF:0000250	Q9XYU0	P49735	Q9VBI1	Q9XYU1	7227	ok
SCF:0000251	Q9XYU0	P49735	Q9VBI1	Q9V461	7227	ok
SCF:0000254	P62877	P40337	Q96L50	P63208	9606	ok
SCF:0000255	P61769	Q6PJ56	Q96L50	P0DTU4	9606	ok
SCF:0000256	P61769	Q6PJ56	Q9BXJ9	P60709	9606	ok
SCF:0000257	P61769	Q6PJ56	Q9BXJ9	K7N5M4	9606	ok
SCF:0000258	Q6PJ56	P61769	Q9BXJ9	P01887	9606	ok
SCF:0000260	E1C9K6	A0A0M3KL13	E1C9K9	Q9S7N7	3888	ok
SCF:0000261	E1C9K6	A0A0M3KL13	A0A0F6NGI2	E1C9L3	3888	ok
SCF:0000262	P36578	Q9BXJ9	Q6PJ56	Q9NVU7	9606	ok
SCF:0000263	P36578	Q9BXJ9	Q6PJ56	Q9BZE4	9606	ok
SCF:0000264	P36578	Q9BXJ9	P61769	Q9Y262	9606	ok
SCF:0000265	Q9BXJ9	P36578	P43627	P50579	9606	ok
SCF:0000266	P61769	P43627	P36578	P43629	9606	ok
SCF:0000267	P61769	P43627	Q15369	Q8N423	9606	ok
SCF:0000268	P63104	Q15369	P43627	P68431	9606	ok
SCF:0000269	Q15369	P63104	O15514	Q13084	9606	ok
SCF:0000271	Q2V2P8	Q06675	P30665	P38313	559292	ok
SCF:0000272	Q2V2P8	Q06675	P30665	Q12493	559292	ok
SCF:0000273	A0A4V8H007	A0A4V8H002	A0A4V8H004	A0A4V8GZZ9	325651	ok
SCF:0000274	P47047	Q12277	P30665	P38792	559292	ok
SCF:0000275	Q12277	P47047	P47076	Q12149	559292	ok
SCF:0000276	P01887	Q5R1F1	P04214	P01738	10090	ok
SCF:0000277	Q5R1F1	P01887	Q99JY9	P04214	10090	ok
SCF:0000288	P60002	O15514	P63104	A0A287ADR4	9606	ok
SCF:0000291	A6QRA1	O81097	Q9SUI7	Q9FJ98	3702	ok
SCF:0000292	A0A0F6NGI2	P09911	E1C9L2	P16002	3888	ok
SCF:0000293	P09911	A0A0F6NGI2	A0A0M3KL13	A0A0F6NFW5	3888	ok
SCF:0000294	P20436	P47076	P47047	P13393	559292	ok
SCF:0000295	P20436	P47076	P53063	P20433	559292	ok
SCF:0000296	P20436	P47076	P53256	P20435	559292	ok
SCF:0000299	P63096	Q07325	P60900	P09341	9606	ok
SCF:0000300	P63096	Q07325	P60900	P48061	9606	ok
SCF:0000301	P0A8T7	P0ACJ8	P0A7G2	P0AGB6	83333	ok
SCF:0000302	P0A8T7	P0ACJ8	P0A7G2	P0A7W1	83333	ok
SCF:0000303	P0A8T7	P0ACJ8	P0A7G2	P0A7V3	83333	ok
SCF:0000304	P0ACJ8	P0A8T7	P0A7G2	P0A8V2	83333	ok
SCF:0000305	Q9BT73	P60900	Q07325	P25788	9606	ok
SCF:0000306	Q9BT73	P60900	Q07325	P28066	9606	ok
SCF:0000307	Q9BT73	P60900	Q8N5F4	P25786	9606	ok
SCF:0000308	P22139	P53063	P47076	P41896	559292	ok
SCF:0000309	P0DOX5	Q8N5F4	P60900	B9A064	9606	ok
SCF:0000310	P0DOX5	Q8N5F4	O15446	P0DOX7	9606	ok
SCF:0000312	Q8N5F4	P0DOX5	O15446	P01857	9606	ok
SCF:0000314	Q8N5F4	P0DOX5	P20618	Q6N089	9606	ok
SCF:0000315	Q22MV2	Q22R86	Q24CL2	Q1HFV9	312017	ok
SCF:0000316	Q22MV2	Q22R86	Q23YW7	W7XJB1	312017	ok
SCF:0000317	Q22MV2	Q22R86	Q240X9	Q1HFW2	312017	ok
SCF:0000323	P0DPB6	O15446	Q8N5F4	P05423	9606	ok
SCF:0000324	P0DPB6	O15446	P0DOX5	Q9GZS1	9606	ok
SCF:0000325	A0A3B6IU74	W5I035	A0A3B6KRQ3	W5BFB7	4565	ok
SCF:0000327	P01887	P04214	Q5R1F1	P01738	10090	ok
SCF:0000328	P04214	P01887	P61161	P01837	10090	ok
SCF:0000329	P06505	A0A9R0K533	A0A9R0JBX6	A0A9R0K7U8	3562	ok
SCF:0000330	O95456	P20618	P0DOX5	P28066	9606	ok
SCF:0000331	O95456	P20618	P50148	P60900	9606	ok
SCF:0000332	O95456	P20618	P50148	P25789	9606	ok
SCF:0000333	P20618	O95456	P30989	P48556	9606	ok
SCF:0000334	P20618	O95456	P30989	O14818	9606	ok
SCF:0000335	P92276	A0A2K3E6S5	A8J353	P12853	3055	ok
SCF:0000336	A0A2K3CYB6	A8HUP3	A8IJY7	A0A2K3DHV6	3055	ok
SCF:0000337	P0A7W7	P0A7G2	P0ACJ8	P02358	83333	ok
SCF:0000338	P0A7W7	P0A7G2	P0A8T7	P0A7R9	83333	ok
SCF:0000339	P0A7W7	P0A7G2	P0A9E2	P0A7X3	83333	ok
SCF:0000340	Q22A67	Q240X9	W7WX86	Q1HGH8	312017	ok
SCF:0000341	Q22A67	Q240X9	Q24DJ0	Q24DI9	312017	ok
SCF:0000342	Q22A67	Q240X9	Q24DJ0	Q1HFV9	312017	ok
SCF:0000343	Q240X9	Q22A67	Q22R86	I7M9J2	312017	ok
SCF:0000349	Q24DJ0	W7WX86	Q240X9	I7MDA9	312017	ok
SCF:0000350	W7WX86	Q24DJ0	Q240X9	Q23YW7	312017	ok
SCF:0000351	W7WX86	Q24DJ0	Q22A67	I7LT80	312017	ok
SCF:0000354	P30989	P50148	P20618	P29992	9606	ok
SCF:0000355	P30989	P50148	P20618	P63096	9606	ok
SCF:0000356	P50148	P30989	O95456	P32239	9606	ok
SCF:0000357	P50148	P30989	O95456	P49683	9606	ok
SCF:0000358	P50148	P30989	Q9NV88	Q969F8	9606	ok
SCF:0000359	A8IH07	A8IXD6	A0A2K3DQ46	A8IL21	3055	ok
SCF:0000360	A8IH07	A8IXD6	A0A2K3DQ46	A8IJ60	3055	ok
SCF:0000361	A8IXD6	A8IH07	A0A2K3DLI2	A8IJ60	3055	ok
SCF:0000362	A8IXD6	A8IH07	A0A2K3DLI2	A8IL21	3055	ok
SCF:0000363	P47047	P53256	P47076	P38801	559292	ok
SCF:0000364	Q9BQ15	Q9NV88	P30989	Q5TA45	9606	ok
SCF:0000366	P29496	P54791	Q12509	P54790	559292	ok
SCF:0000367	P29496	P54791	P02309	P32833	559292	ok
SCF:0000368	P54791	P29496	Q02792	P29469	559292	ok
SCF:0000369	P54791	P29496	P40352	P24279	559292	ok
SCF:0000370	P54791	P29496	Q04307	P53091	559292	ok
SCF:0000372	P02309	Q12509	P54791	P53298	559292	ok
SCF:0000373	Q12509	P02309	P54791	P61830	559292	ok
SCF:0000382	P41227	P84098	Q03431	G1SGX4	9606	ok
SCF:0000383	P84098	P41227	Q03431	Q9UKD2	9606	ok
SCF:0000389	P59768	Q03431	P84098	Q16602	9606	ok
SCF:0000390	P59768	Q03431	P41227	Q9UP38	9606	ok
SCF:0000391	P59768	Q03431	Q16531	P21728	9606	ok
SCF:0000392	Q2FW16	Q2FW08	Q2G113	Q2FXS8	93061	ok
SCF:0000393	Q2FW16	Q2FW08	Q2FW20	Q2FW11	93061	ok
SCF:0000394	Q2FW16	Q2FW08	Q2FW20	Q931G5	93061	ok
SCF:0000395	A0A0M3KL10	E1C9L2	P09911	E1C9L1	3888	ok
SCF:0000396	W7XJB1	I7M9J2	Q24C31	Q22A67	312017	ok
SCF:0000398	Q9F1K9	Q8DMP8	Q8DKF5	Q8DHJ2	197221	ok
SCF:0000399	Q9F1K9	Q8DMP8	Q8DG60	D0VWR5	197221	ok
SCF:0000400	Q9F1K9	Q8DMP8	Q8DIF8	Q9F1R6	197221	ok
SCF:0000404	P62877	Q16531	Q03431	Q86VP6	9606	ok
SCF:0000405	P62877	Q16531	Q9NV88	Q93034	9606	ok
SCF:0000406	Q6P4I2	Q9NV88	Q16531	Q5TA45	9606	ok
SCF:0000414	A0A1S3XP85	A0A1S3YXM6	A0A1S4CKK0	A0A1S3ZSI0	4097	ok
SCF:0000415	A0A1S3YXM6	A0A1S3XP85	A0A1S3X147	A0A1S3YEW3	4097	ok
SCF:0000416	A0A1S3YXM6	A0A1S3XP85	A0A1S3X147	A0A1S3YU01	4097	ok
SCF:0000417	P20435	Q02792	P29496	P22138	559292	ok
SCF:0000418	C4R7L2	C4QXY9	C4R5R1	F2QQ42	644223	ok
SCF:0000419	Q92966	O15160	O14625	Q16533	9606	ok
SCF:0000420	P27999	P40352	P29496	P27692	559292	ok
SCF:0000424	I7MG46	Q24C31	I7M9J2	Q23YW7	312017	ok
SCF:0000425	I7MG46	Q24C31	Q24CE5	Q23S05	312017	ok
SCF:0000426	I7MG46	Q24C31	Q22R86	A4VD15	312017	ok
SCF:0000427	Q24C31	I7MG46	Q22R86	I7LT80	312017	ok
SCF:0000428	Q24C31	I7MG46	I7M6H4	Q24DJ0	312017	ok
SCF:0000429	P63096	O14625	O15160	P09341	9606	ok
SCF:0000430	P63096	O14625	O14818	P48061	9606	ok
SCF:0000431	P40359	P29469	Q04307	P29496	559292	ok
SCF:0000432	P40359	P29469	P13393	P24279	559292	ok
SCF:0000433	P40359	P29469	P13393	P38132	559292	ok
SCF:0000438	A0A3B6IU74	A0A3B6KRQ3	W5I035	W5C8N6	4565	ok
SCF:0000439	A0A3B6IU74	A0A3B6KRQ3	W5FPA7	A0A3B6RED0	4565	ok
SCF:0000440	Q9BT73	O14818	O14625	P28066	9606	ok
SCF:0000441	Q9BT73	O14818	Q9HAD4	P25786	9606	ok
SCF:0000442	Q9BT73	O14818	Q9HAD4	P25788	9606	ok
SCF:0000443	P84077	Q9HAD4	O14818	P04439	9606	ok
SCF:0000444	P84077	Q9HAD4	O14818	P36578	9606	ok
SCF:0000445	P84077	Q9HAD4	Q96GM5	P35585	9606	ok
SCF:0000446	A0A4V8H005	A0A4V8H004	A0A4V8H002	A0A4V8GZZ9	325651	ok
SCF:0000448	P68431	Q96GM5	Q9HAD4	Q12432	9606	ok
SCF:0000449	P68431	Q96GM5	Q7KZ85	Q9Y230	9606	ok
SCF:0000450	A0A3Q7G7F0	A0A3Q7I881	A0A3Q7HSH1	K4ATQ2	4081	ok
SCF:0000451	A0A3Q7I881	A0A3Q7G7F0	A0A3Q7H1U4	A0A3Q7HSH1	4081	ok
SCF:0000452	P60002	Q7KZ85	Q96GM5	I3LGP4	9606	ok
SCF:0000453	P60002	Q7KZ85	P07992	P30876	9606	ok
SCF:0000454	A0A2K3DZD9	A0A2K3DQ46	A8IXD6	A0A2K3DHV6	3055	ok
SCF:0000455	A0A2K3DZD9	A0A2K3DQ46	A8IXD6	A0A2K3DLF7	3055	ok
SCF:0000459	Q1HGH9	Q1HFX1	Q1HFW0	Q1HGH8	5911	ok
SCF:0000461	P20436	Q04307	P29496	P27999	559292	ok
SCF:0000462	P20436	Q04307	P29469	P32529	559292	ok
SCF:0000463	Q92759	P07992	Q7KZ85	P23025	9606	ok
SCF:0000465	Q99471	P78371	Q9UJX3	P50991	9606	ok
SCF:0000466	Q99471	P78371	Q9UJX3	P49368	9606	ok
SCF:0000467	Q99471	P78371	Q9UJX3	P40227	9606	ok
SCF:0000470	C4M5A0	C4LXM0	A0A175JJM9	C4M0Z2	294381	ok
SCF:0000472	Q9H1A4	Q9UJX3	P78371	Q9UJX2	9606	ok
SCF:0000473	Q9H1A4	Q9UJX3	P78371	Q13042	9606	ok
SCF:0000474	Q9H1A4	Q9UJX3	P78371	Q9UJX6	9606	ok
SCF:0000477	P24482	P29469	P13393	P24279	559292	ok
SCF:0000478	P24482	P29469	P04051	Q08032	559292	ok
SCF:0000479	P29469	P24482	P04051	P32833	559292	ok
SCF:0000480	P29469	P24482	P04051	P38132	559292	ok
SCF:0000481	P29469	P24482	P36121	Q08032	559292	ok
SCF:0000484	A0A4V8H008	A0A4V8H004	A0A4V8GZZ2	A0A4V8GZZ9	325651	ok
SCF:0000486	Q7L5N1	Q9UBF6	Q8N884	P62877	9606	ok
SCF:0000487	P04051	P13393	P29469	P47076	559292	ok
SCF:0000488	P04051	P13393	P29469	P41910	559292	ok
SCF:0000489	P04051	P13393	P29469	P20435	559292	ok
SCF:0000490	P13393	P04051	P29469	P04050	559292	ok
SCF:0000491	P13393	P04051	P24482	Q99315	559292	ok
SCF:0000492	P13393	P04051	P24482	P08518	559292	ok
SCF:0000493	P40422	P36121	P24482	P16370	559292	ok
SCF:0000494	P40422	P36121	P53091	P20433	559292	ok
SCF:0000495	P40422	P36121	P53091	P38304	559292	ok
SCF:0000496	A0A2K3DGW6	A0A2K3DLI2	A8IH07	A0A2K3DHV6	3055	ok
SCF:0000497	A0A2K3DGW6	A0A2K3DLI2	A8IH07	A0A2K3DVJ8	3055	ok
SCF:0000498	Q15370	Q8N884	Q9UBF6	Q13098	9606	ok
SCF:0000499	Q15370	Q8N884	Q16531	Q6PJ21	9606	ok
SCF:0000500	Q9SUI5	Q9SUI7	O81097	Q9S714	3702	ok
SCF:0000501	Q9SUI7	Q9SUI5	O81097	Q9S7N7	3702	ok
SCF:0000502	Q22R86	Q24CE5	Q24C31	Q1HFV9	312017	ok
SCF:0000503	Q24CE5	Q22R86	Q24C31	Q24DI9	312017	ok
SCF:0000504	Q24CE5	Q22R86	I7MG46	W7XJB1	312017	ok
SCF:0000505	Q15843	Q16531	Q8N884	Q93034	9606	ok
SCF:0000507	P62877	P68036	P60900	P62837	9606	ok
SCF:0000508	P62877	P68036	P60900	A0A6P5C4T4	9606	ok
SCF:0000509	P62877	P68036	P60900	Q712K3	9606	ok
SCF:0000510	Q5JS54	P60900	P68036	O14818	9606	ok
SCF:0000511	Q5JS54	P60900	P68036	P25789	9606	ok
SCF:0000512	Q5JS54	P60900	P68036	P28066	9606	ok
SCF:0000513	B8LEQ8	B8BUW3	A0T0V1	B5YM25	35128	ok
SCF:0000514	B8LEQ8	B8BUW3	A0A8F0WFC9	B8C770	35128	ok
SCF:0000515	B8LEQ8	B8BUW3	B8C2K6	B8C0K4	35128	ok
SCF:0000521	P42766	Q9BXJ9	Q9UJX5	Q9BZE4	9606	ok
SCF:0000522	P42766	Q9BXJ9	Q9UJX5	P13639	9606	ok
SCF:0000523	Q9BXJ9	P42766	Q9UJX5	P35268	9606	ok
SCF:0000524	Q9BXJ9	P42766	Q9Y2Y1	G1TSG1	9606	ok
SCF:0000525	Q9BXJ9	P42766	Q9H1D9	P62750	9606	ok
SCF:0000526	P0A384	Q8YVQ2	P58568	P61048	103690	ok
SCF:0000527	Q23FU1	I7M6H4	I7MG46	I7M9J2	312017	ok
SCF:0000528	Q23FU1	I7M6H4	Q24C31	Q22A67	312017	ok
SCF:0000529	Q2FW20	Q2G111	Q2FW08	Q2FW10	93061	ok
SCF:0000530	Q2G111	Q2FW20	Q2FW39	Q2G113	93061	ok
SCF:0000531	Q2G111	Q2FW20	Q2FW23	Q2FW31	93061	ok
SCF:0000532	Q2G111	Q2FW20	Q2FW23	Q2FW16	93061	ok
SCF:0000533	P40359	P53091	P36121	P24279	559292	ok
SCF:0000534	P40359	P53091	P36121	P29496	559292	ok
SCF:0000535	P40359	P53091	P32349	P38132	559292	ok
SCF:0000539	P21082	P20637	P20979	P68439	10249	ok
SCF:0000540	P20248	Q9UJX5	Q9BXJ9	Q13415	9606	ok
SCF:0000541	P20248	Q9UJX5	Q9BXJ9	P06400	9606	ok
SCF:0000542	P20248	Q9UJX5	P42766	P30260	9606	ok
SCF:0000547	P20226	Q9Y2Y1	P42766	P60899	9606	ok
SCF:0000548	P20226	Q9H1D9	P42766	Q00403	9606	ok
SCF:0000549	P20226	Q9H1D9	Q9H9Q2	Q9HAW0	9606	ok
SCF:0000550	P20226	Q9H1D9	P40337	P29084	9606	ok
SCF:0000554	P40337	Q9H9Q2	Q9H1D9	P01116	9606	ok
SCF:0000555	Q9H9Q2	P40337	Q9H1D9	P63208	9606	ok
