protein_a	protein_b	in_manual_stringent	n_rows	pmids	methods	raw_ids	len_a	len_b
O15116	O95777	1	1	15231747	MI:0018 - two hybrid	O15116;O95777	133	96
O15116	P62312	0	1	15231747	MI:0018 - two hybrid	O15116;P62312	133	80
O15116	Q9UK45	1	1	15231747	MI:0018 - two hybrid	O15116;Q9UK45	133	103
O15116	Q9Y4Y9	1	1	15231747	MI:0018 - two hybrid	O15116;Q9Y4Y9	133	91
O15151	P04637	1	1	19721810	MI:0019 - coimmunoprecipitation, Mi:0110 - text mining	O15151-4;P04637	490	393
O15169	P30153	1	1	9920888	MI:0018 - two hybrid	O15169;P30153	862	589
O15169	Q13485	1	1	11438668	MI:0007 - anti tag coimmunoprecipitation	O15169;Q13485	862	552
O15169	Q15797	1	1	11438668	MI:0007 - anti tag coimmunoprecipitation	O15169;Q15797	862	465
O15169	Q99717	1	1	11438668	MI:0007 - anti tag coimmunoprecipitation	O15169;Q99717	862	465
O15197	Q5JZY3	1	1	21737611	MI:0019 - coimmunoprecipitation	O15197;Q5JZY3	1021	1008
O15304	Q92633	1	1	17965021	MI:0018 - two hybrid	O15304;Q92633	175	364
O15304	Q9UBY5	1	1	17965021	MI:0018 - two hybrid	O15304;Q9UBY5	175	353
O15315	O43542	1	1	11842113	MI:0019 - coimmunoprecipitation	O15315;O43542	384	346
O15315	Q9BXW9	1	1	15115758	MI:0018 - two hybrid	O15315;Q9BXW9	384	1451
O15350	Q76N89	1	1	18223681	MI:0019 - coimmunoprecipitation	O15350;Q76N89	636	1606
O15360	O60832	1	1	10744426	MI:0019 - coimmunoprecipitation	O15360;O60832	1455	514
O15360	Q00597	1	1	10652215	MI:0018 - two hybrid	O15360;Q00597	1455	558
O15379	Q08117	0	1	20676368	MI:0004 - affinity chromatography technology, MI:0110 - text mining	O15379;Q08117	428	197
O15379	Q99814	1	1	21151670	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	O15379;Q99814	428	870
O15492	P25100	1	1	15917235	MI:0096 - pull down	O15492;P25100	202	572
O15492	P35348	1	1	15917235	MI:0096 - pull down	O15492;P35348	202	466
O15492	P35368	1	1	15917235	MI:0096 - pull down	O15492;P35368	202	520
O15530	O95988	1	1	10983986	MI:0019 - coimmunoprecipitation	O15530;O95988	556	128
O15530	P56277	1	1	10983986	MI:0019 - coimmunoprecipitation	O15530;P56277	556	68
O15530	P56279	1	1	10983986	MI:0019 - coimmunoprecipitation	O15530;P56279	556	114
O24456	P49177	1	1	19651700	MI:0397 - two hybrid array	O24456;P49177	327	377
O26901	P0AGE0	1	1	21195035	MI:0096 - pull down	O26901;P0AGE0	690	178
O30916	P55072	1	1	19286132	MI:0019 - coimmunoprecipitation	O30916;P55072	561	806
O34580	P37455	1	1	21170359	MI:0069 - mass spectrometry studies of complexes	O34580;P37455	739	172
O35182	P70323	1	1	19557177	MI:0004 - affinity chromatography technologies	O35182;P70323	495	479
O35182	Q922H7	1	1	15239668	MI:0019 - coimmunoprecipitation	O35182;Q922H7	495	247
O35253	Q922H7	1	1	15239668	MI:0019 - coimmunoprecipitation	O35253;Q922H7	426	247
O35430	Q8VHK2	1	1	12040031	MI:0006 - anti bait coimmunoprecipitation	O35430;Q8VHK2	839	1430
O35551	Q3UMR0	1	1	16525121	MI:0019 - coimmunoprecipitation	O35551;Q3UMR0	862	1048
O35625	P70339	1	1	10428961	MI:0007 - anti tag coimmunoprecipitation	O35625;P70339	863	274
O35657	P01132	1	1	2690595	MI:0004 - affinity chromatography technology, MI:0110 - text mining	O35657;P01132	409	1217
O35717	P05532	1	1	14707129	MI:0019 - coimmunoprecipitation	O35717;P05532	198	979
O35718	P05532	1	1	14707129	MI:0019 - coimmunoprecipitation	O35718;P05532	225	979
O35718	P52332	1	1	10534114	MI:0019 - co-immunoprecipitation, MI:0110 - text mining	O35718;P52332	225	1153
O35718	Q62120	1	1	10534114	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	O35718;Q62120	225	1132
O35984	Q7TPV4	1	1	17875935	MI:0019 - coimmunoprecipitation	O35984;Q7TPV4	430	1344
O35988	P14151	1	1	15917223	MI:0045 - experimental	O35988;P14151	198	372
O43172	O43290	0	1	16723661	MI:0018 - two hybrid	O43172;O43290	522	800
O43172	O43395	0	1	16723661	MI:0018 - two hybrid	O43172;O43395	522	683
O43172	O43447	0	1	16723661	MI:0018 - two hybrid	O43172;O43447	522	177
O43172	O75643	1	1	16723661	MI:0018 - two hybrid	O43172;O75643	522	2136
O43172	P83876	0	1	16723661	MI:0018 - two hybrid	O43172;P83876	522	142
O43172	Q15029	1	1	16723661	MI:0018 - two hybrid	O43172;Q15029	522	972
O43172	Q53GS9	0	1	16723661	MI:0018 - two hybrid	O43172;Q53GS9	522	565
O43172	Q6P2Q9	0	1	16723661	MI:0018 - two hybrid	O43172;Q6P2Q9	522	2335
O43172	Q9BUQ8	0	1	16723661	MI:0018 - two hybrid	O43172;Q9BUQ8	522	820
O43186	O75531	1	1	21966431	MI:0077 - nuclear magnetic resonance	O43186;O75531	299	89
O43194	Q9UBU3	1	1	17289961	MI:0004 - affinity chromatography technologies	O43194;Q9UBU3	453	117
O43290	O43447	1	1	16723661	MI:0018 - two hybrid	O43290;O43447	800	177
O43290	P83876	1	1	16723661	MI:0018 - two hybrid	O43290;P83876	800	142
O43290	Q15029	1	1	16723661	MI:0018 - two hybrid	O43290;Q15029	800	972
O43290	Q6P2Q9	1	1	16723661	MI:0018 - two hybrid	O43290;Q6P2Q9	800	2335
O43353	P57730	1	1	15383541	MI:0019 - coimmunoprecipitation	O43353;P57730	540	90
O43353	Q5XLA6	1	1	15383541	MI:0019 - coimmunoprecipitation	O43353;Q5XLA6	540	110
O43395	O43447	1	1	16723661	MI:0018 - two hybrid	O43395;O43447	683	177
O43395	O75643	1	1	16723661	MI:0018 - two hybrid	O43395;O75643	683	2136
O43395	O94906	1	1	16723661	MI:0018 - two hybrid	O43395;O94906	683	941
O43395	P83876	1	1	16723661	MI:0018 - two hybrid	O43395;P83876	683	142
O43395	Q15029	1	1	16723661	MI:0018 - two hybrid	O43395;Q15029	683	972
O43395	Q6P2Q9	1	1	16723661	MI:0018 - two hybrid	O43395;Q6P2Q9	683	2335
O43395	Q8WWY3	1	1	16723661	MI:0018 - two hybrid	O43395;Q8WWY3	683	499
O43395	Q9BUQ8	1	1	16723661	MI:0018 - two hybrid	O43395;Q9BUQ8	683	820
O43447	O75643	1	1	16723661	MI:0018 - two hybrid	O43447;O75643	177	2136
O43447	O94906	1	1	16723661	MI:0018 - two hybrid	O43447;O94906	177	941
O43447	Q15029	1	1	16723661	MI:0018 - two hybrid	O43447;Q15029	177	972
O43447	Q53GS9	1	1	16723661	MI:0018 - two hybrid	O43447;Q53GS9	177	565
O43447	Q6P2Q9	1	1	16723661	MI:0018 - two hybrid	O43447;Q6P2Q9	177	2335
O43447	Q9BUQ8	1	1	16723661	MI:0018 - two hybrid	O43447;Q9BUQ8	177	820
O43502	Q9BXW9	1	1	15115758	MI:0018 - two hybrid	O43502;Q9BXW9	376	1451
O43508	Q68396	1	1	19134204	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	O43508;Q68396	249	176
O43524	Q99576	1	1	20018851	MI:0019 - coimmunoprecipitation	O43524;Q99576	673	134
O43541	Q9UPN9	1	1	15820681	MI:0007 - anti tag coimmunoprecipitation	O43541;Q9UPN9	496	1127
O43542	O43543	1	1	11842113	MI:0019 - coimmunoprecipitation	O43542;O43543	346	280
O43542	O75771	1	1	11842113	MI:0019 - coimmunoprecipitation	O43542;O75771	346	328
O43542	Q9BXW9	1	1	15115758	MI:0018 - two hybrid	O43542;Q9BXW9	346	1451
O43543	Q9BXW9	1	1	15115758	MI:0018 - two hybrid	O43543;Q9BXW9	280	1451
O43557	Q68396	1	1	19134204	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	O43557;Q68396	240	176
O43559	P61587	1	1	15738000	MI:0007 - anti tag coimmunoprecipitation	O43559;P61587	492	244
O43623	Q13363	1	1	17194444	MI:0019 - coimmunoprecipitation	O43623;Q13363	268	440
O43739	P10276	1	1	15878955	MI:0096 - pull down; MI:0047	O43739;P10276	400	462
O43823	Q9ULX6	1	1	10761695	MI:0019 - coimmunoprecipitation	O43823;Q9ULX6	692	646
O43929	P49736	1	1	15232106	MI:0096 - pull down	O43929;P49736	436	904
O45379	Q9UIL1	1	1	16725058	MI:0010 - beta galactosidase complementation	O45379;Q9UIL1	184	159
O54880	P60881	1	1	16203731	MI:0096 - pull down	O54880;P60881	302	206
O54968	Q05343	1	1	10930400	MI:0096 - pull down	O54968;Q05343	604	467
O55003	Q99JI6	1	1	17928295	MI:0018 - two hybrid	O55003;Q99JI6	187	184
O55055	Q9UJW3	1	1	12777184	MI:0018 - two hybrid	O55055;Q9UJW3	415	386
O55131	P42208	1	1	16914559	MI:0055 - fluorescent resonance energy transfer	O55131;P42208	436	361
O60224	Q96QF0	1	2	12007189;20981248	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	O60224;Q96QF0	188	476
O60224	Q9Y2D8	1	2	12007189;20981248	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	O60224;Q9Y2D8	188	614
O60260	P56524	1	1	16332688	MI:0019 - coimmunoprecipitation	O60260;P56524	465	1084
O60282	Q8IXI2	0	1	19249275	MI:0096 - pull down,MI:0110 - text mining	O60282;Q8IXI2	957	618
O60313	Q7Z434	1	1	20661427	MI:0019 - coimmunoprecipitation	O60313;Q7Z434	960	540
O60341	Q9UKL0	0	1	18806873	MI:0059 - gst pull down	O60341;Q9UKL0	852	485
O60423	Q3MIR4	1	2	20947505	MI:0019 - coimmunoprecipitation	O60423;Q3MIR4	1300	351
O60566	P08700	1	1	11030144	MI:0019 - coimmunoprecipitation	O60566;P08700	1050	152
O60566	Q7L7X3	1	1	20162290	MI:0019 - coimmunoprecipitation	O60566;Q7L7X3	1050	1001
O60583	P28799	1	1	12588988	MI:0007 - anti tag coimmunoprecipitation	O60583;P28799	730	593
O60674	Q9JM90	1	1	10679268	MI:0018 - two hybrid	O60674;Q9JM90	1132	297
O60683	O75192	1	1	12096124	MI:0018 - two hybrid	O60683;O75192	326	247
O60683	P28328	1	1	12096124	MI:0018 - two hybrid	O60683;P28328	326	305
O60683	P56589	1	1	12096124	MI:0018 - two hybrid	O60683;P56589	326	373
O60683	Q92968	1	1	12096124	MI:0018 - two hybrid	O60683;Q92968	326	403
O60683	Q9Y5Y5	1	1	12096124	MI:0018 - two hybrid	O60683;Q9Y5Y5	326	336
O60716	P14923	1	1	7651399	MI:0018 - two hybrid, MI:0019 - coimmunoprecipitation	O60716;P14923	968	745
O60716	P25054	1	1	7651399	MI:0019 - coimmunoprecipitation	O60716;P25054	968	2843
O60716	P35221	1	1	7651399	MI:0019 - coimmunoprecipitation	O60716;P35221	968	906
O60716	P35222	1	1	7651399	MI:0018 - two hybrid, MI:0019 - coimmunoprecipitation	O60716;P35222	968	781
O60716	P60568	1	1	8217217	MI:0019 - coimmunoprecipitation	O60716;P60568	968	153
O60716	Q9UBT7	1	1	14993280	MI:0019 - coimmunoprecipitation	O60716;Q9UBT7	968	734
O60784	O95405	1	1	14613930	MI:0096 - pull down; MI:0019	O60784;O95405	492	1425
O60885	P12004	1	1	12192049	MI:0006 - anti bait coimmunoprecipitation	O60885;P12004	1362	261
O60894	P41587	1	1	19394311	MI:0054 - fluorescence-activated cell sorting	O60894;P41587	148	438
O60895	P41587	1	1	19394311	MI:0054 - fluorescence-activated cell sorting	O60895;P41587	175	438
O60896	P41587	1	1	19394311	MI:0054 - fluorescence-activated cell sorting	O60896;P41587	148	438
O60907	P09874	1	1	15607978	MI:0007 - anti tag coimmunoprecipitation	O60907;P09874	577	1014
O60907	Q04724	1	1	15607978	MI:0007 - anti tag coimmunoprecipitation	O60907;Q04724	577	770
O60936	P62995	1	1	10196175	MI:0018 - two hybrid	O60936;P62995	208	288
O60936	P63162	1	1	10196175	MI:0018 - two hybrid	O60936;P63162	208	240
O60936	P84103	1	1	10196175	MI:0018 - two hybrid	O60936;P84103	208	164
O60936	Q01081	1	1	10196175	MI:0018 - two hybrid	O60936;Q01081	208	240
O60936	Q01130	1	1	10196175	MI:0018 - two hybrid	O60936;Q01130	208	221
O60936	Q07955	1	1	10196175	MI:0018 - two hybrid	O60936;Q07955	208	248
O60936	Q08170	1	1	10196175	MI:0018 - two hybrid	O60936;Q08170	208	494
O60936	Q13247	1	1	10196175	MI:0018 - two hybrid	O60936;Q13247	208	344
O60936	Q15424	1	1	10196175	MI:0018 - two hybrid	O60936;Q15424	208	915
O70355	P09793	1	6	17237401	MI:0054 - fluorescence-activated cell sorting	O70355;P09793	454	223
O70355	P31041	1	1	17237401	MI:0054 - fluorescence-activated cell sorting	O70355;P31041	454	218
O70355	Q02242	1	1	17237401	MI:0054 - fluorescence-activated cell sorting	O70355;Q02242	454	288
O70355	Q7TSA3	1	1	17237401	MI:0054 - fluorescence-activated cell sorting	O70355;Q7TSA3	454	306
O70355	Q9WVS0	1	1	17237401	MI:0054 - fluorescence-activated cell sorting	O70355;Q9WVS0	454	200
O70373	P26039	1	1	17925400	MI:0018 - two hybrid	O70373;P26039	1813	2541
O70433	Q62219	1	1	16737959	MI:0019 - coimmunoprecipitation	O70433;Q62219	279	461
O70622	Q7M6Z0	1	1	17189258	MI:0415 - enzymatic studies	O70622;Q7M6Z0	471	420
O70622	Q8K0S5	1	1	17189258	MI:0415 - enzymatic studies	O70622;Q8K0S5	471	445
O75175	P17036	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P17036	753	446
O75175	P18847	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P18847	753	181
O75175	P18848	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P18848	753	351
O75175	P25963	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P25963	753	317
O75175	P31150	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P31150	753	447
O75175	P36915	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P36915	753	607
O75175	P41240	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P41240	753	450
O75175	P62879	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;P62879	753	340
O75175	Q14192	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q14192	753	279
O75175	Q16828	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q16828	753	381
O75175	Q68DY1	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q68DY1	753	528
O75175	Q70SY1	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q70SY1	753	520
O75175	Q8TAU0	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q8TAU0	753	364
O75175	Q8TBX8	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q8TBX8	753	421
O75175	Q92730	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q92730	753	232
O75175	Q92785	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q92785	753	391
O75175	Q93096	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q93096	753	173
O75175	Q9H2S9	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9H2S9	753	585
O75175	Q9H6S3	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9H6S3	753	715
O75175	Q9H9D4	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9H9D4	753	720
O75175	Q9NQX6	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9NQX6	753	463
O75175	Q9UDV6	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9UDV6	753	495
O75175	Q9UH92	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9UH92	753	298
O75175	Q9UHR5	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9UHR5	753	308
O75175	Q9UHX1	1	1	18255255	MI:0019 - coimmunoprecipitation; MI:0096	O75175;Q9UHX1	753	559
O75190	P02533	1	1	10954706	MI:0018 - two hybrid	O75190;P02533	326	472
O75190	P05787	0	1	10954706	MI:0018 - two hybrid	O75190;P05787	326	483
O75190	P08670	1	1	10954706	MI:0018 - two hybrid; MI:0027	O75190;P08670	326	466
O75190	P13647	1	1	10954706	MI:0018 - two hybrid	O75190;P13647	326	590
O75190	P14136	1	1	10954706	MI:0018 - two hybrid	O75190;P14136	326	432
O75190	P17661	1	1	10954706	MI:0018 - two hybrid; MI:0027	O75190;P17661	326	470
O75192	O75381	1	1	12096124	MI:0018 - two hybrid	O75192;O75381	247	377
O75192	O96011	1	1	12096124	MI:0018 - two hybrid	O75192;O96011	247	259
O75192	P28328	1	1	12096124	MI:0018 - two hybrid	O75192;P28328	247	305
O75192	P56589	1	1	12096124	MI:0018 - two hybrid	O75192;P56589	247	373
O75192	Q92968	1	1	12096124	MI:0018 - two hybrid	O75192;Q92968	247	403
O75192	Q9Y5Y5	1	1	12096124	MI:0018 - two hybrid	O75192;Q9Y5Y5	247	336
O75360	Q04724	1	1	11731482	MI:0007 - anti tag coimmunoprecipitation	O75360;Q04724	226	770
O75376	Q15466	1	1	9372944	MI:0018 - two hybrid	O75376;Q15466	2440	257
O75376	Q92786	1	1	16488887	MI:0018 - two hybrid	O75376;Q92786	2440	737
O75381	O96011	1	1	12096124	MI:0018 - two hybrid	O75381;O96011	377	259
O75381	P28328	0	1	12096124	MI:0018 - two hybrid	O75381;P28328	377	305
O75381	P56589	0	1	12096124	MI:0018 - two hybrid	O75381;P56589	377	373
O75381	Q9Y5Y5	0	1	12096124	MI:0018 - two hybrid	O75381;Q9Y5Y5	377	336
O75400	P07196	1	1	15383276	MI:0018 - two hybrid	O75400;P07196	957	543
O75400	P21246	1	1	15383276	MI:0018 - two hybrid	O75400;P21246	957	168
O75400	P26641	1	1	15383276	MI:0018 - two hybrid	O75400;P26641	957	437
O75400	P55854	1	1	15383276	MI:0018 - two hybrid	O75400;P55854	957	103
O75400	Q16891	1	1	15383276	MI:0018 - two hybrid	O75400;Q16891	957	758
O75400	Q5T3J3	1	1	15383276	MI:0018 - two hybrid	O75400;Q5T3J3	957	769
O75400	Q7L311	1	1	15383276	MI:0018 - two hybrid	O75400;Q7L311	957	632
O75400	Q9H213	1	1	15383276	MI:0018 - two hybrid	O75400;Q9H213	957	219
O75400	Q9P2H0	1	1	15383276	MI:0018 - two hybrid	O75400;Q9P2H0	957	1117
