source	record_id	protein_a	protein_b	taxon_a	taxon_b	assay_raw	assay_ontology	old_historical_class	eligible_common_qc	score	pair_tokens	exact_string_positive_overlap	biophysical_only
Negatome	NEG:00016	O00244	Q8N668	9606	9606	MI:0059 - gst pull down, MI:0110 - text mining	reconstituted_direct	direct_binary	1	0.000146	261	0	0
Negatome	NEG:00017	O00268	P12962	9606	559292	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.031464	1249	0	0
Negatome	NEG:00018	O00311	P49736	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.993875	1481	1	0
Negatome	NEG:00019	O00459	P04626	9606	9606	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	co_complex_association	association	0	0.000319	1986	0	0
Negatome	NEG:00020	O00459	P20023	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	5.6e-05	1764	0	0
Negatome	NEG:00021	O00459	P48736	9606	9606	MI:0401 - biochemical	other_or_unresolved	other	0	0.27521	1833	0	0
Negatome	NEG:00022	O00463	P25942	9606	9606	MI:0004 - affinity chromatography technologies	co_complex_association	association	0	0.999885	837	1	0
Negatome	NEG:00023	O00463	Q8TDR0	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.810559	1251	0	0
Negatome	NEG:00024	O00482	Q96EB6	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.990406	1291	0	0
Negatome	NEG:00025	O00499	P03255	9606	28285	MI:0401 - biochemical	other_or_unresolved	other	0	0.128189	885	0	0
Negatome	NEG:00026	O00623	O75192	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000164	609	0	0
Negatome	NEG:00027	O00623	O75381	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.99989	739	1	0
Negatome	NEG:00028	O00623	O96011	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000206	621	0	0
Negatome	NEG:00029	O00623	P28328	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999814	667	1	0
Negatome	NEG:00030	O00623	P56589	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999893	735	0	0
Negatome	NEG:00031	O00623	Q92968	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.002487	765	0	0
Negatome	NEG:00032	O00623	Q9Y5Y5	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.007023	698	0	0
Negatome	NEG:00033	O00626	P51679	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999742	456	1	0
Negatome	NEG:00034	O00628	O60683	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000116	652	0	0
Negatome	NEG:00035	O00628	O75192	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	9.6e-05	573	0	0
Negatome	NEG:00036	O00628	O75381	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.042395	703	0	0
Negatome	NEG:00037	O00628	O96011	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000138	585	0	0
Negatome	NEG:00038	O00628	P28328	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000715	631	0	0
Negatome	NEG:00039	O00628	P56589	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.00099	699	0	0
Negatome	NEG:00040	O00628	Q92968	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999685	729	1	0
Negatome	NEG:00041	O00628	Q9Y5Y5	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.000169	662	0	0
Negatome	NEG:00042	O00716	Q8TAK5	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	1	0.98269	916	0	0
Negatome	NEG:00043	O04291	Q61501	3702	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000779	1285	0	0
Negatome	NEG:00044	O04291	Q64701	3702	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000166	1918	0	0
Negatome	NEG:00045	O04663	P29150	3702	12281	MI:0411- enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	0	0.000254	2398	0	0
Negatome	NEG:00046	O08584	P11103	10090	10090	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.005642	1299	0	0
Negatome	NEG:00047	O08599	P70452	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.99954	895	0	0
Negatome	NEG:00048	O08599	Q80T23	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	9.9e-05	1350	0	0
Negatome	NEG:00049	O08599	Q8K1E0	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.999832	952	0	0
Negatome	NEG:00050	O08599	Q99N48	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	9.5e-05	1204	0	0
Negatome	NEG:00051	O08599	Q99N50	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.000111	1547	0	0
Negatome	NEG:00052	O08674	O35516	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000102	2991	0	0
Negatome	NEG:00053	O08674	P12978	10090	10377	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	5.7e-05	1005	0	0
Negatome	NEG:00054	O08674	P31695	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000117	2482	0	0
Negatome	NEG:00055	O08674	Q01705	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000119	3049	0	0
Negatome	NEG:00056	O08674	Q61982	10090	10090	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.000118	2836	0	0
Negatome	NEG:00057	O08715	P31324	10090	10090	MI:1200 - immunocytochemistry	other_or_unresolved	other	0	0.050249	1276	0	0
Negatome	NEG:00058	O08734	Q80X44	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	6.6e-05	922	0	0
Negatome	NEG:00059	O08747	Q8R4G0	10090	10090	MI:0004 - affinity chromatography technologies	co_complex_association	association	0	0.000174	1473	0	0
Negatome	NEG:00060	O08785	P45481	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.053735	3299	0	0
Negatome	NEG:00061	O08849	Q9Z0G0	10090	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.997497	547	0	0
Negatome	NEG:00062	O08915	P53762	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.956066	1124	0	0
Negatome	NEG:00063	O08983	Q99KG7	10090	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.987041	1378	0	0
Negatome	NEG:00064	O12161	P08047	388812	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.79673	889	0	0
Negatome	NEG:00065	O12161	Q01105	388812	9606	MI:0045 - experimental	other_or_unresolved	other	0	0.590387	394	0	0
Negatome	NEG:00066	O12161	Q9QWV9	388812	10090	MI:0004 - affinity chromatography technologies	co_complex_association	association	0	0.001578	828	0	0
Negatome	NEG:00067	O14543	O60674	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999491	1360	0	0
Negatome	NEG:00068	O14640	P35222	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.951951	1479	1	0
Negatome	NEG:00069	O14640	P48729	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.002825	1035	0	0
Negatome	NEG:00070	O14640	P49841	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.935875	1118	0	0
Negatome	NEG:00071	O14640	Q92574	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.050524	1862	0	0
Negatome	NEG:00072	O14733	Q86Y07	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.999695	930	0	0
Negatome	NEG:00073	O14763	Q13546	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999814	1114	1	0
Negatome	NEG:00074	O14763	Q15628	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999857	755	0	0
Negatome	NEG:00075	O14775	Q6Y2X3	9606	9606	MI:0012 - bioluminescence resonance energy transfer	reconstituted_direct	direct_binary	0	0.000235	1100	0	1
Negatome	NEG:00076	O14776	O75400	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999361	2058	0	0
Negatome	NEG:00077	O14776	P07196	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.313846	1644	0	0
Negatome	NEG:00078	O14776	P21246	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000113	1269	0	0
Negatome	NEG:00079	O14776	P26641	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.116945	1538	0	0
Negatome	NEG:00080	O14776	P51693	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000285	1751	0	0
Negatome	NEG:00081	O14776	P55854	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.362563	1204	0	0
Negatome	NEG:00082	O14776	Q16891	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.005143	1859	0	0
Negatome	NEG:00083	O14776	Q5T3J3	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000478	1870	0	0
Negatome	NEG:00084	O14776	Q7L311	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.004577	1733	0	0
Negatome	NEG:00085	O14776	Q9H213	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000249	1320	0	0
Negatome	NEG:00086	O14776	Q9P2H0	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000251	2218	0	0
Negatome	NEG:00087	O14776	Q9UKY1	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.048629	1974	0	0
Negatome	NEG:00088	O14786	P15692	9606	9606	MI:0411- enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	0	0.505876	1321	0	0
Negatome	NEG:00089	O14788	Q68396	9606	311339	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	0	0.999652	496	0	0
Negatome	NEG:00090	O14893	Q8TEQ6	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.998262	1791	1	0
Negatome	NEG:00091	O15105	P31269	9606	9606	MI:0413 - electrophoretic mobility shift assay	other_or_unresolved	other	1	0.992458	701	0	0
Negatome	NEG:00092	O15105	P31273	9606	9606	MI:0413 - electrophoretic mobility shift assay	other_or_unresolved	other	1	0.999765	671	0	0
Negatome	NEG:00093	O15105	Q13363	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.996899	869	0	0
Negatome	NEG:00094	O15105	Q9UPN9	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.929308	1556	0	0
Negatome	NEG:00095	O15111	Q96Q05	9606	9606	MI:0006 - anti bait coimmunoprecipitation	co_complex_association	association	0	0.036877	1896	0	0
Negatome	NEG:00096	O15116	O95777	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999925	232	0	0
Negatome	NEG:00097	O15116	P62312	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999916	216	0	0
Negatome	NEG:00098	O15116	Q9UK45	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.99989	239	1	0
Negatome	NEG:00099	O15116	Q9Y4Y9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999863	227	0	0
Negatome	NEG:00100	O15151	P04637	9606	9606	MI:0019 - coimmunoprecipitation, Mi:0110 - text mining	co_complex_association	association	0	0.999887	886	1	0
Negatome	NEG:00101	O15169	P30153	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.764113	1454	0	0
Negatome	NEG:00102	O15169	Q13485	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.996804	1417	0	0
Negatome	NEG:00103	O15169	Q15797	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.963727	1330	0	0
Negatome	NEG:00104	O15169	Q99717	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.094553	1330	0	0
Negatome	NEG:00105	O15197	Q5JZY3	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999429	2032	0	0
Negatome	NEG:00106	O15304	Q92633	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	6.6e-05	542	0	0
Negatome	NEG:00107	O15304	Q9UBY5	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	6e-05	531	0	0
Negatome	NEG:00108	O15315	O43542	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999447	733	0	0
Negatome	NEG:00109	O15315	Q9BXW9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	5.8e-05	1838	0	0
Negatome	NEG:00110	O15350	Q76N89	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.001794	2245	0	0
Negatome	NEG:00111	O15360	O60832	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	8.4e-05	1972	0	0
Negatome	NEG:00112	O15360	Q00597	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.954725	2016	0	0
Negatome	NEG:00113	O15379	Q08117	9606	9606	MI:0004 - affinity chromatography technology, MI:0110 - text mining	co_complex_association	association	0	0.999582	628	0	0
Negatome	NEG:00114	O15379	Q99814	9606	9606	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	co_complex_association	association	0	0.988154	1301	0	0
Negatome	NEG:00115	O15492	P25100	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	1	6.8e-05	777	0	0
Negatome	NEG:00116	O15492	P35348	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	1	7.2e-05	671	0	0
Negatome	NEG:00117	O15492	P35368	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	1	6.4e-05	725	0	0
Negatome	NEG:00118	O15530	O95988	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.005253	687	0	0
Negatome	NEG:00119	O15530	P56277	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	7.9e-05	627	0	0
Negatome	NEG:00120	O15530	P56279	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.022422	673	0	0
Negatome	NEG:00121	O24456	P49177	3702	3702	MI:0397 - two hybrid array	other_or_unresolved	other	0	0.995986	707	0	0
Negatome	NEG:00122	O26901	P0AGE0	187420	83333	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.984791	871	0	0
Negatome	NEG:00123	O30916	P55072	99287	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.054764	1370	0	0
Negatome	NEG:00124	O34580	P37455	224308	224308	MI:0069 - mass spectrometry studies of complexes	other_or_unresolved	other	0	0.999785	914	0	0
Negatome	NEG:00125	O35182	P70323	10090	10090	MI:0004 - affinity chromatography technologies	co_complex_association	association	0	0.001344	977	0	0
Negatome	NEG:00126	O35182	Q922H7	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.0001	745	0	0
Negatome	NEG:00127	O35253	Q922H7	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.000107	676	0	0
Negatome	NEG:00128	O35430	Q8VHK2	10116	10116	MI:0006 - anti bait coimmunoprecipitation	co_complex_association	association	0	5.2e-05	2272	0	0
Negatome	NEG:00129	O35551	Q3UMR0	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.997465	1913	0	0
Negatome	NEG:00130	O35625	P70339	10090	10090	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.00034	1140	0	0
Negatome	NEG:00131	O35657	P01132	10090	10090	MI:0004 - affinity chromatography technology, MI:0110 - text mining	co_complex_association	association	0	0.936382	1629	0	0
Negatome	NEG:00132	O35717	P05532	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.904247	1180	0	0
Negatome	NEG:00133	O35718	P05532	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999735	1207	0	0
Negatome	NEG:00134	O35718	P52332	10090	10090	MI:0019 - co-immunoprecipitation, MI:0110 - text mining	co_complex_association	association	0	0.999862	1381	0	0
Negatome	NEG:00135	O35718	Q62120	10090	10090	MI:0019 - coimmunoprecipitation, MI:0110 - text mining	co_complex_association	association	0	0.999417	1360	0	0
Negatome	NEG:00136	O35984	Q7TPV4	10090	10090	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.983828	1777	0	0
Negatome	NEG:00137	O35988	P14151	10090	9606	MI:0045 - experimental	other_or_unresolved	other	0	0.998875	573	0	0
Negatome	NEG:00138	O43172	O43290	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.99842	1325	1	0
Negatome	NEG:00139	O43172	O43395	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.998251	1208	1	0
Negatome	NEG:00140	O43172	O43447	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.998092	702	1	0
Negatome	NEG:00141	O43172	O75643	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999348	2661	0	0
Negatome	NEG:00142	O43172	P83876	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999761	667	1	0
Negatome	NEG:00143	O43172	Q15029	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999669	1497	1	0
Negatome	NEG:00144	O43172	Q53GS9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999461	1090	1	0
Negatome	NEG:00145	O43172	Q6P2Q9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.073359	2860	0	0
Negatome	NEG:00146	O43172	Q9BUQ8	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999528	1345	1	0
Negatome	NEG:00147	O43186	O75531	9606	9606	MI:0077 - nuclear magnetic resonance	other_or_unresolved	other	1	0.04793	391	0	0
Negatome	NEG:00148	O43194	Q9UBU3	9606	9606	MI:0004 - affinity chromatography technologies	co_complex_association	association	1	0.121964	573	0	0
Negatome	NEG:00149	O43290	O43447	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999074	980	1	0
Negatome	NEG:00150	O43290	P83876	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999592	945	1	0
Negatome	NEG:00151	O43290	Q15029	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999782	1775	1	0
Negatome	NEG:00152	O43290	Q6P2Q9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.604476	3138	0	0
Negatome	NEG:00153	O43353	P57730	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999685	633	0	0
Negatome	NEG:00154	O43353	Q5XLA6	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999771	653	0	0
Negatome	NEG:00155	O43395	O43447	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.998609	863	1	0
Negatome	NEG:00156	O43395	O75643	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999131	2822	0	0
Negatome	NEG:00157	O43395	O94906	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999624	1627	1	0
Negatome	NEG:00158	O43395	P83876	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999809	828	0	0
Negatome	NEG:00159	O43395	Q15029	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.998887	1658	0	0
Negatome	NEG:00160	O43395	Q6P2Q9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.014618	3021	0	0
Negatome	NEG:00161	O43395	Q8WWY3	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.9984	1185	1	0
Negatome	NEG:00162	O43395	Q9BUQ8	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.998777	1506	1	0
Negatome	NEG:00163	O43447	O75643	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999564	2316	0	0
Negatome	NEG:00164	O43447	O94906	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999894	1121	1	0
Negatome	NEG:00165	O43447	Q15029	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.999084	1152	1	0
Negatome	NEG:00166	O43447	Q53GS9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.999688	745	0	0
Negatome	NEG:00167	O43447	Q6P2Q9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.990666	2515	0	0
Negatome	NEG:00168	O43447	Q9BUQ8	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	1	0.997949	1000	0	0
Negatome	NEG:00169	O43502	Q9BXW9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	6.8e-05	1830	0	0
Negatome	NEG:00170	O43508	Q68396	9606	311339	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	0	0.992373	428	0	0
Negatome	NEG:00171	O43524	Q99576	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.255749	810	0	0
Negatome	NEG:00172	O43541	Q9UPN9	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	0	0.397574	1626	0	0
Negatome	NEG:00173	O43542	O43543	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999568	629	0	0
Negatome	NEG:00174	O43542	O75771	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	1	0.999559	677	0	0
Negatome	NEG:00175	O43542	Q9BXW9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000167	1800	0	0
Negatome	NEG:00176	O43543	Q9BXW9	9606	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000308	1734	0	0
Negatome	NEG:00177	O43557	Q68396	9606	311339	MI:0110 - text mining, MI:0411 - enzyme linked immunosorbent assay	reconstituted_direct	direct_binary	0	0.999528	419	0	0
Negatome	NEG:00178	O43559	P61587	9606	9606	MI:0007 - anti tag coimmunoprecipitation	co_complex_association	association	1	0.004431	739	0	0
Negatome	NEG:00179	O43623	Q13363	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.99795	711	1	0
Negatome	NEG:00180	O43739	P10276	9606	9606	MI:0096 - pull down; MI:0047	reconstituted_direct	direct_binary	1	9.5e-05	865	0	0
Negatome	NEG:00181	O43823	Q9ULX6	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.999621	1341	1	0
Negatome	NEG:00182	O43929	P49736	9606	9606	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.999696	1343	1	0
Negatome	NEG:00183	O45379	Q9UIL1	6239	9606	MI:0010 - beta galactosidase complementation	other_or_unresolved	other	0	0.00043	346	0	0
Negatome	NEG:00184	O54880	P60881	10116	10116	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.014896	511	0	0
Negatome	NEG:00185	O54968	Q05343	10116	10116	MI:0096 - pull down	reconstituted_direct	direct_binary	0	0.513259	1074	0	0
Negatome	NEG:00186	O55003	Q99JI6	10090	10090	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	0.000709	374	0	0
Negatome	NEG:00187	O55055	Q9UJW3	10090	9606	MI:0018 - two hybrid	cell_binary_proximity	direct_binary	0	5.7e-05	804	0	0
Negatome	NEG:00188	O55131	P42208	10090	10090	MI:0055 - fluorescent resonance energy transfer	cell_binary_proximity	direct_binary	0	0.999926	800	0	0
Negatome	NEG:00189	O60224	Q96QF0	9606	9606	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	cell_binary_proximity	direct_binary	1	0.000124	667	0	0
Negatome	NEG:00190	O60224	Q9Y2D8	9606	9606	MI:0018 - two hybrid | MI:0018 - two hybrid, MI:0110 - text mining	cell_binary_proximity	direct_binary	1	0.003364	805	0	0
Negatome	NEG:00191	O60260	P56524	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.055436	1552	0	0
Negatome	NEG:00192	O60282	Q8IXI2	9606	9606	MI:0096 - pull down,MI:0110 - text mining	reconstituted_direct	direct_binary	0	0.78336	1578	0	0
Negatome	NEG:00193	O60313	Q7Z434	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	0.001049	1503	0	0
Negatome	NEG:00194	O60341	Q9UKL0	9606	9606	MI:0059 - gst pull down	reconstituted_direct	direct_binary	0	0.999065	1340	0	0
Negatome	NEG:00195	O60423	Q3MIR4	9606	9606	MI:0019 - coimmunoprecipitation	co_complex_association	association	0	8.9e-05	1654	0	0
