sequence_no	protein_a	a_id	a_taxid	protein_b	b_id	b_taxid	negative_relation	assay_normalized	assay_reported_original	evidence_text_en	previous_sentence_en	next_sentence_en	pmid	pmcid	article_title	best_evidence_id	pair2_key	claim_id	candidate_id	rule_tier_v2	canonical_pair_label_v2	experimental_object_scope_v2	rule_reasons_v2	rule_tags_v2	model_is_experimental	model_is_direct_binding_assay	positive_conflict_scope	mentions_construct	mentions_isoform	mentions_positive_control	mentions_purified_components	rule_scope_signal_v2	rule_context_signal_v2	selection_score
11	NAC	6622	9606	Naa50	80218	4932	no_binding	SPR	SPR	Control experiments were done in parallel to ensure that Naa50 does not bind to NAC, MBP does not interfere with the NAC-NatA interaction, MBP-HypK does not bind to NAC, and that none of the used analytes (Naa50, MBP-HypK, MBP and NatA) unspecifically interact with unloaded SA-biosensors.	Finally, all six biosensors were moved to BLI buffer for 150 s for dissociation of the NatA.		41577663	PMC12830823	NatA engages in multi-factor complexes at the ribosomal polypeptide tunnel exit	CLAIM:000178789:0-1	PAIR2:GENE:6622|GENE:80218	CLAIM:000178789	2538088d49750410fadc1009a98a4b91c3804dc2	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	186.0
12	ALK7	269275	10090	Nodal	4838	9606	no_binding	SPR	SPR	On the other hand, the putative type I Nodal receptor ALK7, which we obtained commercially, does not bind Nodal as tested and may not directly contribute to Nodal signaling (Fig.	2C, D), but is consistent with the observation that many TGFss family ligands interact with type I receptors with intermediate or low affinities.	2H).	25603319	PMC4300205	Human Cerberus Prevents Nodal-Receptor Binding, Inhibits Nodal Signaling, and Suppresses Nodal-Mediated Phenotypes	CLAIM:000205246:0-1	PAIR2:GENE:269275|GENE:4838	CLAIM:000205246	b5c3d34b318c1230095ee97a085049630113bab2	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	186.0
13	FGFR1	2260	9606	PlGF	5228	9606	no_binding	SPR	SPR	VEGF-B binds to FGFR1 and competes with FGF2 for FGFR1 binding. a-c Surface plasmon resonance (SPR) results showing VEGF-B binding to FGFR1 with a KD value (17 nM, a) similar to that for FGF2 (16 nM, b), whereas PlGF, another VEGFR1-binding member of the VEGF family, does not bind to FGFR1 (c).		The lines from bottom to the top represent different concentrations of FGFR1-Fc: 12.5, 25, 50, 100, 200, and 400 nM, respectively. d, e SPR results showing VEGF-B binding to FGFR1 DII-III with a KD value (49 nM, d) similar to that of FGF2 (63 nM, e).	37591843	PMC10435562	VEGF-B prevents excessive angiogenesis by inhibiting FGF2/FGFR1 pathway	CLAIM:000110180:0-1	PAIR2:GENE:2260|GENE:5228	CLAIM:000110180	b84be28345e07e950c1ff68b1747848f4a6bb25d	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	186.0
14	LRP	4035	9606	PAI-2	5055	9606	no_interaction	SPR	ligand binding assays and surface plasmon resonance	However, unlike PAI-1, no interaction was observed between LRP and PAI-2 in either the stressed or the relaxed conformation.	This interaction was maintained in the presence of uPAR, confirming the validity of this interaction at the cell surface.	This suggests that the uPA-PAI-2-LRP interaction is mediated by site(s) within the uPA molecule alone.	16459332		The urokinase/PAI-2 complex: a new high affinity ligand for the endocytosis receptor low density lipoprotein receptor-related protein.	CLAIM:000207456:0-1	PAIR2:GENE:4035|GENE:5055	CLAIM:000207456	d6dc91428fe9cef2f0e2c8776aee8d694eb86a94	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	0	0	0	0	0	0	184.0
15	tau	4137	9606	MAP7	9053	9606	no_interaction	pull_down	pull-down	Solution-based pull-down assays revealed that purified MAP7 and tau proteins do not interact with one another (Supplementary Figure 2c).	2g, h).	In addition, we observed that the C-terminus of MAP7 (MAP7DeltaN) is unable to bind to microtubules (Supplementary Figure 2d-e), or displace tau from the lattice (Supplementary Figure 2f-g).	29662074	PMC5902456	Competition between microtubule-associated proteins directs motor transport	CLAIM:000157849:0-1	PAIR2:GENE:4137|GENE:9053	CLAIM:000157849	4eb451da69d91e76d7875858a7440a4484ee55ec	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	1	0	0	0	0	0	183.0
16	CD147ECD	682	9606	TFF2	7032	10090	no_binding	SPR	SPR	TFF1 and TFF2, the other two members of the trefoil factor family that were used as controls in the SPR assay, did not bind to CD147ECD (Supplementary Fig.	1d).	5d), indicating that CD147 specifically interacts with TFF3.	34262017	PMC8280106	CD147 receptor is essential for TFF3-mediated signaling regulating colorectal cancer progression	CLAIM:000201759:0-1	PAIR2:GENE:682|GENE:7032	CLAIM:000201759	f9cedfded7717312430fa8c9029aedb9ba6ace74	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	179.0
17	importin alpha	3836	9606	STN1	79991	9606	no_binding	ITC	ITC	We also show by ITC that STN1 and TEN1 do not have their own classical NLS signal as they do not bind importin alpha (Fig.	6).	5).	33731801	PMC7969954	Pol alpha-primase dependent nuclear localization of the mammalian CST complex	CLAIM:000133167:0-1	PAIR2:GENE:3836|GENE:79991	CLAIM:000133167	8acce8b505edf2c057adf9d066ff791df4d7cd6a	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
18	Siglec-8	27181	9606	PTGFRN	5738	10090	no_binding	BLI	unknown	Binding of PTGFRN to Siglec-9, Siglec-10, and Siglec-14 (KD 7 x 10-7 to 4 x 10-6 M), which are enriched in APCs was observed in contrast PTGFRN did not bind to Siglec-2, Siglec-4, and Siglec-8 (Supplementary Fig.	We next evaluated the possible direct association of PTGFRN with to the sialic acid binding glycoprotein receptors using Bio-Layer Interferometry (BLI).	12).	33888863	PMC8062530	ExoSTING, an extracellular vesicle loaded with STING agonists, promotes tumor immune surveillance	CLAIM:000086327:0-1	PAIR2:GENE:27181|GENE:5738	CLAIM:000086327	d0c3ae660744a97a9adf1e081974230ce940c613	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
19	Tie2	7010	9606	VEGF	7422	9606	no_binding	SPR	SPR	Likewise, SPR experiments:performed at physiological conditions of 37 C and pH 7.4:showed rhAng1, BowAng1, and COMP-Ang1 to be high-affinity binders (dissociation constants, KD, of 0.2-1.4 nM) to human and mouse Tie2-Fc (Fig9C and Supplementary Fig S3B), but no binding to Tie2-Fc was detectable for VT, VEGF, PEG-Cys, or T7c (Fig9C and Supplementary Fig S3).	In the pull-down assays, human and mouse Tie2-Fc effectively pulled down the majority of available recombinant human Ang1 (rhAng1), but did not pull down any appreciable levels of VT (Fig9A and B).		25851538	PMC4459817	Vasculotide reduces endothelial permeability and tumor cell extravasation in the absence of binding to or agonistic activation of Tie2	CLAIM:000133704:0-1	PAIR2:GENE:7010|GENE:7422	CLAIM:000133704	5eec066a645e9862110e749f30f09f9e6de5cadc	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
20	SECTM1A	209588	10090	SECTM1B	58210	10090	no_binding	SPR	SPR	When SECTM1A was passed over the same flow cell directly after SECTM1B no binding above background was observed (Figure 2D, solid line).	SECTM1B-Fc was passed over solid phase CD7 and bound rapidly (Figure 2C, solid line).	Thus SECTM1B competes for CD7 binding with SECTM1A.	24039998	PMC3769348	Secreted and Transmembrane 1A Is a Novel Co-Stimulatory Ligand	CLAIM:000292364:0-1	PAIR2:GENE:209588|GENE:58210	CLAIM:000292364	ac1d88421f110327b135b57f1796e8032171bdd4	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
21	TEN1	100134934	9606	importin alpha	3836	9606	no_binding	ITC	ITC	We also show by ITC that STN1 and TEN1 do not have their own classical NLS signal as they do not bind importin alpha (Fig.	6).	5).	33731801	PMC7969954	Pol alpha-primase dependent nuclear localization of the mammalian CST complex	CLAIM:000133168:0-1	PAIR2:GENE:100134934|GENE:3836	CLAIM:000133168	2cf21ed407a60b2a4f1ea4266beb95b520bc1528	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
22	CD209	170786	10090	VSIG4	278180	10090	no_binding	SPR	SPR	A protein binding affinity analysis performed using the biacore revealed that the VSIG4 protein did not bind to CD209.	Subsequently, we investigated the potential interaction between VSIG4 and CD209.	Then, the tissue-resident macrophages in the abdominal cavity of the VSIG4 gene-deficient mice and control mice were isolated.	41150440	PMC12567591	B7 Family Molecule VSIG4 Regulates Pulmonary Anti-Influenza Immune Responses via C-Type Lectin Signal Pathway	CLAIM:000333258:0-1	PAIR2:GENE:170786|GENE:278180	CLAIM:000333258	8d9ae1c3387be1ff9dfa5da2950e02613d985f84	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
23	Langerin	50489	9606	CD4	920	9606	no_binding	SPR	SPR	CD4 (without prior addition of gp140) did not bind to immobilized DC-SIGN or Langerin (data not shown).	2H).		22163292	PMC3233575	DC-SIGN Increases the Affinity of HIV-1 Envelope Glycoprotein Interaction with CD4	CLAIM:000011273:0-1	PAIR2:GENE:50489|GENE:920	CLAIM:000011273	4ec080e916bb99d489b6faaccc4097f9a68db66b	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
24	Cx43	2697	9606	MMP-2	4313	9606	no_binding	SPR	SPR	Oppositely, both PROSPER and SitePrediction identified MMP-2 as a potential candidate, but MMP-2 failed to bind Cx43 in SPR studies.	In addition, one of the sites identified in (Figure 1, indicated by *) has an average score of 0.005 and a specificity far below 95% in SitePrediction.		26424967	PMC4573893	Intracellular Cleavage of the Cx43 C-Terminal Domain by Matrix-Metalloproteases: A Novel Contributor to Inflammation?	CLAIM:000009187:0-1	PAIR2:GENE:2697|GENE:4313	CLAIM:000009187	917937a482c13e381af53a37934367c2b5b2e3a9	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
25	cadherin-11	415797	10090	cadherin-8	427553	10090	no_binding	SPR	SPR	No binding of cadherin-8 and cadherin-11 was observed on any of the three surfaces, while the remaining cadherins, cadherin-12, cadherin-20, cadherin-18, cadherin-22, and cadherin-7, showed intermediate binding comparable to that of the cadherin-10 analyte.	On surfaces coated with cadherin-6, cadherin-9, or cadherin-10, binding of cadherin-6 analyte showed the strongest response, followed by binding of cadherin-9 and cadherin-10.		29742438	PMC6029887	Homophilic and Heterophilic Interactions of Type II Cadherins Identify Specificity Groups Underlying Cell-Adhesive Behavior	CLAIM:000230062:0-1	PAIR2:GENE:415797|GENE:427553	CLAIM:000230062	1d1154769daf772ce333cb89ad419ee7c7231f04	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
26	DC-SIGN	30835	9606	CD4	920	9606	no_binding	SPR	SPR	In addition, in separate experiments where CD4 was injected over immobilised DC-SIGN, no binding of CD4 was detected.	No binding of DC-SIGN or CD4 to immobilised 5F3 was evident in the control flow cell.		22163292	PMC3233575	DC-SIGN Increases the Affinity of HIV-1 Envelope Glycoprotein Interaction with CD4	CLAIM:000011271:0-1	PAIR2:GENE:30835|GENE:920	CLAIM:000011271	27bb328e0f0cbba6bd98ffbb615d45748888e4e2	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	178.0
27	cortactin	2017	9606	Shp1	5777	9606	no_binding	pull_down	pull-down	"To investigate this aspect, in vitro pull-down assays were performed using purified recombinant Shp1 and cortactin (see ""Methods"" section), but no association between these proteins could be detected, either in absence or presence of GroPIns (Additional file 1: Figure S4)."		Having shown that Shp1 dephosphorylates cortactin in vitro (Fig.	34088320	PMC8176763	The phosphatase Shp1 interacts with and dephosphorylates cortactin to inhibit invadopodia function	CLAIM:000234391:0-1	PAIR2:GENE:2017|GENE:5777	CLAIM:000234391	97e1743edc4dd5bbf2b2dbc83eda093a8e355d99	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components;negative_control	1	1	none_detected	1	0	0	1	0	0	177.0
28	DBP	1628	9606	TSP-1	7057	9606	no_binding	in_vitro_binding_unspecified	binding assay	Finally, purified human platelet derived TSP-1, as well as recombinant human C5a, did not bind to immobilized DBP (Fig.	4B).	4C).	22014686	PMC3224156	Cofactor Regulation of C5a Chemotactic Activity in Physiological Fluids. Requirement for the Vitamin D Binding Protein, Thrombospondin-1 and its Receptors	CLAIM:000052088:0-1	PAIR2:GENE:1628|GENE:7057	CLAIM:000052088	1301837659e7d7715d398abad8efc9e27c84c9e0	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0
29	ADAMTS8	512544	10090	LRP1	533894	10090	no_binding	in_vitro_binding_unspecified	solid-phase binding assay	We found that ADAMTS8 did not bind purified human LRP1 in a solid-phase binding assay (Fig.	We aimed to establish if ADAMTS8 also undergoes such post-translational regulation.	S2), suggesting that it may not be internalized through this receptor.	34687701	PMC8577114	Post-translational regulation and proteolytic activity of the metalloproteinase ADAMTS8	CLAIM:000082545:0-1	PAIR2:GENE:512544|GENE:533894	CLAIM:000082545	a99e35f0a74c14fda6ce0c0b0ab02f384e547fb1	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0
30	IGFBP4	3487	9606	BMP4	652	9606	no_interaction	SPR	SPR	However, in contrast, when IGFBP4 was flown over immobilized BMP4, no interaction was detected (Figure S3B).	As shown previously, soluble BMPER flown over immobilized BMP4 also showed a high binding affinity of 1.5 nM (Figure S3A).	To assess whether the presence of IGFBP4 affects the interaction of BMPER with BMP4, a stable concentration of BMPER was flown over immobilized BMP4 in the presence of increased concentrations of IGFBP4.	36902380	PMC10002482	BMPER Improves Vascular Remodeling and the Contractile Vascular SMC Phenotype	CLAIM:000198911:0-1	PAIR2:GENE:3487|GENE:652	CLAIM:000198911	7282f3fee973ce6cea661437a6be5e98fdb8e2e6	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	176.0
31	C5a	15139	10090	DBP	1628	9606	no_binding	in_vitro_binding_unspecified	binding assay	Finally, purified human platelet derived TSP-1, as well as recombinant human C5a, did not bind to immobilized DBP (Fig.	4B).	4C).	22014686	PMC3224156	Cofactor Regulation of C5a Chemotactic Activity in Physiological Fluids. Requirement for the Vitamin D Binding Protein, Thrombospondin-1 and its Receptors	CLAIM:000052089:0-1	PAIR2:GENE:15139|GENE:1628	CLAIM:000052089	372b21e46b4c4409c29a10852199f4061089cb54	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0
32	APP	351	9606	CHCHD3	54927	4932	no_binding	in_vitro_binding_unspecified	in vitro binding assay	In vitro binding assay of recombinant proteins also demonstrated a direct and selective interaction between CHCHD6 and APP, as there was no binding observed between APP and either mitofillin or CHCHD3 (Fig.	3f).	3b).	36104602	PMC9547808	A CHCHD6-APP axis connects amyloid and mitochondrial pathology in Alzheimer's disease	CLAIM:000145133:0-1	PAIR2:GENE:351|GENE:54927	CLAIM:000145133	8397301865a07741dcd98c3064a10f47c554ab69	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	176.0
33	PP4R2	151987	10090	CT45	2577	10090	no_interaction	ITC	Gel filtration	Gel filtration confirmed a direct interaction of recombinant CT45 with the regulatory subunit PP4R3beta (Figure 3B), while there was no interaction observed with PP4R2 (Figure S2Q).	The CT45-PP4 interaction was reciprocally confirmed in 59M cells endogenously expressing CT45 (Figure S2O).	Furthermore, isothermal titration calorimetry (ITC) showed a low micromolar interaction affinity between CT45 and PP4R3beta (Figure 3C; KD = 0.37 muM +- 0.03).	30241606	PMC6827878	Multi-level Proteomics Identifies CT45 as a Chemosensitivity Mediator and Immunotherapy Target in Ovarian Cancer	CLAIM:000336412:0-1	PAIR2:GENE:151987|GENE:2577	CLAIM:000336412	16345625d91d96c5ca97038a2f6e81b399a98da8	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative		1	1	none_detected	1	0	0	0	0	0	176.0
34	RhoGDI2	397	9606	RhoG	41136		no_interaction	in_vitro_binding_unspecified	direct binding assays	RhoGDI2 also interacted with Rac1 and to a lesser extent with Rac2 and RhoA in direct binding assays, while no interaction was observed with RhoG or Cdc42 (Fig.	However, the highest levels of RhoGDI1 interaction were with Rac1 and RhoA via direct binding assay while RhoG and Rac2 showed the highest binding when the analysis examined endogenous Rho GTPases.	3D, bottom panel).	38943612	PMC11599123	RhoGDI in RBL-2H3 cells acts as a negative regulator of Rho GTPase signaling to inhibit granule exocytosis	CLAIM:000281024:0-1	PAIR2:GENE:397|GENE:41136	CLAIM:000281024	6d63eaacf0ae6db6ed0fea7dedd968190d0e918c	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	1	0	1	0	0	167.0
35	KLK14	43847	9606	SPINK9	643394	9606	no_binding	SPR	surface plasmon resonance	Analyses by surface plasmon resonance showed heterogeneous binding to SPINK9 of KLK5 and KLK8, but no binding of KLK7 or KLK14.	Slight inhibition of KLK8 using fibrinogen substrate could be observed using high concentrations of SPINK9.	KLK5 has been suggested to play a central role in skin desquamation as an initiating activating enzyme in proteolytic cascades formed by KLKs.	19194479		SPINK9: a selective, skin-specific Kazal-type serine protease inhibitor.	CLAIM:000243278:0-1	PAIR2:GENE:43847|GENE:643394	CLAIM:000243278	d3ea5c6942bd8896b173ac5e09b9a96b7f8331ea	REVIEW_EXPERIMENTAL_SUPPORT	uncertain	canonical_possible	experiment_not_confirmed_by_prior_model		0	1	none_detected	0	0	0	0	0	0	166.0
36	Kdm4B	318918	7147	Bur	45830	7147	no_binding	pull_down	pull-down	Kdm4B prepared from MB neurons, with or without optogenetic activation, did not bind to the recombinant Bur protein, suggesting no causal modification of Kdm4B for binding to Bur (Fig.	To this end, we performed a pull-down assay where the binding of fly head proteins to recombinant proteins was assessed by immunoprecipitation.	3A).	37639608	PMC10483633	Differential second messenger signaling via dopamine neurons bidirectionally regulates memory retention	CLAIM:000282099:0-1	PAIR2:GENE:318918|GENE:45830	CLAIM:000282099	f2c7775be0fd03c08e353d0570198a1310f52cb9	GOLD_DIRECT_CANONICAL	negative	canonical_possible	direct_experimental_physical_negative	purified_components	1	1	none_detected	1	0	0	1	0	0	165.0
37	ALDH1A1	11668	10090	p35	12569	10090	no_binding	pull_down	unknown	Each experiment was repeated at least three independent times. h ALDH1A1 does not bind with p35 or p25 directly.	ALDH1A1 was immunoprecipitated from either control or glutamate-treated HT22 cells (for 0-6 h), and the association of ALDH1A1 and p35/p25 was analyzed.	ALDH1A1 and p35 or p25 association was analyzed using recombinant p35, p25, and ALDH1A1 in an in vitro pull-down assay.	29948941	PMC6368892	Multifaceted Regulation of ALDH1A1 by Cdk5 in Alzheimer's Disease Pathogenesis	CLAIM:000029910:0-1	PAIR2:GENE:11668|GENE:12569	CLAIM:000029910	5718781a68e4376a14572e48cf06bdc2981153bb	SILVER_PHYSICAL_CANONICAL	negative	canonical_possible	physical_negative_with_non_gold_or_cellular_assay		1	1	none_detected	0	0	0	0	0	0	158.0
