ac_id	protein_a	protein_c	tax_id	pdb_id	assembly_id	structure_file	chain_a	chain_c	bridge_chain	bridge_protein	num_protein_chains	experimental_method	resolution	r_free	ac_min_heavy_a	ac_min_cb_or_ca_a	ac_distance_margin_status	ac_mutual_nearest	a_observed_residues	c_observed_residues	a_construct_coverage	c_construct_coverage	a_canonical_coverage	c_canonical_coverage	ab_min_heavy_a	bc_min_heavy_a	ab_cbca_contact_pairs_8a	bc_cbca_contact_pairs_8a	ab_interface_residues_anchor	ab_interface_residues_bridge	bc_interface_residues_bridge	bc_interface_residues_negative	bridge_edges_interface_pass	aggregate_noncontact_assemblies	aggregate_class_a_assemblies	aggregate_distinct_pdb_count	assembly_coordinate_source	assembly_rebuild_audit_status	direct_positive_conflict_status	structure_grade_provisional	negative_label_semantics	qc_status	assembly_size_stratum
AC:000011	P62487	P63272	9606	8xrm	1	8xrm-assembly1.cif.gz	G	R	S	O00267	16	ELECTRON MICROSCOPY			43.157	46.224	robust_ge_10A	0	171	116	0.9942	0.9915	0.9942	0.9915	3.043	2.667	47	80	18	23	27	33	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000012	P20282	P21467	224308	8cdu	1	8cdu-assembly1.cif.gz	M	G	E	P21465	20	ELECTRON MICROSCOPY			32.361	35.205	robust_ge_10A	0	49	158	0.8033	0.9518	0.4050	0.9518	2.632	5.408	51	0	16	22	0	0	0	22	1	22	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000013	P41586	P59768	9606	6m1i	1	6m1i-assembly1.cif.gz	A	D	E	P62873	6	ELECTRON MICROSCOPY			12.357	19.861	robust_ge_10A	0	353	57	0.8695	0.8028	0.7543	0.8028	2.739	2.381	5	138	2	5	60	38	0	5	5	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000014	A8ITV3	P12154	3055	7zq9	1	7zq9-assembly1.cif.gz	T	A	B	P09144	24	ELECTRON MICROSCOPY			45.351	48.518	robust_ge_10A	0	186	742	0.8732	0.9880	0.8732	0.9880	2.747	2.525	23	241	10	11	80	77	1	7	7	7	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000015	P04310	P21603	10254	8c8h	1	8c8h-assembly1.cif.gz	D	N	J	P68317	13	ELECTRON MICROSCOPY			33.665	36.072	robust_ge_10A	0	153	158	0.9503	0.6172	0.9503	0.6100	2.846	2.173	40	253	18	19	122	76	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000016	Q86VP6	Q96GG9	9606	8or3	1	8or3-assembly1.cif.gz	C	F	A	Q13616	6	ELECTRON MICROSCOPY			20.844	23.332	robust_ge_10A	0	1143	167	0.9233	0.6398	0.9293	0.6448	2.675	2.606	123	24	68	61	11	12	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000017	P53803	Q92966	9606	9fsp	1	9fsp-assembly1.cif.gz	P	Y	S	Q9HAW0	23	ELECTRON MICROSCOPY			32.645	33.618	robust_ge_10A	0	46	385	0.7931	0.9367	0.7931	0.9367	7.086	4.667	0	3	0	0	2	2	0	5	5	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000018	A0A8D1KNW4	P60899	9823	9rtt	1	9rtt-assembly1.cif.gz	F	I	Q	Q6PD62	22	ELECTRON MICROSCOPY			56.879	60.926	robust_ge_10A	0	117	47	0.9360	0.8103	0.9213	0.3760	2.865	2.620	67	57	27	33	24	19	1	4	4	4	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000019	Q00403	Q92966	9606	7zxe	1	7zxe-assembly1.cif.gz	A	H	G	Q16533	8	ELECTRON MICROSCOPY			12.565	15.337	robust_ge_10A	0	201	365	0.6361	0.8881	0.6361	0.8881	2.643	2.394	4	149	4	2	59	63	0	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000020	D5AQG8	D5AQH2	272942	6tg9	1	6tg9-assembly1.cif.gz	H	G	E	D5AQH0	8	ELECTRON MICROSCOPY			40.890	43.349	robust_ge_10A	0	69	148	0.9718	0.9867	0.9718	0.9867	2.090	2.727	46	44	17	29	17	15	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000021	A4VD75	I7M6H4	312017	8bx8	1	8bx8-assembly1.cif.gz	P	C	B	I7M9J2	18	ELECTRON MICROSCOPY			9.893	10.679	borderline_8_to_10A	0	109	3947	0.8934	0.9470	0.8934	0.9470	1.087	0.700	53	145	18	22	49	46	1	2	1	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000022	P20979	P21082	10249	8rqk	1	8rqk-assembly1.cif.gz	O	M	A	P20504	15	ELECTRON MICROSCOPY			18.169	21.831	robust_ge_10A	0	605	186	0.9588	0.7266	0.7168	0.7181	2.684	2.245	16	244	8	8	116	75	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000023	C4R0E6	C4R1V1	644223	8jh2	1	8jh2-assembly1.cif.gz	S	F	D	C4R2U9	23	ELECTRON MICROSCOPY			48.506	54.506	robust_ge_10A	0	102	168	0.8947	0.9032	0.8947	1.0839	5.011	2.983	0	11	0	0	7	6	0	25	23	25	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000024	P26784	P36160	559292	7oht	1	7oht-assembly1.cif.gz	O	X	Y	Q08746	24	ELECTRON MICROSCOPY			28.542	31.006	robust_ge_10A	0	116	263	0.7250	0.7645	0.5829	0.7645	2.460	2.270	32	182	16	12	53	71	1	13	4	13	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000025	P05805	Q7M3E1	9913	1pyt	1	1pyt-assembly1.cif.gz	C	D	A	P00730	4	X-RAY DIFFRACTION			8.082	9.771	borderline_8_to_10A	0	248	251	0.9802	1.0000	0.9802	0.9366	2.502	2.426	72	21	29	29	9	11	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000026	P13165	P69416	4513	7ew6	1	7ew6-assembly1.cif.gz	I	C	A	A1E9J1	15	ELECTRON MICROSCOPY			30.760	31.602	robust_ge_10A	0	42	81	1.0000	1.0000	1.1667	1.0000	2.961	2.656	20	30	9	8	10	13	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000027	V5V9F4	V5V9K5	470	7d08	1	7d08-assembly1.cif.gz	A	C	B	A0A086HZU3	12	ELECTRON MICROSCOPY			11.138	15.240	robust_ge_10A	0	256	95	0.9922	0.9223	0.9922	1.0000	2.392	2.732	36	47	10	20	19	18	1	5	5	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000028	Q24I09	W7XBF5	312017	8b6g	1	8b6g-assembly1.cif.gz	J	C	B	Q22HD6	15	ELECTRON MICROSCOPY			37.022	41.664	robust_ge_10A	0	321	88	0.9969	0.9888	0.9969	0.9888	2.689	2.995	8	20	4	4	7	10	1	4	3	4	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000029	P49735	Q9W0I7	7227	6ray	1	6ray-assembly1.cif.gz	K	H	E	Q9VGW6	11	ELECTRON MICROSCOPY			34.870	38.458	robust_ge_10A	0	600	177	0.6764	0.8719	0.6764	0.8762	2.212	2.440	144	46	61	59	14	22	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000030	P00428	P04038	9913	3abk	2	3abk-assembly2.cif.gz	S	V	Q	P00423	13	X-RAY DIFFRACTION			17.538	20.827	robust_ge_10A	0	98	72	1.0000	1.0000	0.7597	0.9730	2.456	2.729	6	17	4	3	8	9	1	133	131	91	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000031	P06899	P52435	9606	8xrj	1	8xrj-assembly1.cif.gz	W	K	B	P30876	20	ELECTRON MICROSCOPY			37.133	38.502	robust_ge_10A	0	93	115	0.7440	0.9829	0.7381	0.9829	2.703	3.132	10	17	6	7	13	8	1	2	1	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000032	C4QY79	C4R273	644223	8yfr	1	8yfr-assembly1.cif.gz	I	H	A	C4R4Y0	14	ELECTRON MICROSCOPY			43.130	51.540	robust_ge_10A	0	111	133	0.9652	0.9172	0.9823	0.9172	2.487	2.509	73	85	29	32	36	36	1	5	5	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000033	P9WGY7	P9WJG3	83332	6vvz	1	6vvz-assembly1.cif.gz	D	H	C	P9WGY9	8	ELECTRON MICROSCOPY			18.903	22.149	robust_ge_10A	0	1266	159	0.9548	0.9815	0.9620	0.9815	2.359	2.425	567	37	193	174	14	15	1	9	9	9	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000034	C3SQX2	C3SR57	562	9sx2	1	9sx2-assembly1.cif.gz	C	K	I	C3SRY2	21	ELECTRON MICROSCOPY			36.554	38.219	robust_ge_10A	0	226	122	0.9378	0.9919	0.9700	0.9457	7.662	3.689	0	3	0	0	2	2	0	12	1	12	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	325651	6igz	1	6igz-assembly1.cif.gz	L	O	A	A0A4V8GZZ2	23	ELECTRON MICROSCOPY			38.399	43.299	robust_ge_10A	0	155	226	0.7598	0.8043	0.7598	0.8043	3.230	2.217	8	42	5	4	20	15	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000036	O74499	P87173	284812	6ppv	1	6ppv-assembly1.cif.gz	G	A	D	O14352	7	X-RAY DIFFRACTION			9.749	13.339	borderline_8_to_10A	0	85	69	0.7522	0.8023	0.7522	0.4929	2.342	2.598	61	61	21	26	21	20	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000037	Q76B86	Q9TM21	2771	4yuu	3	4yuu-assembly3.cif.gz	JB	UA	EB	Q76FB0	22	X-RAY DIFFRACTION			30.843	35.447	robust_ge_10A	0	111	31	0.5092	0.7209	0.5092	0.7209	5.289	4.144	6	0	5	4	0	0	0	2	2	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000038	B6A879	B6A880	935293	9cbc	1	9cbc-assembly1.cif.gz	O	P	B	B6A878	17	ELECTRON MICROSCOPY			41.409	41.409	robust_ge_10A	0	631	1476	0.9968	0.9926	0.9968	0.9926	3.476	2.419	18	47	10	10	16	20	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000039	A0A9R0I5M6	A0A9R0JF29	3562	8xzv	1	8xzv-assembly1.cif.gz	P	N	D	P11704	19	ELECTRON MICROSCOPY			96.416	104.074	robust_ge_10A	0	104	223	0.7273	0.6657	0.6118	0.3289	6.449	7.709	0	0	0	0	0	0	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000040	P0C6E0	Q9KPS1	243277	8a1u	1	8a1u-assembly1.cif.gz	C	A	F	Q9X4Q8	6	ELECTRON MICROSCOPY			32.563	37.544	robust_ge_10A	0	251	448	0.9767	0.9573	0.9767	1.0045	2.785	2.614	33	27	14	11	15	11	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	3_10
AC:000041	P39744	P43586	559292	7r6k	1	7r6k-assembly1.cif.gz	C	B	F	Q07896	15	ELECTRON MICROSCOPY			15.192	18.796	robust_ge_10A	0	458	109	0.6451	0.5343	0.6451	0.5343	2.321	2.930	187	19	69	73	9	7	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000042	A0A2K3DG79	A8J353	3055	7ekq	1	7ekq-assembly1.cif.gz	S	O	A	A8INX1	19	ELECTRON MICROSCOPY			49.564	50.895	robust_ge_10A	0	194	162	1.0000	0.9000	0.8981	0.6639	4.667	4.185	1	0	1	1	0	0	0	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000043	A0A2P6U4K1	W8SY74	3076	6zzy	1	6zzy-assembly1.cif.gz	R	A	P	A0A2P6TMT4	23	ELECTRON MICROSCOPY			28.422	31.220	robust_ge_10A	0	227	741	1.0000	1.0000	0.8764	0.9867	2.951	2.738	42	49	18	14	21	21	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000044	Q9TM20	Q9TM22	2771	4yuu	2	4yuu-assembly2.cif.gz	Y	EA	X	Q9TM47	21	X-RAY DIFFRACTION			34.139	38.948	robust_ge_10A	0	57	37	0.6786	0.9737	0.6786	0.9737	2.589	2.293	74	11	21	29	7	6	1	4	4	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000045	O43036	O94616	284812	7aod	1	7aod-assembly1.cif.gz	G	O	N	Q9P7X8	24	ELECTRON MICROSCOPY			17.633	20.442	robust_ge_10A	0	160	317	0.9249	0.9109	0.9249	0.9109	2.175	2.261	38	80	15	15	41	36	1	3	3	3	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000046	A0QVB8	A0R550	246196	8wif	1	8wif-assembly1.cif.gz	U	N	C	A0QSD7	22	ELECTRON MICROSCOPY			21.930	23.352	robust_ge_10A	0	228	100	0.8231	0.9901	0.8231	0.9901	6.344	2.827	0	59	0	0	23	19	0	5	3	5	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000047	D0CD11	D0CD21	575584	6yt9	1	6yt9-assembly1.cif.gz	G	D	E	D0CD14	13	ELECTRON MICROSCOPY			16.291	20.798	robust_ge_10A	0	130	207	0.9924	0.9952	0.9924	0.9952	2.787	2.453	32	18	13	14	8	9	1	2	2	2	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000048	Q2G111	Q2G2Q1	93061	8bh7	1	8bh7-assembly1.cif.gz	T	Q	G	Q2G113	20	ELECTRON MICROSCOPY			17.239	20.624	robust_ge_10A	0	71	88	0.8875	0.9888	0.8875	0.9888	2.380	4.033	33	5	16	14	3	3	1	16	8	16	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000049	P04637	P61218	9606	6xre	1	6xre-assembly1.cif.gz	M	F	A	P24928	13	ELECTRON MICROSCOPY			44.077	46.674	robust_ge_10A	0	314	78	0.7990	0.6142	0.7990	0.6142	2.493	2.557	56	124	25	27	45	45	1	1	1	1	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-A-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
AC:000050	P21471	P21476	224308	8cdv	1	8cdv-assembly1.cif.gz	K	R	O	P21473	17	ELECTRON MICROSCOPY			17.451	23.420	robust_ge_10A	0	108	64	0.8926	0.8101	1.0588	0.6957	2.485	7.937	17	0	8	8	0	0	0	22	14	22	RCSB_downloaded_biological_assembly	official_coordinates_not_independently_rebuilt	no_PDB_contact_in_exact_pair_aggregate_external_sources_pending	Structure-B-provisional	assembly_context_direct_noncontact_not_universal_nonbinder	coordinate_verified_open_wedge	11_24
