protein_a	protein_c	example_evidence	reason	details
P0A2D5	P54702	8woe-assembly1.cif.gz:CC-OB	assembly_exceeds_chain_cap	chains=451
A0A0U1UXW0	A0A0U1WZ79	9euf-assembly1.cif.gz:A-U	assembly_exceeds_chain_cap	chains=189
A0A0U1UXD6	A0ACD6BAG5	9euf-assembly1.cif.gz:F-UA	assembly_exceeds_chain_cap	chains=189
A0A0U1UXW5	A0ACD6BAG5	9euf-assembly1.cif.gz:BB-WA	assembly_exceeds_chain_cap	chains=189
Q4Z9Z7	Q4ZA02	9euf-assembly1.cif.gz:N-NA	assembly_exceeds_chain_cap	chains=189
A0A0U1WIJ9	A0A0U1WZ79	9euf-assembly1.cif.gz:Q-YA	assembly_exceeds_chain_cap	chains=189
Q4Z9Z9	Q4ZA15	9euf-assembly1.cif.gz:C-Z	assembly_exceeds_chain_cap	chains=189
A0A0U1UXW5	A0A0U1X189	9euf-assembly1.cif.gz:AA-E	assembly_exceeds_chain_cap	chains=189
Q4Z9Z7	Q4ZA00	9euf-assembly1.cif.gz:EB-O	assembly_exceeds_chain_cap	chains=189
Q8WUM0	Q96EE3	5a9q-assembly1.cif.gz:EA-G	assembly_exceeds_chain_cap	chains=304
A0A7J6KB56	A0A7J6KDX1	9y9z-assembly1.cif.gz:CJ-UD	assembly_exceeds_chain_cap	chains=378
S8GBZ2	S8GJP0	9y9z-assembly1.cif.gz:FA-LN	assembly_exceeds_chain_cap	chains=378
A0A086KR31	A0A086KRX4	9y9z-assembly1.cif.gz:FI-RF	assembly_exceeds_chain_cap	chains=378
A0A7J6K285	A0A7J6KDX1	9y9z-assembly1.cif.gz:RI-YA	assembly_exceeds_chain_cap	chains=378
S8FEB8	S8G5Q1	9y9z-assembly1.cif.gz:ML-WE	assembly_exceeds_chain_cap	chains=378
S8F3E8	S8GJP0	9y9z-assembly1.cif.gz:HA-PI	assembly_exceeds_chain_cap	chains=378
A0A2K9V5T6	A0A2K9V618	9f4a-assembly1.cif.gz:IE-S	assembly_exceeds_chain_cap	chains=192
W0RZB2	W0RZJ2	6kgx-assembly1.cif.gz:JI-YH	assembly_exceeds_chain_cap	chains=706
W0RZB2	W0RZE2	6kgx-assembly1.cif.gz:DI-WH	assembly_exceeds_chain_cap	chains=706
W0RZ90	W0RZJ2	6kgx-assembly1.cif.gz:BI-YH	assembly_exceeds_chain_cap	chains=706
A0A125YJV2	A0A125YTD7	6tml-assembly1.cif.gz:CA-EJ	assembly_exceeds_chain_cap	chains=270
A0A125YJP2	S7UQ82	6tml-assembly1.cif.gz:CH-QI	assembly_exceeds_chain_cap	chains=270
A0A125YV76	S7W180	6tml-assembly1.cif.gz:L-S	assembly_exceeds_chain_cap	chains=270
A0A125YRE2	S7W9J5	6tml-assembly1.cif.gz:AC-DD	assembly_exceeds_chain_cap	chains=270
A0A125YRE2	A0A125YTD7	6tml-assembly1.cif.gz:CA-YI	assembly_exceeds_chain_cap	chains=270
A0A125YLN4	A0A125YRE2	6tml-assembly1.cif.gz:DH-MF	assembly_exceeds_chain_cap	chains=270
A0A125YTD7	S7UU80	6tml-assembly1.cif.gz:E-VB	assembly_exceeds_chain_cap	chains=270
A0A125YRE2	S7V493	6tml-assembly1.cif.gz:AC-JD	assembly_exceeds_chain_cap	chains=270
A0A125YKF7	S7VV10	6tml-assembly1.cif.gz:LG-ZI	assembly_exceeds_chain_cap	chains=270
A0A125YJP2	A0A125YJV2	6tml-assembly1.cif.gz:NI-WH	assembly_exceeds_chain_cap	chains=270
S7VXW3	S7W9J5	6tml-assembly1.cif.gz:R-Z	assembly_exceeds_chain_cap	chains=270
A0A125YPS4	S7W180	6tml-assembly1.cif.gz:JA-YF	assembly_exceeds_chain_cap	chains=270
A0A125YJP2	A0A125YRE2	6tml-assembly1.cif.gz:GB-YA	assembly_exceeds_chain_cap	chains=270
A0A125YJV2	S7V2T0	6tml-assembly1.cif.gz:BF-YC	assembly_exceeds_chain_cap	chains=270
A0A125YRE2	S7UU80	6tml-assembly1.cif.gz:LE-SE	assembly_exceeds_chain_cap	chains=270
A0A125YKF8	S7UQT7	6tml-assembly1.cif.gz:BD-IE	assembly_exceeds_chain_cap	chains=270
A0A125YKF7	A0A125YTD7	6tml-assembly1.cif.gz:OD-XD	assembly_exceeds_chain_cap	chains=270
A0A125YKF8	A0A125YSI9	6tml-assembly1.cif.gz:IE-RC	assembly_exceeds_chain_cap	chains=270
A0A125YRE2	A0A125YYY4	6tml-assembly1.cif.gz:VI-YI	assembly_exceeds_chain_cap	chains=270
A0A125YUZ2	A0A125YYY4	6tml-assembly1.cif.gz:EE-OE	assembly_exceeds_chain_cap	chains=270
A0A125YV76	A0A125YYY4	6tml-assembly1.cif.gz:QG-WI	assembly_exceeds_chain_cap	chains=270
A0A125YLR0	A0A125YYY4	6tml-assembly1.cif.gz:OE-UD	assembly_exceeds_chain_cap	chains=270
A0A125YUH0	S7W9J5	6tml-assembly1.cif.gz:DD-ZB	assembly_exceeds_chain_cap	chains=270
A0A125YUH0	S7V493	6tml-assembly1.cif.gz:VG-XI	assembly_exceeds_chain_cap	chains=270
A0A125YSI9	S7UU80	6tml-assembly1.cif.gz:DG-TI	assembly_exceeds_chain_cap	chains=270
A0A125YTD7	A0A125YUZ2	6tml-assembly1.cif.gz:E-U	assembly_exceeds_chain_cap	chains=270
S7V2T0	S7W9J5	6tml-assembly1.cif.gz:KA-PA	assembly_exceeds_chain_cap	chains=270
A0A125YUH0	A0A125YV76	6tml-assembly1.cif.gz:QG-XI	assembly_exceeds_chain_cap	chains=270
A0A125YJV2	A0A125YUZ2	6tml-assembly1.cif.gz:FJ-SA	assembly_exceeds_chain_cap	chains=270
S7UVZ7	S7VV10	6tml-assembly1.cif.gz:TA-ZI	assembly_exceeds_chain_cap	chains=270
P10916	Q8WZ42	8g4l-assembly1.cif.gz:KA-OA	assembly_exceeds_chain_cap	chains=123
Q14896	Q8WZ42	8g4l-assembly1.cif.gz:BC-ZB	assembly_exceeds_chain_cap	chains=123
A0A5J4YZH3	W0RZB2	7ezx-assembly1.cif.gz:JF-RS	assembly_exceeds_chain_cap	chains=658
A0A5J4YNU6	A0A5J4YTV6	7ezx-assembly1.cif.gz:MQ-ZP	assembly_exceeds_chain_cap	chains=658
A0A5J4YZM7	W0RZB2	7ezx-assembly1.cif.gz:NI-ZO	assembly_exceeds_chain_cap	chains=658
A0A5J4YX19	W0RZJ2	7ezx-assembly1.cif.gz:AF-EX	assembly_exceeds_chain_cap	chains=658
A0A5J4YI31	W0RZJ2	7ezx-assembly1.cif.gz:CW-OS	assembly_exceeds_chain_cap	chains=658
A0A5J4YZM7	W0RYI4	7ezx-assembly1.cif.gz:AB-AD	assembly_exceeds_chain_cap	chains=658
A0A5J4YZH3	W0RYI4	7ezx-assembly1.cif.gz:KF-RS	assembly_exceeds_chain_cap	chains=658
A0A5J4YVZ2	W0RYI4	7ezx-assembly1.cif.gz:EF-XP	assembly_exceeds_chain_cap	chains=658
A0A5J4YTV6	A0A5J4YZM7	7ezx-assembly1.cif.gz:AB-DW	assembly_exceeds_chain_cap	chains=658
A0A5J4YVZ2	W0RZB2	7ezx-assembly1.cif.gz:DX-YE	assembly_exceeds_chain_cap	chains=658
A0A5J4YX63	W0RZJ2	7ezx-assembly1.cif.gz:EX-PS	assembly_exceeds_chain_cap	chains=658
A0A5J4YJY8	W0RZ90	7ezx-assembly1.cif.gz:NC-QE	assembly_exceeds_chain_cap	chains=658
A0A5J4Z323	W0RZ90	7ezx-assembly1.cif.gz:C-ME	assembly_exceeds_chain_cap	chains=658
A0A5J4Z323	W0RZJ2	7ezx-assembly1.cif.gz:MC-YP	assembly_exceeds_chain_cap	chains=658
A0A5J4YVZ2	W0RZ90	7ezx-assembly1.cif.gz:BW-C	assembly_exceeds_chain_cap	chains=658
A0A5J4Z7F4	W0S279	7ezx-assembly1.cif.gz:LP-VX	assembly_exceeds_chain_cap	chains=658
A0A5J4YZM7	W0RZJ2	7ezx-assembly1.cif.gz:AB-CW	assembly_exceeds_chain_cap	chains=658
A0A5J4ZA95	W0RZ90	7ezx-assembly1.cif.gz:C-FW	assembly_exceeds_chain_cap	chains=658
A0A5J4YNU6	W0S1U6	7ezx-assembly1.cif.gz:OU-VP	assembly_exceeds_chain_cap	chains=658
A0A5J4YX19	W0S1U6	7ezx-assembly1.cif.gz:PE-VP	assembly_exceeds_chain_cap	chains=658
A0A5J4YTV6	W0S1U6	7ezx-assembly1.cif.gz:VP-ZP	assembly_exceeds_chain_cap	chains=658
A0A5J4YMI8	W0RZ90	7ezx-assembly1.cif.gz:BK-DV	assembly_exceeds_chain_cap	chains=658
A0A5J4YNU6	A0A5J4YZM7	7ezx-assembly1.cif.gz:MN-YO	assembly_exceeds_chain_cap	chains=658
A0A5J4YMI8	W0RZJ2	7ezx-assembly1.cif.gz:DV-EX	assembly_exceeds_chain_cap	chains=658
A0A5J4YM59	W0S1U6	7ezx-assembly1.cif.gz:OE-VP	assembly_exceeds_chain_cap	chains=658
A0A5J4YZM7	W0RZ90	7ezx-assembly1.cif.gz:BK-YO	assembly_exceeds_chain_cap	chains=658
A0A5J4Z2M2	W0RZB2	7ezx-assembly1.cif.gz:GX-YE	assembly_exceeds_chain_cap	chains=658
A0A5J4ZA95	W0RYI4	7ezx-assembly1.cif.gz:FW-J	assembly_exceeds_chain_cap	chains=658
A0A5J4YI31	W0RZB2	7ezx-assembly1.cif.gz:OS-ZC	assembly_exceeds_chain_cap	chains=658
A0A5J4YZH3	W0RZ90	7ezx-assembly1.cif.gz:BM-QE	assembly_exceeds_chain_cap	chains=658
A0A5J4YI31	W0RZ91	7y5e-assembly1.cif.gz:GCA-JX	assembly_exceeds_chain_cap	chains=894
A0A5J4YXP2	W0RYJ5	7y5e-assembly1.cif.gz:WV-Z	assembly_exceeds_chain_cap	chains=894
A0A5J4YX19	W0RYZ6	7y5e-assembly1.cif.gz:AH-VL	assembly_exceeds_chain_cap	chains=894
W0RYQ6	W0RYV0	7y5e-assembly1.cif.gz:EX-WW	assembly_exceeds_chain_cap	chains=894
W0RYJ5	W0RYU5	7y5e-assembly1.cif.gz:VV-VW	assembly_exceeds_chain_cap	chains=894
P37207	W0S1Z0	7y5e-assembly1.cif.gz:LN-WL	assembly_exceeds_chain_cap	chains=894
A0A5J4YXP2	W0RZ40	7y5e-assembly1.cif.gz:MW-Z	assembly_exceeds_chain_cap	chains=894
A0A5J4YLQ6	A0A5J4YX19	7y5e-assembly1.cif.gz:AH-UL	assembly_exceeds_chain_cap	chains=894
A0A5J4YI31	A0A5J4YLQ6	7y5e-assembly1.cif.gz:MFA-TEA	assembly_exceeds_chain_cap	chains=894
A0A5J4YVZ2	A0A5J4YZH3	7y5e-assembly1.cif.gz:BJ-YS	assembly_exceeds_chain_cap	chains=894
W0RYQ6	W0RZ31	7y5e-assembly1.cif.gz:WW-YW	assembly_exceeds_chain_cap	chains=894
A0A5J4Z3A3	A0A5J4Z7F4	7y5e-assembly1.cif.gz:KY-OL	assembly_exceeds_chain_cap	chains=894
A0A5J4Z6J3	W0RZ08	7y5e-assembly1.cif.gz:AL-FGA	assembly_exceeds_chain_cap	chains=894
P11393	W0RZ28	7y5e-assembly1.cif.gz:KL-ZK	assembly_exceeds_chain_cap	chains=894
A0A5J4Z027	W0RZ76	7y5e-assembly1.cif.gz:XL-YZ	assembly_exceeds_chain_cap	chains=894
P11392	W0RZE2	7y5e-assembly1.cif.gz:QJ-WR	assembly_exceeds_chain_cap	chains=894
A0A5J4YP51	W0RZ08	7y5e-assembly1.cif.gz:AL-MGA	assembly_exceeds_chain_cap	chains=894
P37208	W0RZ08	7y5e-assembly1.cif.gz:NO-UEA	assembly_exceeds_chain_cap	chains=894
P37208	W0RZ71	7y5e-assembly1.cif.gz:FN-JE	assembly_exceeds_chain_cap	chains=894
A0A5J4YVZ2	W0RYK4	7y5e-assembly1.cif.gz:QV-XR	assembly_exceeds_chain_cap	chains=894
A0A5J4YX63	W0RZ08	7y5e-assembly1.cif.gz:OV-TDA	assembly_exceeds_chain_cap	chains=894
W0RZ04	W0RZE2	7y5e-assembly1.cif.gz:KN-WR	assembly_exceeds_chain_cap	chains=894
A0A5J4YI31	A0A5J4Z323	7y5e-assembly1.cif.gz:TEA-ZI	assembly_exceeds_chain_cap	chains=894
W0RYU5	W0RYZ6	7y5e-assembly1.cif.gz:GX-UW	assembly_exceeds_chain_cap	chains=894
A0A5J4YYD7	W0RZ76	7y5e-assembly1.cif.gz:AW-IX	assembly_exceeds_chain_cap	chains=894
W0RYQ6	W0RZ76	7y5e-assembly1.cif.gz:IX-WW	assembly_exceeds_chain_cap	chains=894
A0A5J4ZA95	W0RYU5	7y5e-assembly1.cif.gz:AS-BFA	assembly_exceeds_chain_cap	chains=894
A0A343KP28	A0A5J4ZA95	7y5e-assembly1.cif.gz:AS-BH	assembly_exceeds_chain_cap	chains=894
A0A5J4YM59	A0A5J4YR43	7y5e-assembly1.cif.gz:RN-XE	assembly_exceeds_chain_cap	chains=894
A0A5J4Z3A3	W0RYJ5	7y5e-assembly1.cif.gz:BX-VW	assembly_exceeds_chain_cap	chains=894
L7P7R0	L7P7R4	8rqe-assembly1.cif.gz:EFA-VFA	assembly_exceeds_chain_cap	chains=871
L7P7R4	L7P7W9	8rqe-assembly1.cif.gz:FFA-KO	assembly_exceeds_chain_cap	chains=871
L7P7R4	L7P800	8rqe-assembly1.cif.gz:EFA-KC	assembly_exceeds_chain_cap	chains=871
L7P801	L7P846	8rqe-assembly1.cif.gz:NFA-YFA	assembly_exceeds_chain_cap	chains=871
A0A3Q1N1R0	Q2T9Q6	7rro-assembly1.cif.gz:HA-JO	assembly_exceeds_chain_cap	chains=429
E1BKH1	E1BNS6	7rro-assembly1.cif.gz:D-YL	assembly_exceeds_chain_cap	chains=429
Q32L75	Q32P67	7rro-assembly1.cif.gz:C-LP	assembly_exceeds_chain_cap	chains=429
Q2KIQ2	Q2T9Q6	7rro-assembly1.cif.gz:A-HA	assembly_exceeds_chain_cap	chains=429
E1BNS6	Q2TBR5	7rro-assembly1.cif.gz:I-ZB	assembly_exceeds_chain_cap	chains=429
Q32L75	Q6B857	7rro-assembly1.cif.gz:C-XC	assembly_exceeds_chain_cap	chains=429
A0A3Q1N1R0	E1BKF9	7rro-assembly1.cif.gz:XO-Z	assembly_exceeds_chain_cap	chains=429
A0A3Q1N1R0	E1B836	7rro-assembly1.cif.gz:NN-YO	assembly_exceeds_chain_cap	chains=429
E1B836	Q2KIQ2	7rro-assembly1.cif.gz:A-YO	assembly_exceeds_chain_cap	chains=429
E1BKH1	Q2M2T2	7rro-assembly1.cif.gz:YL-ZC	assembly_exceeds_chain_cap	chains=429
E1B836	E1BNS6	7rro-assembly1.cif.gz:AP-ZB	assembly_exceeds_chain_cap	chains=429
A5PK71	Q2M2T2	7rro-assembly1.cif.gz:YC-ZC	assembly_exceeds_chain_cap	chains=429
E1B836	Q2T9Q6	7rro-assembly1.cif.gz:BP-HA	assembly_exceeds_chain_cap	chains=429
E1BKF9	Q3SZT6	7rro-assembly1.cif.gz:DP-WO	assembly_exceeds_chain_cap	chains=429
E1BNS6	Q2T9Q6	7rro-assembly1.cif.gz:GA-ZB	assembly_exceeds_chain_cap	chains=429
E1BKH1	Q32LN4	7rro-assembly1.cif.gz:RO-U	assembly_exceeds_chain_cap	chains=429
A0A3Q1N1R0	Q2M2T2	7rro-assembly1.cif.gz:BO-ZC	assembly_exceeds_chain_cap	chains=429
F1N2N9	Q6B857	7rro-assembly1.cif.gz:XE-ZE	assembly_exceeds_chain_cap	chains=429
E1B9I5	E1BNS6	7rro-assembly1.cif.gz:IP-ZB	assembly_exceeds_chain_cap	chains=429
A5PK71	E1B836	7rro-assembly1.cif.gz:AP-NO	assembly_exceeds_chain_cap	chains=429
A5PK71	Q32P67	7rro-assembly1.cif.gz:MP-YF	assembly_exceeds_chain_cap	chains=429
A0A3Q1LFK7	Q2T9Q6	7rro-assembly1.cif.gz:G-GA	assembly_exceeds_chain_cap	chains=429
Q2M2T2	Q32LJ7	7rro-assembly1.cif.gz:O-ZC	assembly_exceeds_chain_cap	chains=429
F1N2N9	F6RJC2	7rro-assembly1.cif.gz:E-ZE	assembly_exceeds_chain_cap	chains=429
Q2TBR5	Q3SZT6	7rro-assembly1.cif.gz:DP-N	assembly_exceeds_chain_cap	chains=429
Q3SZT6	Q6B857	7rro-assembly1.cif.gz:CP-XC	assembly_exceeds_chain_cap	chains=429
A5PK71	F1N2N9	7rro-assembly1.cif.gz:YE-ZE	assembly_exceeds_chain_cap	chains=429
E1BNS6	Q2KIQ2	7rro-assembly1.cif.gz:A-ZB	assembly_exceeds_chain_cap	chains=429
Q2KIQ2	Q6B857	7rro-assembly1.cif.gz:B-XC	assembly_exceeds_chain_cap	chains=429
Q2M2T2	Q6B857	7rro-assembly1.cif.gz:XC-ZC	assembly_exceeds_chain_cap	chains=429
A2AIP0	Q6X6Z7	8to0-assembly1.cif.gz:AD-HP	assembly_exceeds_chain_cap	chains=471
A6H6Q4	Q9D7X3	8to0-assembly1.cif.gz:KN-LC	assembly_exceeds_chain_cap	chains=471
Q3V0Q6	Q9DAD0	8to0-assembly1.cif.gz:EH-XF	assembly_exceeds_chain_cap	chains=471
Q149S1	Q9D9U9	8to0-assembly1.cif.gz:B-PB	assembly_exceeds_chain_cap	chains=471
Q6P8X9	Q9DAJ2	8to0-assembly1.cif.gz:IQ-L	assembly_exceeds_chain_cap	chains=471
A2AIP0	Q7TPM5	8to0-assembly1.cif.gz:GC-HP	assembly_exceeds_chain_cap	chains=471
G5E8A8	Q9D7X3	8to0-assembly1.cif.gz:JN-ZO	assembly_exceeds_chain_cap	chains=471
Q149S1	Q7TPM5	8to0-assembly1.cif.gz:GD-UB	assembly_exceeds_chain_cap	chains=471
Q149S1	Q9D7X3	8to0-assembly1.cif.gz:KN-SB	assembly_exceeds_chain_cap	chains=471
Q149S1	V9GXK1	8to0-assembly1.cif.gz:G-NB	assembly_exceeds_chain_cap	chains=471
Q5F201	Q7TPM5	8to0-assembly1.cif.gz:BG-ZK	assembly_exceeds_chain_cap	chains=471
Q9D9D9	V9GXK1	8to0-assembly1.cif.gz:AB-LN	assembly_exceeds_chain_cap	chains=471
A6H6Q4	Q6P8Y0	8to0-assembly1.cif.gz:BH-NC	assembly_exceeds_chain_cap	chains=471
Q9D485	V9GXK1	8to0-assembly1.cif.gz:G-VM	assembly_exceeds_chain_cap	chains=471
Q9D9D9	Q9D9T8	8to0-assembly1.cif.gz:AB-UI	assembly_exceeds_chain_cap	chains=471
A6H6Q4	Q9D4K7	8to0-assembly1.cif.gz:C-NC	assembly_exceeds_chain_cap	chains=471
Q6P8X9	Q6P8Y0	8to0-assembly1.cif.gz:BH-IQ	assembly_exceeds_chain_cap	chains=471
Q3V0Q6	Q4KKZ1	8to0-assembly1.cif.gz:HH-XF	assembly_exceeds_chain_cap	chains=471
A6H6Q4	Q9D4Q1	8to0-assembly1.cif.gz:JP-KC	assembly_exceeds_chain_cap	chains=471
Q149S1	Q9DAD0	8to0-assembly1.cif.gz:EH-OB	assembly_exceeds_chain_cap	chains=471
Q61884	Q9D4K7	8to0-assembly1.cif.gz:A-YQ	assembly_exceeds_chain_cap	chains=471
A0JLY1	Q6P8Y0	8to0-assembly1.cif.gz:BH-JQ	assembly_exceeds_chain_cap	chains=471
Q3V0Q6	Q9D9D9	8to0-assembly1.cif.gz:AB-XF	assembly_exceeds_chain_cap	chains=471
Q9D485	Q9D9D9	8to0-assembly1.cif.gz:AB-VM	assembly_exceeds_chain_cap	chains=471
Q5F201	Q9D4K7	8to0-assembly1.cif.gz:F-ZP	assembly_exceeds_chain_cap	chains=471
A2AIP0	Q9D9T8	8to0-assembly1.cif.gz:HP-VL	assembly_exceeds_chain_cap	chains=471
A0JLY1	A2AIP0	8to0-assembly1.cif.gz:CL-KQ	assembly_exceeds_chain_cap	chains=471
Q7TPM5	Q9D7X3	8to0-assembly1.cif.gz:GO-JN	assembly_exceeds_chain_cap	chains=471
A2AIP0	Q9DAD0	8to0-assembly1.cif.gz:LQ-WE	assembly_exceeds_chain_cap	chains=471
Q5BN45	Q9D9T8	8to0-assembly1.cif.gz:FE-UQ	assembly_exceeds_chain_cap	chains=471
A0A1P7WG13	A0A1P7WG15	8vb0-assembly1.cif.gz:J-K	assembly_exceeds_chain_cap	chains=840
P52948	Q8NFH3	7peq-assembly1.cif.gz:HA-U	assembly_exceeds_chain_cap	chains=288
P55735	Q9BW27	7peq-assembly1.cif.gz:V-X	assembly_exceeds_chain_cap	chains=288
P55735	Q8NFH4	7peq-assembly1.cif.gz:AA-V	assembly_exceeds_chain_cap	chains=288
Q8NFH4	Q9BW27	7peq-assembly1.cif.gz:O-R	assembly_exceeds_chain_cap	chains=288
P57740	Q9BW27	7peq-assembly1.cif.gz:B-O	assembly_exceeds_chain_cap	chains=288
Q12769	Q96EE3	7peq-assembly1.cif.gz:W-Z	assembly_exceeds_chain_cap	chains=288
P52948	Q8WUM0	7peq-assembly1.cif.gz:DA-S	assembly_exceeds_chain_cap	chains=288
P57740	Q12769	7peq-assembly1.cif.gz:B-Q	assembly_exceeds_chain_cap	chains=288
P52948	Q8NFH4	7peq-assembly1.cif.gz:AA-U	assembly_exceeds_chain_cap	chains=288
P55735	Q8WUM0	7peq-assembly1.cif.gz:EA-S	assembly_exceeds_chain_cap	chains=288
P36161	P52593	7n84-assembly1.cif.gz:A-Q	assembly_exceeds_chain_cap	chains=136
P35729	P52593	7n84-assembly1.cif.gz:A-D	assembly_exceeds_chain_cap	chains=136
P46673	P52593	7n84-assembly1.cif.gz:A-E	assembly_exceeds_chain_cap	chains=136
A0A3Q1LU45	Q2TA38	8otz-assembly1.cif.gz:AN-EU	assembly_exceeds_chain_cap	chains=575
A0A3S5ZPE5	E1B9I5	8otz-assembly1.cif.gz:P-UU	assembly_exceeds_chain_cap	chains=575
A6QPC0	Q0II40	8otz-assembly1.cif.gz:OU-PN	assembly_exceeds_chain_cap	chains=575
E1BKH1	Q0II40	8otz-assembly1.cif.gz:PU-UT	assembly_exceeds_chain_cap	chains=575
E1B9I5	Q2T9M0	8otz-assembly1.cif.gz:UU-YS	assembly_exceeds_chain_cap	chains=575
Q2KIR0	Q32L75	8otz-assembly1.cif.gz:JU-NU	assembly_exceeds_chain_cap	chains=575
E1BJL9	Q32L77	8otz-assembly1.cif.gz:H-V	assembly_exceeds_chain_cap	chains=575
F1N7G5	Q32L75	8otz-assembly1.cif.gz:JU-TA	assembly_exceeds_chain_cap	chains=575
A0A3Q1LJD6	G3N1Q7	8otz-assembly1.cif.gz:HQ-TU	assembly_exceeds_chain_cap	chains=575
A6H782	Q2T9Q3	8otz-assembly1.cif.gz:DO-TP	assembly_exceeds_chain_cap	chains=575
A6QPC0	Q2T9Q6	8otz-assembly1.cif.gz:PN-ZF	assembly_exceeds_chain_cap	chains=575
A6QPC0	E1BJL9	8otz-assembly1.cif.gz:M-RU	assembly_exceeds_chain_cap	chains=575
Q2T9Q3	Q32LJ7	8otz-assembly1.cif.gz:BU-TP	assembly_exceeds_chain_cap	chains=575
A0A3Q1LJD6	Q5E9Y9	8otz-assembly1.cif.gz:R-VA	assembly_exceeds_chain_cap	chains=575
F1N7G5	Q2T9Q3	8otz-assembly1.cif.gz:TA-TP	assembly_exceeds_chain_cap	chains=575
A0A3Q1N1R0	F1N7G5	8otz-assembly1.cif.gz:AU-ZA	assembly_exceeds_chain_cap	chains=575
A0A3Q1MYU9	E1BKH1	8otz-assembly1.cif.gz:Y-ZE	assembly_exceeds_chain_cap	chains=575
A0A3Q1LU45	Q32KP0	8otz-assembly1.cif.gz:AN-CS	assembly_exceeds_chain_cap	chains=575
E1BKF9	Q32KP0	8otz-assembly1.cif.gz:CS-HU	assembly_exceeds_chain_cap	chains=575
