triplet_id	ac_id	anchor	C	D	PLM-Interact_ad	PLM-Interact_ac	hit_PLM-Interact	MINT_ad	MINT_ac	hit_MINT	D-SCRIPT_ad	D-SCRIPT_ac	hit_D-SCRIPT	Topsy-Turvy_ad	Topsy-Turvy_ac	hit_Topsy-Turvy	SPRINT_ad	SPRINT_ac	hit_SPRINT	ESMFold_ad	ESMFold_ac	hit_ESMFold	AF3_ad	AF3_ac	hit_AF3
SCF:0001025	AC:000841	P9WPV3	P9WPV1	P9WPV5	0.990348	0.96422	1.0	0.83150631	0.68808257	1.0	0.060191	0.004191	1.0	0.709868	0.057897	1.0	0.368578	0.333321	1.0	-18.619740420310357	-28.87116116218834	1.0	0.47	0.38	1.0
SCF:0000390	AC:000298	P59768	Q03431	Q9UP38	0.999888	0.999908	0.0	0.28477673	0.28061043	1.0	0.004212	0.012705	0.0	0.654996	0.779538	0.0	4.67368	515.868	0.0	-28.196758345873352	-30.037179333850574	1.0	0.26	0.18	1.0
SCF:0000775	AC:000643	A0A3Q7G7F0	A0A3Q7HSH1	A0A3Q7FNQ5	0.999946	0.999948	0.0	0.95306396	0.96272293	0.0	0.941261	0.899807	1.0	0.768648	0.849865	0.0	76.0321	73.5441	1.0	-28.24486433780459	-30.22484836619405	1.0	0.07	0.11	0.0
SCF:0002705	AC:002381	I7LT80	Q24CL2	Q24DJ0	0.001762	0.011293	0.0	0.96602866	0.76034514	1.0	0.004181	0.004192	0.0	0.117251	0.277578	0.0	0.901156	0.757725	1.0	-30.63422359120361	-31.06787200912859	1.0	0.31	0.15	1.0
SCF:0001217	AC:001016	A0QSD5	A0QSP9	A0R550	0.999091	0.999888	0.0	0.84934753	0.78889031	1.0	0.858091	0.746395	1.0	0.766571	0.00603	1.0	0.00787821	0.0372043	0.0	-25.99417549000499	-27.733459358625513	1.0	0.48	0.42	1.0
SCF:0002218	AC:001926	Q83E83	Q83AX9	Q83ER3	0.999648	0.9999	0.0	0.9308362	0.91039172	1.0	0.814905	0.740624	1.0	7e-05	2.2e-05	1.0	4.1566	1.12277	1.0	-26.67694762279913	-26.28166906051023	0.0	0.05	0.13	0.0
SCF:0000897	AC:000738	A0A1J7CBX1	A0A1M5L8S8	A0A1M5L6R0	0.999936	0.999888	1.0	0.89514688	0.87305257	1.0	0.646237	0.529321	1.0	0.826876	0.835802	0.0	0.235953	0.0552536	1.0	-26.939158471420733	-28.57339921056854	1.0	0.08	0.13	0.0
SCF:0001545	AC:001330	A0QSG2	A0QVB8	A0QSD7	0.999884	0.999868	1.0	0.96021751	0.86034894	1.0	0.819752	0.894509	0.0	0.864584	0.826777	1.0	0.00923994	0.273421	0.0	-28.277204771994125	-26.181071832687	0.0	0.86	0.09	1.0
SCF:0002490	AC:002169	I3LRR4	A0A287BAW0	A0A4X1SN37	0.999711	0.998482	1.0	0.85927081	0.72043031	1.0	0.93125	0.022553	1.0	0.829794	0.676337	1.0	3.41766	95.2602	0.0	-30.15631170594847	-28.578664911054894	0.0	0.08	0.28	0.0
SCF:0002468	AC:002146	A0T0V0	B5YM25	B8BYV4	0.991607	0.997364	0.0	0.9141401	0.89605075	1.0	0.005194	0.00436	1.0	0.590463	0.332655	1.0	0.0714827	0.0460132	1.0	-28.58248040767052	-28.37062209687022	0.0	0.16	0.12	1.0
SCF:0001458	AC:001262	P12352	Q75VY7	Q05093	0.998331	0.83404	1.0	0.84404435	0.73581981	1.0	0.004407	0.004218	1.0	0.140956	0.053645	1.0	0.0362633	0.247168	0.0	-27.800700561718692	-25.130977046539783	0.0	0.1	0.16	0.0
SCF:0001873	AC:001611	Q8LGE7	P93313	B5TM92	0.999716	0.997363	1.0	0.85889974	0.73271802	1.0	0.004517	0.004695	0.0	0.587753	0.516222	1.0	10.4732	2.71719	1.0	-20.419567248893927	-24.054267379127502	1.0	0.11	0.3	0.0
SCF:0001455	AC:001260	A0A1B2U6N1	A0A1M6QTP8	A0A1J7BSW7	0.999607	0.999457	1.0	0.86345872	0.88601497	0.0	0.586444	0.008112	1.0	0.824151	0.318945	1.0	0.0527361	0.196429	0.0	-22.155694886022083	-26.150659991991542	1.0	0.83	0.04	1.0
SCF:0001236	AC:001043	A0A287ADR4	A0A481DF93	I3LCH3	0.999801	0.999935	0.0	0.60961018	0.51488771	1.0	0.00418	0.004188	0.0	0.72618	0.636291	1.0	146.123	125.625	1.0	-27.247656018008357	-27.718200692906976	1.0	0.22	0.15	1.0
SCF:0001465	AC:001270	Q8LCQ4	Q9SHE8	Q9SY97	0.999914	0.998942	1.0	0.883248	0.96411422	0.0	0.119164	0.006033	1.0	0.704079	0.597638	1.0	0.0437932	0.0914027	0.0	-27.159703091717272	-28.844199403446684	1.0	0.16	0.27	0.0
SCF:0002872	AC:002538	P20986	P68610	P21034	0.029007	0.989654	0.0	0.81557083	0.88451889	0.0	0.004174	0.004175	0.0	0.110763	0.589979	0.0	0.250345	0.183985	1.0	-29.27220549268341	-29.60507746654636	1.0	0.09	0.17	0.0
SCF:0000592	AC:000498	W7WX86	Q24C31	Q23YW7	0.011433	0.006627	1.0	0.62687695	0.61603591	1.0	0.004189	0.004181	1.0	0.49953	0.499525	1.0	0.865131	0.45362	1.0	-31.422376399437862	-27.6539242339035	0.0	0.09	0.28	0.0
SCF:0002195	AC:001900	G3MXC8	P61157	A7MB62	0.996292	0.997986	0.0	0.30815847	0.24471729	1.0	0.636657	0.800329	0.0	0.665148	0.64662	1.0	91.2869	106.436	0.0	-26.96410573048302	-26.42637454812288	0.0	0.68	0.46	1.0
SCF:0002696	AC:002371	P56769	Q9SY97	P27521	0.99935	0.311985	1.0	0.859523	0.83062332	1.0	0.005558	0.014474	0.0	0.694948	0.681869	1.0	0.0207352	0.00641026	1.0	-25.891627888625965	-26.74898256614055	1.0	0.31	0.19	1.0
SCF:0000856	AC:000707	P28072	O95456	Q99933	0.249391	0.999602	0.0	0.33266189	0.49272786	0.0	0.395984	0.004177	1.0	0.879518	0.199969	1.0	0.892208	1.30171	0.0	-26.54342607849544	-24.16636772852119	0.0	0.18	0.26	0.0
SCF:0001128	AC:000934	Q39615	Q75VY4	Q05093	0.999502	0.99879	1.0	0.90207186	0.88096968	1.0	0.004725	0.004473	1.0	0.035385	0.031214	1.0	0.0428079	0.0491151	0.0	-30.30046752552981	-30.09318082352195	0.0	0.1	0.1	0.5
SCF:0001199	AC:000999	Q8U0E4	Q8U216	Q8U4N1	0.999834	0.998163	1.0	0.98704714	0.98169657	1.0	0.004757	0.004179	1.0	0.668828	0.498751	1.0	3.66965	3.14278	1.0	-3.3868423701714883	-23.59192051048632	1.0	0.91	0.17	1.0
SCF:0000326	AC:000246	A0QS97	A0QSD5	A0QSL5	0.999935	0.999838	1.0	0.79053136	0.71774164	1.0	0.915394	0.701302	1.0	0.017012	0.783621	0.0	0.0532465	0.057072	0.0	-21.386008816528555	-27.608287770786923	1.0	0.07	0.06	1.0
SCF:0000739	AC:000625	A0A3B6IU74	W5FPA7	W5BFB7	0.999913	0.999927	0.0	0.6464752	0.84318507	0.0	0.673561	0.446674	1.0	0.59872	0.802667	0.0	64.9289	94.6177	0.0	-28.828335978839615	-28.758494207879263	0.0	0.08	0.08	0.5
SCF:0002482	AC:002157	P02293	P43618	P40154	0.999066	0.978809	1.0	0.89382312	0.57410743	1.0	0.004356	0.004181	1.0	0.313127	0.216886	1.0	1.9734	5.71699	0.0	-30.488173419578384	-30.002226867763707	0.0	0.09	0.17	0.0
SCF:0000812	AC:000673	P36886	P13194	P36213	0.018297	0.009447	1.0	0.86610743	0.62363335	1.0	0.049664	0.703189	0.0	0.337387	0.172581	1.0	0.0499721	0.00379083	1.0	-29.77013866763345	-27.958526917581537	0.0	0.12	0.06	1.0
SCF:0002211	AC:001913	Q04307	P35718	P20434	0.998803	0.999799	0.0	0.56331028	0.52963694	1.0	0.040644	0.014857	1.0	0.782052	0.702178	1.0	40.1972	37.9678	1.0	-25.626122079127434	-26.528719896763103	1.0	0.06	0.05	1.0
SCF:0003014	AC:002677	B8C770	A0T0M9	A0T0M8	0.999447	0.99739	1.0	0.93368788	0.95851408	0.0	0.015813	0.066562	0.0	0.206039	0.152847	1.0	0.00701223	0.0266311	0.0	-30.23185198004765	-30.426274284163153	1.0	0.16	0.34	0.0
SCF:0000940	AC:000789	P0A707	P0A7T7	P69222	0.999857	0.999905	0.0	0.67767258	0.61044986	1.0	0.643029	0.646471	0.0	2.8e-05	0.758816	0.0	0.143981	0.146741	0.0	-27.11901882401219	-27.24533201012788	1.0	0.08	0.1	0.0
SCF:0001173	AC:000982	P56768	Q9SA56	Q9SUI7	0.004928	0.002936	1.0	0.78460226	0.44304075	1.0	0.01956	0.005412	1.0	0.652226	0.642213	1.0	0.0132339	0.0192104	0.0	-29.28936223708239	-30.250150334222266	1.0	0.08	0.07	1.0
SCF:0002744	AC:002421	Q7Z7J7	P14867	P18507	0.000288	6.6e-05	1.0	0.64231526	0.66907463	0.0	0.004174	0.004176	0.0	0.343193	0.167797	1.0	0.636497	0.324908	1.0	-25.68464777837754	-25.164796262092572	0.0	0.31	0.16	1.0
SCF:0000235	AC:000192	A0A2K1JDR4	A0A2K1JLW2	A0A2K1KU02	0.997832	0.997815	1.0	0.99546194	0.9970122	0.0	0.980421	0.967246	1.0	0.395214	0.380606	1.0	0.0625681	0.054204	1.0	-28.80568917031015	-28.63352779946942	0.0	0.07	0.11	0.0
SCF:0002313	AC:002002	A1Z8I0	Q9VA95	Q9VSY8	0.988708	0.999542	0.0	0.71962911	0.79315898	0.0	0.004174	0.004176	0.0	0.743251	0.716295	1.0	62.3182	78.7307	0.0	-6.821434265272254	-23.83683808844784	1.0	0.71	0.09	1.0
SCF:0002034	AC:001758	P9WPS1	P9WPV3	P9WPU7	0.999703	0.99708	1.0	0.97038236	0.89750406	1.0	0.961613	0.01667	1.0	0.699817	0.279464	1.0	3.25361	0.410176	1.0	-25.7561541730294	-28.75212766424218	1.0	0.11	0.12	0.0
SCF:0002134	AC:001827	Q9Y6G5	Q9H0A8	Q9P000	0.999633	0.999797	0.0	0.60932541	0.64938539	0.0	0.004185	0.004178	1.0	0.734473	0.782945	0.0	183.138	4.29454	1.0	-23.66152826542019	-23.24785816390109	0.0	0.43	0.4	1.0
SCF:0002589	AC:002270	A0T0T5	B8CEQ3	B8C0K4	0.004918	0.00701	0.0	0.62489332	0.59019089	1.0	0.004229	0.004202	1.0	0.045717	0.169341	0.0	0.0230712	0.0556453	0.0	-30.066301987984602	-30.096505681002757	1.0	0.06	0.1	0.0
SCF:0003025	AC:002694	C3SR12	C3SR52	C3SRY2	0.999945	0.999927	1.0	0.76440543	0.6975899	1.0	0.887472	0.621004	1.0	0.657082	0.59363	1.0	0.102012	0.0723598	1.0	-17.253699438557824	-24.17265770133813	1.0	0.1	0.07	1.0
SCF:0001748	AC:001502	Q9C639	Q9S7N7	Q9SHE8	0.999005	0.99909	0.0	0.97324944	0.97964859	0.0	0.004401	0.004618	0.0	0.629739	0.618993	1.0	0.0565964	0.0432129	1.0	-29.134892124665807	-29.485661280434577	1.0	0.12	0.16	0.0
SCF:0002382	AC:002071	S0BBU7	S0BBR6	S0BCU7	0.99951	0.999896	0.0	0.8145586	0.92098916	0.0	0.150536	0.072317	1.0	0.56369	0.639194	0.0	0.125922	0.117955	1.0	-7.989429101938747	-6.082543670719095	0.0	0.78	0.79	0.0
SCF:0000038	AC:000034	C3SQX2	C3SR57	C3SQT7	0.99995	0.999938	1.0	0.79903916	0.64012924	1.0	0.831636	0.703785	1.0	0.867574	0.877508	0.0	0.071878	0.186313	0.0	-24.604145583174983	-28.27050788703109	1.0	0.78	0.06	1.0
SCF:0001816	AC:001550	A8IS47	A0A2K3CXW8	A8IH07	0.999116	0.999309	0.0	0.64322013	0.69132254	0.0	0.004182	0.100313	0.0	0.148491	0.343531	0.0	0.168213	0.184587	0.0	-26.68166523528162	-25.490383095672236	0.0	0.61	0.52	1.0
SCF:0002192	AC:001896	P14575	Q9P4W1	G2TRP5	0.9961	0.999925	0.0	0.99749062	0.99797413	0.0	0.675168	0.951824	0.0	0.568035	0.401463	1.0	0.181904	1.0062	0.0	-22.868135450588014	-21.412978534482548	0.0	0.54	0.25	1.0
SCF:0002494	AC:002173	P60238	Q50755	P60239	0.970953	0.99114	0.0	0.84573865	0.82785321	1.0	0.004178	0.004203	0.0	0.499087	0.499058	1.0	0.23874	0.364943	0.0	-21.76683756954226	-16.375877044797868	0.0	0.67	0.15	1.0
SCF:0000845	AC:000690	A8JC51	A8IKI9	A8J5P7	0.965155	0.999833	0.0	0.82189327	0.83074499	0.0	0.004239	0.004179	1.0	0.419542	0.126871	1.0	0.207441	0.0391409	1.0	-25.38087519395231	-22.758753337237433	0.0	0.65	0.7	0.0
SCF:0001201	AC:001001	Q15369	Q8N884	Q6PJ21	0.999828	0.999718	1.0	0.68107599	0.59605468	1.0	0.004185	0.004183	1.0	0.611368	0.306918	1.0	170.165	0.910492	1.0	-19.587225080800938	-28.477202319550788	1.0	0.84	0.19	1.0
SCF:0000468	AC:000366	P9WPV7	P9WPU7	P9WPV3	0.999789	0.999674	1.0	0.81493404	0.88271414	0.0	0.004204	0.004427	0.0	0.526639	0.191806	1.0	0.200215	7.07344	0.0	-29.090960289292273	-24.93296845076514	0.0	0.37	0.21	1.0
SCF:0002402	AC:002093	A0T0T5	B8C2K6	B8C0K4	0.004918	0.001758	1.0	0.62489332	0.61281683	1.0	0.004229	0.004221	1.0	0.045717	0.097331	0.0	0.0230712	0.0381876	0.0	-30.066301987984602	-29.30244981420481	0.0	0.06	0.07	0.0
SCF:0001387	AC:001192	A8ISA4	A0A2K3DHV6	A0A2K3CRM9	0.006016	0.009664	0.0	0.8064948	0.5724991	1.0	0.004175	0.004177	0.0	0.060874	0.167991	0.0	0.212203	0.234855	0.0	-30.365290930948074	-30.450063211697987	1.0	0.15	0.25	0.0
SCF:0000899	AC:000742	P13192	P36213	P13194	0.266755	0.94586	0.0	0.56242035	0.72608608	0.0	0.966494	0.004292	1.0	0.062018	0.040241	1.0	0.148936	0.0499222	1.0	-28.604456694279	-29.912062238169632	1.0	0.17	0.08	1.0
SCF:0000464	AC:000357	Q83D75	Q83E83	Q83AX9	0.999896	0.999915	0.0	0.86148709	0.90937221	0.0	0.945485	0.949765	0.0	0.664273	0.73311	0.0	0.37686	2.48775	0.0	-13.076200550126714	-24.60056169871485	1.0	0.03	0.06	0.0
SCF:0000449	AC:000340	P68431	Q96GM5	Q9Y230	0.999632	0.99982	0.0	0.70758337	0.60802885	1.0	0.875693	0.004176	1.0	0.756286	0.669508	1.0	89.1956	5.36037	1.0	-28.086277822423746	-30.295537009476117	1.0	0.11	0.25	0.0
SCF:0001421	AC:001223	A0QU34	A0QU24	A0QU23	0.000177	8.1e-05	1.0	0.41304211	0.48394129	0.0	0.004187	0.004215	0.0	0.029059	0.043098	0.0	1.225	1.79559	0.0	-25.93404115490203	-28.752808412724068	1.0	0.13	0.1	1.0
SCF:0003197	AC:002868	Q9P000	Q9UBI1	Q9GZQ3	0.999858	0.999859	0.0	0.66122311	0.71769726	0.0	0.00418	0.004178	1.0	0.73269	0.742923	0.0	171.246	9.63398	1.0	-23.217913468334753	-27.546225946599787	1.0	0.42	0.36	1.0
SCF:0001709	AC:001472	Q99627	Q13617	Q13616	0.998925	0.707071	1.0	0.73301669	0.78407914	0.0	0.004176	0.004176	0.5	0.698675	0.654796	1.0	382.456	347.078	1.0	-27.545210530201285	-27.658286963130525	1.0	0.16	0.62	0.0
SCF:0000952	AC:000795	P21464	P21469	P12879	0.999837	0.999862	0.0	0.6903756	0.81103742	0.0	0.822494	0.88448	0.0	0.846146	0.865417	0.0	0.100764	0.949812	0.0	-23.351027130845676	-24.394647146056588	1.0	0.14	0.22	0.0
SCF:0001506	AC:001300	Q86VX2	Q9UBI1	Q9P000	0.999835	0.999888	0.0	0.62973058	0.73371509	0.0	0.004176	0.004175	1.0	0.771751	0.785687	0.0	9.57232	0.605923	1.0	-20.55129482339729	-24.24928963443102	1.0	0.82	0.35	1.0
SCF:0003190	AC:002861	P21466	P21471	P21474	0.999892	0.999937	0.0	0.8077335	0.8766284	0.0	0.865356	0.489262	1.0	8e-06	0.829665	0.0	0.239667	0.175392	1.0	-21.676919706079694	-24.606284344593686	1.0	0.09	0.05	1.0
SCF:0001147	AC:000957	P12352	Q75VY9	Q05093	0.998331	0.983503	1.0	0.84404435	0.69345733	1.0	0.004407	0.004191	1.0	0.140956	0.117387	1.0	0.0362633	0.0951002	0.0	-27.800700561718692	-27.103693880976486	0.0	0.1	0.15	0.0
SCF:0000053	AC:000046	A0R550	A0QVB8	A0QSD7	0.999931	0.999436	1.0	0.75942352	0.71768963	1.0	0.836454	0.816142	1.0	0.834505	0.897696	0.0	0.530729	2.07027	0.0	-28.497083760080415	-22.81640410301415	0.0	0.84	0.19	1.0
SCF:0000653	AC:000553	Q8LE42	Q9M1A8	Q9FJ98	0.999893	0.999941	0.0	0.51027785	0.4894219	1.0	0.65221	0.004284	1.0	0.411217	0.607394	0.0	10.5565	8.86967	1.0	-26.44639341664497	-23.64094230393278	0.0	0.85	0.22	1.0
SCF:0000397	AC:000302	A8J7I9	A8IKI9	A8J5P7	0.993194	0.999858	0.0	0.98266208	0.98730469	0.0	0.015043	0.004181	1.0	0.694565	0.126284	1.0	3.82347	0.334388	1.0	-27.27768108048049	-25.52766296977698	0.0	0.69	0.1	1.0
SCF:0002057	AC:001770	Q13352	Q9H3R5	Q6IPU0	0.999916	0.999607	1.0	0.75489909	0.80045414	0.0	0.004174	0.004194	0.0	0.321378	0.748389	0.0	165.493	0.56655	1.0	-28.635370931962864	-29.71722950184208	1.0	0.18	0.25	0.0
SCF:0003016	AC:002679	P75818	P0AE06	P02930	0.967085	0.841543	1.0	0.65243679	0.7507492	0.0	0.0105	0.017785	0.0	0.048163	0.492236	0.0	0.200681	0.213826	0.0	-28.180157464963184	-24.517963577416438	0.0	0.11	0.15	0.0
SCF:0001343	AC:001126	O00399	P60709	Q9NZ32	0.999775	0.999635	1.0	0.56532163	0.76058358	0.0	0.435779	0.918473	0.0	0.770348	0.817735	0.0	201.658	258.435	0.0	-26.432111063211778	-26.09244457843178	0.0	0.28	0.11	1.0
SCF:0000100	AC:000091	P28070	O95456	P48556	0.999922	0.999575	1.0	0.60817167	0.65156379	0.0	0.832167	0.004178	1.0	0.761184	0.746537	1.0	1.64545	1.05945	1.0	-27.642445730265084	-25.762775376313662	0.0	0.66	0.16	1.0
SCF:0002584	AC:002250	O85388	Q83ED6	Q83ES0	0.999923	0.999886	1.0	0.85515946	0.72694108	1.0	0.476548	0.652904	0.0	0.817023	0.498076	1.0	0.0401577	0.143074	0.0	-26.96694215544133	-27.70332815368212	1.0	0.07	0.06	1.0
SCF:0001477	AC:001281	P56767	Q8LCQ4	Q01667	0.99946	0.998563	1.0	0.87349466	0.77555178	1.0	0.228762	0.01528	1.0	0.459443	0.427042	1.0	0.0486223	0.0344081	1.0	-30.484828773916334	-30.470606430715673	0.0	0.14	0.27	0.0
SCF:0002076	AC:001788	Q9S7N7	Q9SA56	Q9SUI7	0.998725	0.295257	1.0	0.95861369	0.88188979	1.0	0.426901	0.550401	0.0	0.546177	0.353403	1.0	0.0221121	0.0850184	0.0	-27.803935428056224	-30.29597105255314	1.0	0.15	0.08	1.0
SCF:0002659	AC:002340	A0R201	A0R204	A0R1Z9	0.997618	0.997081	1.0	0.79729017	0.82317171	0.0	0.004182	0.00426	0.0	0.498966	0.184196	1.0	0.283388	0.545085	0.0	-16.82709970170532	-25.180562460698898	1.0	0.87	0.09	1.0
SCF:0000402	AC:000307	Q7RTV0	O43143	O43290	0.999927	0.999832	1.0	0.73232286	0.65524512	1.0	0.126855	0.98722	0.0	0.814425	0.882757	0.0	179.709	214.235	0.0	-30.743569103598595	-28.442220551930816	0.0	0.1	0.17	0.0
SCF:0001417	AC:001218	A8HRZ4	A8IU42	A0A2K3D591	0.997915	0.997477	1.0	0.89523927	0.96752098	0.0	0.00418	0.016775	0.0	0.648203	0.640367	1.0	0.675154	0.112702	1.0	-29.22173734837123	-28.98318302251662	0.0	0.05	0.05	0.5
SCF:0002552	AC:002224	I0Z687	I0Z7A7	I0YP76	0.9965	0.993538	1.0	0.9904128	0.97998327	1.0	0.004298	0.511253	0.0	0.449762	0.692606	0.0	0.0908984	0.0468254	1.0	-27.607486511971395	-28.38876122505315	1.0	0.12	0.13	0.0
SCF:0000706	AC:000601	A0A3Q7H1U4	A0A3Q7HSH1	A0A3Q7G7F0	0.999948	0.99994	1.0	0.69385943	0.82773355	0.0	0.964192	0.889569	1.0	0.825689	0.774599	1.0	63.8539	5.9711	1.0	-25.06353842805366	-30.203844399259673	1.0	0.59	0.07	1.0
SCF:0000996	AC:000822	A8IFG7	Q75VY6	A8ITV3	0.999456	0.990509	1.0	0.98945945	0.98397142	1.0	0.004195	0.004523	0.0	0.118268	0.139969	0.0	0.040039	0.0732325	0.0	-26.08670781442046	-28.054050660432676	1.0	0.2	0.24	0.0
SCF:0001441	AC:001248	E9NPS7	I0Z7A6	I0YQ44	0.999341	0.972778	1.0	0.96487693	0.95096055	1.0	0.062373	0.016877	1.0	0.387911	0.295021	1.0	0.00493036	0.0028932	1.0	-30.198295572826087	-30.12471297698209	0.0	0.17	0.18	0.0
SCF:0002036	AC:001759	Q7Z4G1	Q9UBI1	Q9P000	0.999787	0.999871	0.0	0.6077835	0.71820122	0.0	0.004232	0.004177	1.0	0.456579	0.550638	0.0	148.123	4.58594	1.0	-17.148181439487267	-22.684130429157126	1.0	0.66	0.49	1.0
SCF:0002221	AC:001932	Q83D76	Q83ED6	Q83ER7	0.999936	0.999554	1.0	0.87684297	0.62245975	1.0	0.518411	0.020902	1.0	0.802573	0.655047	1.0	0.154561	0.130446	1.0	-22.590023561356332	-24.245643044519298	1.0	0.47	0.04	1.0
SCF:0001286	AC:001087	Q9Y230	P62807	P33778	0.994901	0.99738	0.0	0.53895907	0.58451638	0.0	0.060222	0.028278	1.0	0.754553	0.773894	0.0	124.096	124.277	0.0	-27.720926650906293	-27.64475361978584	0.0	0.09	0.1	0.0
SCF:0000212	AC:000178	P59768	P35346	P30872	0.999922	0.99982	1.0	0.29503612	0.30888546	0.0	0.537684	0.486997	1.0	0.818403	0.831197	0.0	174.689	182.174	0.0	-26.93454706841907	-26.243668563778122	0.0	0.17	0.15	1.0
SCF:0001911	AC:001645	P0CT46	G0RZX8	G0S9A0	0.999555	0.999599	0.0	0.42516266	0.41553354	1.0	0.004175	0.004176	0.0	0.409218	0.537142	0.0	2.26146	1.83254	1.0	-15.136515932152212	-10.335368589617797	0.0	0.73	0.69	1.0
SCF:0000974	AC:000810	P53330	P32591	P53628	0.002277	0.285533	0.0	0.73532745	0.82729556	0.0	0.004174	0.004179	0.0	0.167445	0.542695	0.0	0.284812	0.272225	1.0	-30.531169358981735	-31.017291064708765	1.0	0.15	0.14	1.0
SCF:0001391	AC:001197	B8BRQ8	B8CEQ3	B8BYV4	0.999593	0.99931	1.0	0.96409514	0.97127491	0.0	0.004302	0.00421	1.0	0.612664	0.395331	1.0	0.172225	0.0600132	1.0	-27.519595531707797	-25.573796456893835	0.0	0.1	0.1	0.5
SCF:0002320	AC:002008	A0A063XFC1	A0A063X754	A0A063X781	0.999941	0.999932	1.0	0.72634301	0.70028579	1.0	0.823855	0.71014	1.0	0.64919	0.811779	0.0	0.0397164	0.0217661	1.0	-29.30389614928122	-29.428326888031204	1.0	0.06	0.06	0.5
SCF:0000028	AC:000024	P26784	P36160	P38805	0.999865	0.999758	1.0	0.83147308	0.72330344	1.0	0.004214	0.0751	0.0	0.559189	0.699942	0.0	1.10999	4.38737	0.0	-29.333496068488717	-29.534078243348006	1.0	0.07	0.08	0.0
SCF:0001440	AC:001247	A0A1S4CKK0	A0A1S3XP85	A0A1S3YU01	0.007499	0.198227	0.0	0.57992718	0.75706527	0.0	0.004192	0.685556	0.0	0.403892	0.038841	1.0	0.18358	0.265387	0.0	-24.949891208981832	-28.82246096290584	1.0	0.11	0.1	1.0
SCF:0003138	AC:002807	Q6ZED4	Q6ZED3	Q6ZED1	0.137945	0.973949	0.0	0.70129008	0.71641344	0.0	0.004175	0.004175	0.5	0.49961	0.336011	1.0	0.164262	0.173496	0.0	-30.38149042537928	-29.895318480052733	0.0	0.87	0.25	1.0
