Q92496	Q92496
Q9UBW8	Q9H9Q2
Q9UFF9	Q9UFF9
Q9UFF9	Q9UIV1
Q9UHD2	Q9UHD2
Q9UHD2	Q9R0T8
Q9UHD2	Q14164
Q9UHV9	Q9UHV9
Q9UHX3	Q9UHX3
Q9UI95	Q9UI95
Q9UIM3	Q9UIM3
Q9UJX2	Q9UJX2
Q9UJX5	Q9UJX5
Q9UJY5	Q9UJY5
Q9UJY5	Q9UJY4
Q9UK32	Q9UK32
Q9UK32	P51812
Q9UK32	Q15418
Q9UK32	O15530
Q9UK32	Q9BYT3
Q9UK32	O14733
Q9UK32	P36507
Q9UK32	Q01986
Q9UK32	Q02750
Q9UK32	P52564
Q9UK32	Q99640
Q9UKC9	Q9UKC9
Q9UKG1	Q9UKG1
Q9UKL0	Q9UKL0
Q9UKT4	Q9UKT4
Q9UKV0	Q9UKV0
Q9UL62	Q9UL62
Q9UL62	P48995
Q9ULW0	Q9ULW0
Q9ULZ3	Q9ULZ3
Q9UNH7	Q9UNH7
Q9UNH7	Q9Y5X3
Q9UNP9	Q9UNP9
Q9UNP9	P62937
Q9UNS2	Q9UNS2
Q9UNU6	Q9UNU6
Q9UPY3	Q9UPY3
Q9UPY6	Q9UPY6
Q9UPY6	Q9Y6W5
Q9UQ13	Q9UQ13
Q9UQ52	Q9UQ52
Q9UQ52	Q8IWV2
Q9UQB8	Q9UQB8
Q9UQC2	Q9UQC2
Q9UQC2	Q3ZB57
Q9UQE7	Q9UQE7
Q9US45	Q9US45
Q9USP0	Q9USP0
Q9UUI1	Q9UUI1
Q9UUI1	O94408
Q9UUI1	P38203
Q9V195	Q9V195
Q9V195	Q2FW39
Q9V195	A0A069PXX1
Q9V195	D0CG36
Q9V195	P0A7X3
Q9V1V0	Q9V1V0
Q9VA95	Q9VA95
Q9VB22	Q9VB22
Q9VSY8	Q9VSY8
Q9VUZ1	Q9VUZ1
Q9VVR2	Q9VVR2
Q9WV32	Q9WV32
Q9WV32	Q1JP79
Q9Y239	Q9Y239
Q9Y239	Q9HC29
Q9Y2C9	Q9Y2C9
Q9Y2C9	Q15399
Q9Y2C9	O60603
Q9BXW4	Q9BXW4
Q9BXW4	Q91VR7
Q9BXW4	Q9GZQ8
Q9BXW4	O95166
Q9BXW4	Q6IAW1
Q9BXW4	Q9H0R8
Q9BXW4	P38182
Q9BXW4	P60520
Q9BXW9	Q9BXW9
Q9BZW8	Q9BZW8
Q9C6B3	Q9C6B3
Q9C6B3	Q9SMN1
Q9CXM0	Q9CXM0
Q9EP73	Q9EP73
Q9EP73	Q9NZQ7
Q9EP73	Q9BQ51
Q9EP73	Q9WUL5
Q9ERR1	Q9ERR1
Q9ERR1	Q9GZM8
Q9ESN9	Q9ESN9
Q9F1L5	Q9F1L5
Q9FJE8	Q9FJE8
Q9FJE8	P04908
Q9FJE8	P04911
Q9FJE8	P04912
Q9FJE8	P06897
Q9FJE8	P16104
Q9FJE8	P27661
Q9FJE8	Q6FI13
Q9FJE8	Q7L7L0
Q9FJE8	Q93077
Q9FJE8	Q96KK5
Q9FJE8	Q99878
Q9FJE8	Q9BTM1
Q9FJE8	Q9LD28
Q9FJE8	P0C0S5
Q9FN03	Q9FN03
Q9GZQ3	Q9GZQ3
Q9GZT9	Q9GZT9
Q9GZT9	Q96KS0
Q9GZZ9	Q9GZZ9
Q9H0A8	Q9H0A8
Q9H0B6	Q9H0B6
Q9H0B6	O88447
Q9H0H5	Q9H0H5
Q9H267	Q9H267
Q9H267	Q96AX1
Q9H269	Q9H269
Q9H3P7	Q9H3P7
Q9H6Z4	Q9H6Z4
Q9H9F9	Q9H9F9
Q9HAD4	Q9HAD4
Q9HAW0	Q9HAW0
Q9HB71	Q9HB71
Q9HD36	Q9HD36
Q9I9A7	Q9I9A7
Q9JKX3	Q9JKX3
Q9JKX3	Q99376
Q9JKX3	P02786
Q9JM54	Q9JM54
Q9JM54	Q13794
Q9LMA8	Q9LMA8
Q9LMA8	Q9C5K8
Q9M1J2	Q9M1J2
Q9M1J2	O81098
Q9MA75	Q9MA75
Q9NPB6	Q9NPB6
Q9NPF5	Q9NPF5
Q9NPH3	Q9NPH3
Q9NPI1	Q9NPI1
Q9NPI1	Q9H8M2
Q9NQL2	Q9NQL2
Q9NQL2	Q9HB90
Q9NQL2	P53290
Q9NQP4	Q9NQP4
Q9NRA8	Q9NRA8
Q9NRI5	Q9NRI5
Q9NTI5	Q9NTI5
Q9NTI5	Q29RF7
Q9NV88	Q9NV88
Q9NVH2	Q9NVH2
Q9NVM9	Q9NVM9
Q9NWQ8	Q9NWQ8
Q9NWQ8	Q3U1F9
Q9NX08	Q9NX08
Q9NXA8	Q9NXA8
Q9NXK8	Q9NXK8
Q9NYB9	Q9NYB9
Q9NYB9	Q8IZP0
Q9P000	Q9P000
Q9P0M4	Q9P0M4
Q9P0M4	Q9H293
Q9P0M4	Q8VHH8
Q9P0M4	Q7TNI7
Q9P0M4	Q16552
Q9P0M4	Q62386
Q9P2J3	Q9P2J3
P43699	P43699
P45956	P45956
P46108	P46108
P46108	P46109
P46527	P46527
P46673	P46673
P46937	P46937
P46937	P46938
P46937	Q9EPK5
P46940	P46940
P46940	Q13576
P47017	P47017
P47017	P53905
P47017	O74499
P47017	P57743
P47093	P47093
P47128	P47128
P47133	P47133
P48023	P48023
P48061	P48061
P48552	P48552
P48736	P48736
P48736	Q9JHG7
P48736	P32871
P48736	P42336
P48736	P42338
P48740	P48740
P48740	O00187
P48740	Q9JJS8
P49005	P49005
P49023	P49023
P49023	Q62219
P49028	P49028
P49028	P61326
P49286	P49286
P49366	P49366
P49597	P49597
P49597	Q9FIF5
P49662	P49662
P49763	P49763
P49763	P49764
P49767	P49767
P49767	P97953
P49767	P52584
P49767	P97946
P49768	P49768
P49768	P49769
P49768	Q61144
P49960	P49960
P50281	P50281
P50549	P50549
P50549	Q9UKW6
P50570	P50570
P50591	P50591
P50616	P50616
P51114	P51114
P51159	P51159
P51159	Q9ERI2
P51159	P24408
P51159	P51149
P51159	P61006
P51159	P61007
P51159	Q9H0U4
P51159	O14966
P51159	P18066
P51159	P20339
P51159	Q13636
P51159	P62826
P51532	P51532
P51532	Q9XFH4
P51572	P51572
P51587	P51587
P51587	P97929
P51610	P51610
P51671	P51671
P51671	P13236
P51671	P13501
P51955	P51955
P51955	Q8TDX7
P51955	Q9ES74
P52286	P52286
P52286	P63208
P52286	P63209
P52294	P52294
P52294	O60684
P52294	P52292
P52565	P52565
P52630	P52630
P52630	Q14765
P52630	Q5XI26
P52630	P40763
P52630	P42227
P52630	P52631
P52630	F1M9D6
P52630	P42224
P52891	P52891
P52948	P52948
P53041	P53041
P53041	P60510
P53041	O00743
P53041	P62136
P53041	P36873
P53041	P62140
P53073	P53073
P53076	P53076
P53197	P53197
P53197	Q9UM11
P53197	Q12834
P53350	P53350
P53350	P53778
P53350	Q96QS6
P53355	P53355
P53355	P49137
P53355	Q16566
P53355	Q9HBH9
P53355	Q13555
P53355	P11275
P53355	Q13557
P53355	P50613
P53355	Q9BXA7
P53396	P53396
P53667	P53667
P53667	P53671
P53762	P53762
P53762	P27540
P16109	P16109
P16109	P16581
P16284	P16284
P16371	P16371
P16471	P16471
P16710	P16710
P17227	P17227
P17227	E9NPX1
P17227	P13165
P17230	P17230
P17230	E1C9L0
P17230	E9NPW6
P17275	P17275
P17275	P05412
P17544	P17544
P17813	P17813
P17927	P17927
P17927	P08174
P17927	P15529
P17987	P17987
P17987	Q32L40
P17987	P48643
P17987	P50991
P17987	P49368
P17987	P78371
P17987	Q3ZBH0
P17987	P50990
P18263	P18263
P18263	A0ACD6B9M4
P18384	P18384
P18507	P18507
P18507	P14867
P18510	P18510
P18510	Q8WWZ1
P18824	P18824
P18824	P35222
P18824	Q02248
P18887	P18887
P19438	P19438
P19438	P25118
P19658	P19658
P19838	P19838
P19838	Q01201
P19838	P20749
P19838	P25963
P19878	P19878
P20023	P20023
P20023	P02749
P20023	P04003
P20435	P20435
P20435	A0A4X1VEK9
P20435	F2Z4C9
P20435	Q9FJ98
P20435	Q32PE0
P20659	P20659
P20701	P20701
P20701	P24063
P20936	P20936
P20998	P20998
P21034	P21034
P21242	P21242
P21359	P21359
P21359	P97526
P21554	P21554
P21796	P21796
P21860	P21860
P21860	Q15303
P21860	P04626
P21860	P00533
P22004	P22004
P22004	P12643
P22004	P12644
P22004	Q9PVK1
P22004	Q9UK05
P22087	P22087
P22224	P22224
P22681	P22681
P22748	P22748
P22748	P48283
P23198	P23198
P23198	Q13185
P23458	P23458
P23458	O60674
P23644	P23644
P23771	P23771
P24279	P24279
P24279	P25205
P24279	P29469
P24279	P29496
P24279	P33992
P24279	P33993
P24279	P30665
P24311	P24311
P24385	P24385
P24385	P30279
P24385	P30281
P24394	P24394
P24482	P24482
P24593	P24593
P24593	P08833
P24732	P24732
P24821	P24821
P24863	P24863
P25043	P25043
P25054	P25054
P25054	P70039
O00482	O00482
O00567	O00567
O00567	Q9Y2X3
O08538	O08538
O08538	Q15389
O08538	O15123
O08538	Q9BY76
O08538	Q9Y5C1
O08689	O08689
O08689	O14793
O08808	O08808
O14021	O14021
O14543	O14543
O14543	O15524
O14558	O14558
O14625	O14625
O14640	O14640
O14746	O14746
O14807	O14807
O14807	P61224
O14807	Q15382
O14807	Q6IP71
O14807	A7U8D2
O14807	P01111
O14807	P01112
O14807	P01116
O14807	P62745
O14807	P08134
O14807	P61586
O14807	Q9QUI0
O14807	P15153
O14807	P60763
O14807	P60953
O14807	P62999
O14807	P63000
O14807	P63001
O14807	Q8CFN2
O14810	O14810
O14810	P63041
O14931	O14931
O14974	O14974
O15066	O15066
O15105	O15105
O15117	O15117
O15212	O15212
O15294	O15294
O15350	O15350
O15350	P04637
O15514	O15514
O15527	O15527
O18734	O18734
O18734	Q96A00
O18924	O18924
O18924	P37231
O18924	Q03181
O22476	O22476
O22476	Q9FL28
O22476	Q9XIC7
O22476	Q94F62
O23629	O23629
O23629	P02281
O23629	P02293
O23629	P62807
O23629	Q9FFC0
O31743	O31743
O35082	O35082
O35082	Q9UEF7
O35179	O35179
O43353	O43353
O43516	O43516
O43521	O43521
O43521	O54918
O43561	O43561
O43683	O43683
O43791	O43791
O43897	O43897
O43897	P13497
O50245	O50245
O55042	O55042
O55042	P37840
O55042	Q63754
O60238	O60238
O60238	Q12983
O60260	O60260
O60341	O60341
O60341	Q8NB78
O60353	O60353
O60353	Q13467
O60353	Q9UP38
O60353	Q14332
O60566	O60566
O60885	O60885
O60885	P25440
O60894	O60894
O65101	O65101
O65101	A0A0M3KL10
O65101	A0A2K1JDR4
O74483	O74483
O74736	O74736
O75144	O75144
O75293	O75293
O75293	O95257
O75376	O75376
O75460	O75460
O75460	Q00534
O75460	P11802
O75563	O75563
O75575	O75575
O75575	P47076
O75716	O75716
O75970	O75970
O75970	Q8VBX6
O80634	O80634
P35249	P35249
P35249	P40937
P35249	P35250
P35249	P40938
P35251	P35251
P35414	P35414
P35414	Q9WV08
P35414	P49682
P35414	P30556
P35590	P35590
P35590	Q02763
P35590	Q02858
P35637	P35637
P35916	P35916
P35916	P35917
P35916	P35968
P35916	P35918
P35916	P08631
P35916	P06239
P35916	P10721
P35916	P11362
P35916	P21802
P35916	P22455
P35916	P22607
P35916	P32577
P35916	P41240
P35916	P17948
P35916	P35969
P35916	P42681
P35916	Q00342
P35916	P36888
P36040	P36040
P36544	P36544
P36544	P49582
P36969	P36969
P36969	P18283
P38042	P38042
P38632	P38632
P38919	P38919
P38919	P60842
P38936	P38936
P39075	P39075
P39429	P39429
P39429	Q12933
P39429	Q13077
P39543	P39543
P39744	P39744
P39748	P39748
P40026	P40026
P40070	P40070
P40070	O14352
P40089	P40089
P40089	O42978
P40189	P40189
P40200	P40200
P40208	P40208
P40226	P40226
P40226	P40225
P40227	P40227
P40227	Q3MHL7
P40227	Q3T084
P40238	P40238
P40337	P40337
P40359	P40359
P40422	P40422
P41002	P41002
P41220	P41220
P41235	P41235
P41235	Q14994
P41235	Q9Y5X4
P41499	P41499
P41499	Q06124
P41499	P18031
P41806	P41806
P41895	P41895
P42081	P42081
P42229	P42229
P42575	P42575
P42684	P42684
P42684	P00519
P42684	P12931
P42684	Q9WUD9
P42684	P06241
P42684	P39688
P42684	P09769
P42684	Q06187
P42684	Q08881
P42684	P43405
P42684	P43403
P42684	Q6J9G0
P42684	O60880
P42702	P42702
P42858	P42858
P42921	P42921
P43004	P43004
P43004	P43006
P43586	P43586
P04921	P04921
P04925	P04925
P04925	P04156
P05019	P05019
P05019	P01344
P05019	P01308
P05067	P05067
P05067	P12023
P05067	Q06481
P05067	P51693
P05112	P05112
P05160	P05160
P05546	P05546
P05556	P05556
P05556	P05106
P06213	P06213
P06213	P08069
P06213	P30530
P06213	P42679
P06269	P06269
P06280	P06280
P06731	P06731
P06731	P13688
P06731	P31997
P06746	P06746
P06746	P06766
P06756	P06756
P06756	P08514
P07204	P07204
P07207	P07207
P07207	Q01705
P07358	P07358
P07358	P07357
P07470	P07470
P07611	P07611
P07703	P07703
P07858	P07858
P08195	P08195
P08487	P08487
P08487	P10686
P08487	P19174
P08581	P08581
P08581	P16056
P08670	P08670
P08887	P08887
P08887	P26992
P08913	P08913
P08913	P19328
P08913	P18089
P08913	P14416
P08913	P21728
P09038	P09038
P09038	P05230
P09038	P08620
P09038	P21781
P09382	P09382
P09382	P11762
P09382	Q9Z144
P09429	P09429
P09429	P12682
P09619	P09619
P09669	P09669
P09693	P09693
P09874	P09874
P09911	P09911
P09911	P07839
P0A6Y1	P0A6Y1
P0A7V8	P0A7V8
P0A800	P0A800
P0A8A8	P0A8A8
P0A8T7	P0A8T7
P0A8T7	P37871
P0A8V2	P0A8V2
P0A8V2	P37870
P0A9G4	P0A9G4
P0ABS1	P0ABS1
P0ACI0	P0ACI0
P0ADY3	P0ADY3
P0ADY3	A0A063X754
P0ADY7	P0ADY7
P0AF28	P0AF28
P0AFE8	P0AFE8
P0AFE8	P26288
P0AFF0	P0AFF0
P0AFF6	P0AFF6
P0AFW0	P0AFW0
Q9Y2Z0	Q9Y2Z0
Q9Y3A3	Q9Y3A3
Q9Y3A5	Q9Y3A5
Q9Y3I1	Q9Y3I1
Q9Y450	Q9Y450
Q9Y4K3	Q9Y4K3
Q9Y4R8	Q9Y4R8
Q9Y4X5	Q9Y4X5
Q9Y4X5	O95376
Q9Y5B9	Q9Y5B9
Q9Y6G5	Q9Y6G5
Q9Y6N7	Q9Y6N7
Q9Y6R1	Q9Y6R1
Q9Y6R1	P02730
Q9Y6W8	Q9Y6W8
Q9Y6Y0	Q9Y6Y0
Q9Y7M4	Q9Y7M4
Q9Z266	Q9Z266
Q9ZR12	Q9ZR12
Q9ZSD4	Q9ZSD4
Q9ZSD4	Q42374
W7XJB1	W7XJB1
W7XJB1	Q24CE5
A0A063X781	A0A063X781
A0A063XCP1	A0A063XCP1
A0A069QC99	A0A069QC99
A0A0B4J1S8	A0A0B4J1S8
A0A0B4J1S8	Q9UBF8
A0A0F6NFW5	A0A0F6NFW5
A0A0F6NFW5	A0A3G1AUL2
A0A0F6NFW5	P05310
A0A0F6NFW5	P56766
A0A0F6NFW5	A0T0M8
A0A0F6NFW5	A0A4V8GZZ2
A0A0F6NFW5	E3UIU0
A0A0F6NFW5	A0A0F6NGI2
A0A0F6NFW5	A0A3G1AZK6
A0A0F6NFW5	A0A4V8H003
A0A0F6NFW5	A0T0M9
A0A0F6NFW5	E3UIU1
A0A0F6NFW5	P05311
A0A0F6NFW5	Q8MFA2
A0A0G4FDJ8	A0A0G4FDJ8
A0A0G4FL36	A0A0G4FL36
A0A0G4FL36	A0A0G4HMN0
A0A0G4FL36	A0A0G4I0G6
A0A0G4FL36	M2Y652
A0A0G4FL36	B8BYV4
A0A0G4FL36	A0A4V8GZZ8
A0A0G4FL36	Q75VY9
A0A0G4FL36	A0A4V8H001
A0A0G4FL36	I0YPL4
A0A0G4FL36	Q32904
A0A0G4FL36	F2DAN8
A0A0G4FL36	Q9SY97
A0A0G4FL36	A0A2K1K0C7
A0A0G4FL36	Q41038
A0A0G4FL36	Q43485
A0A0G4FL36	A0A2K1KN29
A0A0G4FL36	F2CW18
A0A0G4FL36	M2XR49
A0A0G4FL36	A8ITV3
A0A0G4FL36	I0YQ46
A0A0G4FL36	A0A482JYH1
A0A0G4FL36	Q01667
A0A0G4FL36	I0Z2Y0
A0A0G4FL36	Q75VY8
A0A0G4FL36	Q9C639
A0A0G4FL36	I0Z7A6
A0A0G4FL36	Q93VE0
A0A0G4FL36	F2D0D5
A0A0G4FL36	Q8LCQ4
A0A0G4FL36	I0YQ44
A0A0G4FL36	A0A2K1JLZ3
A0A0G4FL36	E1C9L2
A0A0G4FL36	A0A4V8H004
A0A0G4FL36	I0YQ45
A0A0G4FL36	Q05093
A0A0G4FL36	Q75VY6
A0A0G4FL36	Q75VY7
A0A0G4FL36	Q84Y02
A0A0G4FL36	Q9SQL2
A0A0G4FL36	P27521
A0A0G4HFQ7	A0A0G4HFQ7
A0A1D5SLI4	A0A1D5SLI4
A0A1D8NEL0	A0A1D8NEL0
A0A1D8NGI5	A0A1D8NGI5
A0A1S3X147	A0A1S3X147
A0A1S4CE74	A0A1S4CE74
A0A1S4CIZ9	A0A1S4CIZ9
A0A1S4CIZ9	A0A1S4CKK0
A0A241XG65	A0A241XG65
A0A241XG65	D0CD14
A0A287AEW0	A0A287AEW0
A0A287BAW0	A0A287BAW0
A0A2I3BRC5	A0A2I3BRC5
A0A2I3BRC5	Q03343
A0A2K1IAD0	A0A2K1IAD0
A0A2K1IAD0	E1C9L1
A0A2K1IAD0	P23993
A0A2K1IAD0	Q41385
A0A2K1IAD0	Q9SUI4
A0A2K1IAD0	A8IL32
A0A2K1IAD0	I0Z687
A0A2K1IAD0	E3UIU9
A0A2K1J0L9	A0A2K1J0L9
A0A2K1J0L9	A0A0H2UKZ4
A0A2K1J0L9	P13192
A0A2K1J0L9	A0T0V0
A0A2K1J0L9	P12355
A0A2K1J0L9	P12356
A0A2K1JDE1	A0A2K1JDE1
A0A2K3CXW8	A0A2K3CXW8
A0A2K3D591	A0A2K3D591
A0A2K3E6S5	A0A2K3E6S5
A0A3B6PK86	A0A3B6PK86
A0A3B6PK86	A0A3B6RHV8
A0A3Q7FNQ5	A0A3Q7FNQ5
A0A3Q7G7F0	A0A3Q7G7F0
A0A3Q7G7F0	Q9V1V5
A0A3Q7HSH1	A0A3Q7HSH1
A0A4X1SN37	A0A4X1SN37
A0A4X1TFI3	A0A4X1TFI3
A0A5C6J4N7	A0A5C6J4N7
A0A5M5QTL0	A0A5M5QTL0
A0A5S8WF79	A0A5S8WF79
A0A5S8WF79	A0A5S8WF89
A0A5S8WF81	A0A5S8WF81
A0A5S8WF81	A0A5S8WF91
A0A5S8WF81	A0A5S8WF90
A0A8D1AQR7	A0A8D1AQR7
A0A8D1AQR7	O81097
A0A8D2A9I1	A0A8D2A9I1
A0A8J1KWU4	A0A8J1KWU4
A0A8J1KWU4	O93352
A0A8J1KWU4	O75496
A0A8W4F9W9	A0A8W4F9W9
A0A8W4F9W9	P62875
A0A9X9IKM4	A0A9X9IKM4
A0ACD6B9N1	A0ACD6B9N1
A0QSD7	A0QSD7
A0QSD7	P41205
A0R550	A0R550
A0R550	A0QSG2
A0R550	E2RXT8
A1B3D7	A1B3D7
A1B4F2	A1B4F2
A1B4F3	A1B4F3
A1Z8I0	A1Z8I0
A2AGH6	A2AGH6
A2AGH6	Q93074
A2APX8	A2APX8
A2APX8	Q9WTU3
A5YKK6	A5YKK6
A6QRA1	A6QRA1
Q3UJU9	Q3UJU9
Q43125	Q43125
Q43125	Q96524
Q46896	Q46896
