triplet_id	anchor	negative_partner_c	positive_partner_d	counterfactual_grade_provisional	assembly_size_stratum	sequence_similarity_bin	plminteract_ac	plminteract_ad	plminteract_finetuned_ac	plminteract_finetuned_ad	dscript_ac	dscript_ad	topsy_turvy_ac	topsy_turvy_ad
SCF:0000015	P59768	P41586	P28223	CF-B-provisional	3_10	remote_sequence	0.999854	0.999911	0.512652	0.963155	0.005116	0.522557	0.771662	0.867291
SCF:0000016	P59768	P41586	Q9UPC5	CF-B-provisional	3_10	remote_sequence	0.999854	0.999910	0.512652	0.944540	0.005116	0.071350	0.771662	0.884524
SCF:0000017	A8ITV3	P12154	P09144	CF-B-provisional	11_24	medium	0.999745	0.999742	0.361291	0.674832	0.005678	0.005322	0.110685	0.035674
SCF:0000018	P12154	A8ITV3	Q75VY4	CF-B-provisional	11_24	medium	0.999745	0.997928	0.361291	0.329037	0.005678	0.118741	0.110685	0.433841
SCF:0000019	P12154	A8ITV3	Q05093	CF-B-provisional	11_24	medium	0.999745	0.999022	0.361291	0.498877	0.005678	0.098145	0.110685	0.266660
SCF:0000020	P60899	A0A8D1KNW4	A0A4X1VEK9	CF-B-provisional	11_24	high	0.999943	0.999936	0.249896	0.904077	0.457910	0.457909	0.605014	0.605015
SCF:0000021	P60899	A0A8D1KNW4	I3LCB2	CF-B-provisional	11_24	remote_sequence	0.999943	0.999947	0.249896	0.844982	0.457910	0.365286	0.605014	0.640442
SCF:0000022	P60899	A0A8D1KNW4	A0A4X1VM56	CF-B-provisional	11_24	remote_sequence	0.999943	0.999944	0.249896	0.918565	0.457910	0.101078	0.605014	0.669313
SCF:0000023	Q00403	Q92966	Q92759	CF-B-provisional	3_10	remote_sequence	0.999056	0.999914	0.004076	0.961144	0.004175	0.004177	0.127617	0.731928
SCF:0000024	Q92966	Q00403	Q9HAW0	CF-B-provisional	3_10	remote_sequence	0.999056	0.000150	0.004076	0.991238	0.004175	0.004175	0.127617	0.075884
SCF:0000025	A4VD75	I7M6H4	I7M9J2	CF-B-provisional	11_24	medium	0.009733	0.000139	0.019419	0.978266				
SCF:0000026	P21082	P20979	P20504	CF-B-provisional	11_24	remote_sequence	0.005476	0.978239	0.033314	0.783293	0.004176	0.004174	0.425707	0.610292
SCF:0000027	P21082	P20979	P68439	CF-B-provisional	11_24	remote_sequence	0.005476	0.366031	0.033314	0.840688	0.004176	0.004173	0.425707	0.447442
SCF:0000028	P26784	P36160	P38805	CF-B-provisional	11_24	medium	0.999758	0.999865	0.214237	0.631577	0.075100	0.004214	0.699942	0.559189
SCF:0000029	P26784	P36160	P26321	CF-B-provisional	11_24	remote_sequence	0.999758	0.999885	0.214237	0.769907	0.075100	0.004184	0.699942	0.806804
SCF:0000030	P26784	P36160	P40007	CF-B-provisional	11_24	remote_sequence	0.999758	0.995532	0.214237	0.648804	0.075100	0.605857	0.699942	0.706630
SCF:0000031	P36160	P26784	P0C0W9	CF-B-provisional	11_24	medium	0.999758	0.999580	0.214237	0.722388	0.075100	0.766872	0.699942	0.767760
SCF:0000032	Q24I09	W7XBF5	Q23S01	CF-B-provisional	11_24	remote_sequence	0.005911	0.013584	0.045114	0.935506	0.004255	0.004876	0.000105	0.026104
SCF:0000033	Q9W0I7	P49735	Q9XYU1	CF-B-provisional	11_24	medium	0.999552	0.999820	0.065821	0.879832	0.004183	0.004176	0.478889	0.591135
SCF:0000034	Q9W0I7	P49735	Q9V461	CF-B-provisional	11_24	medium	0.999552	0.999890	0.065821	0.938198	0.004183	0.004177	0.478889	0.543562
SCF:0000035	Q9W0I7	P49735	Q9VGW6	CF-B-provisional	11_24	medium	0.999552	0.999589	0.065821	0.869123	0.004183	0.004175	0.478889	0.671493
SCF:0000036	C4R273	C4QY79	F2QPE6	CF-B-provisional	11_24	high	0.999933	0.999948	0.147628	0.857617	0.005828	0.270161	0.656807	0.721303
SCF:0000037	C3SQX2	C3SR57	P0A7R5	CF-B-provisional	11_24	medium	0.999938	0.999950	0.606149	0.919279	0.703785	0.831636	0.877508	0.867574
SCF:0000038	C3SQX2	C3SR57	C3SQT7	CF-B-provisional	11_24	medium	0.999938	0.999950	0.606149	0.919279	0.703785	0.831636	0.877508	0.867574
SCF:0000039	C3SQX2	C3SR57	P0AG59	CF-B-provisional	11_24	medium	0.999938	0.999936	0.606149	0.844201	0.703785	0.803314	0.877508	0.064788
SCF:0000040	A0A4V8GZZ5	A0A4V8GZZ8	A0A4V8H006	CF-B-provisional	11_24	remote_sequence	0.999070	0.981786	0.090211	0.631068	0.004197	0.977053	0.330498	0.550214
SCF:0000041	O74499	P87173	O14352	CF-B-provisional	3_10	medium	0.999818	0.999187	0.075998	0.973823	0.749197	0.798265	0.808243	0.651080
SCF:0000042	B6A879	B6A880	B6A878	CF-B-provisional	11_24	remote_sequence	0.224847	0.986758	0.209583	0.975429	0.004181	0.004178	0.371459	0.101953
SCF:0000043	A0A9R0JF29	A0A9R0I5M6	A0A9R0J865	CF-B-provisional	11_24	remote_sequence	0.013628	0.002275	0.037027	0.992679	0.006615	0.007661	0.143702	0.021437
SCF:0000044	P39744	P43586	Q02326	CF-B-provisional	11_24	medium	0.999761	0.999935	0.817423	0.955123	0.007960	0.043806	0.705343	0.605190
SCF:0000045	P39744	P43586	P26784	CF-B-provisional	11_24	remote_sequence	0.999761	0.999815	0.817423	0.893249	0.007960	0.465288	0.705343	0.709737
SCF:0000046	P43586	P39744	Q07896	CF-B-provisional	11_24	remote_sequence	0.999761	0.999405	0.817423	0.877528	0.007960	0.073190	0.705343	0.730752
SCF:0000047	A0A2K3DG79	A8J353	A8INX1	CF-B-provisional	11_24	medium	0.000706	0.158685	0.050317	0.661340	0.004181	0.944416	0.077943	0.552750
SCF:0000048	A0A2K3DG79	A8J353	A8IJ60	CF-B-provisional	11_24	remote_sequence	0.000706	0.130960	0.050317	0.673292	0.004181	0.964245	0.077943	0.675007
SCF:0000049	A8J353	A0A2K3DG79	A8INX1	CF-B-provisional	11_24	remote_sequence	0.000706	0.000557	0.050317	0.939095	0.004181	0.004175	0.077943	0.490563
SCF:0000050	Q9TM20	Q9TM22	Q9TM21	CF-B-provisional	11_24	medium	0.889198	0.992701	0.375746	0.882449	0.004173	0.004173	0.505648	0.541014
SCF:0000051	A0QVB8	A0R550	A0QSL6	CF-B-provisional	11_24	remote_sequence	0.999436	0.999870	0.487004	0.747313	0.816142	0.826167	0.897696	0.886831
SCF:0000052	A0QVB8	A0R550	A0QSP9	CF-B-provisional	11_24	remote_sequence	0.999436	0.999741	0.487004	0.583939	0.816142	0.922982	0.897696	0.755043
SCF:0000053	A0R550	A0QVB8	A0QSD7	CF-B-provisional	11_24	medium	0.999436	0.999931	0.487004	0.783697	0.816142	0.836454	0.897696	0.834505
SCF:0000054	Q2G111	Q2G2Q1	Q2G2Q4	CF-B-provisional	11_24	remote_sequence	0.999908	0.998353	0.854154	0.147147	0.055611	0.101051	0.297919	0.454320
SCF:0000055	Q2G2Q1	Q2G111	Q2FW10	CF-B-provisional	11_24	remote_sequence	0.999908	0.999917	0.854154	0.645665	0.055611	0.071149	0.297919	0.009605
SCF:0000056	P04637	P61218	P04908	CF-B-provisional	11_24	remote_sequence	0.999637	0.999905	0.162599	0.983184	0.015709	0.983155	0.806006	0.806567
SCF:0000057	P61218	P04637	O15446	CF-B-provisional	11_24	remote_sequence	0.999637	0.999936	0.162599	0.873407	0.015709	0.004217	0.806006	0.718852
SCF:0000058	P21471	P21476	P21473	CF-B-provisional	11_24	remote_sequence	0.999801	0.999887	0.469271	0.540028	0.708057	0.047773	0.699199	0.159595
SCF:0000059	P21471	P21476	P21468	CF-B-provisional	11_24	remote_sequence	0.999801	0.999890	0.469271	0.710135	0.708057	0.044295	0.699199	0.690428
SCF:0000060	P21471	P21476	P21472	CF-B-provisional	11_24	remote_sequence	0.999801	0.999924	0.469271	0.721746	0.708057	0.805860	0.699199	0.742997
SCF:0000061	P21476	P21471	P12874	CF-B-provisional	11_24	remote_sequence	0.999801	0.999740	0.469271	0.751372	0.708057	0.527308	0.699199	0.574181
SCF:0000062	P49005	P39748	Q15054	CF-B-provisional	3_10	remote_sequence	0.999540	0.999698	0.742991	0.926491	0.004177	0.004176	0.778824	0.722968
SCF:0000063	Q13426	Q9NP87	Q9UGP5	CF-B-provisional	11_24	medium	0.998800	0.997916	0.252406	0.891785	0.937962	0.893317	0.816987	0.837604
SCF:0000064	Q13426	Q9NP87	Q8IW19	CF-B-provisional	11_24	remote_sequence	0.998800	0.997118	0.252406	0.901798	0.937962	0.415447	0.816987	0.468755
SCF:0000065	P07839	Q75VY9	P12356	CF-B-provisional	11_24	remote_sequence	0.999728	0.997973	0.164228	0.838836	0.970266	0.004183	0.304339	0.333441
SCF:0000066	O43402	Q9NPA0	Q9P0I2	CF-B-provisional	3_10	remote_sequence	0.999857	0.999672	0.102656	0.994786	0.004179	0.004180	0.563929	0.657115
SCF:0000067	E9NPS7	I0YQ46	I0YPL4	CF-B-provisional	11_24	medium	0.999283	0.995188	0.162055	0.699910	0.006898	0.004189	0.372500	0.016348
SCF:0000068	E9NPS7	I0YQ46	I0Z687	CF-B-provisional	11_24	remote_sequence	0.999283	0.974493	0.162055	0.856823	0.006898	0.010055	0.372500	0.161305
SCF:0000069	P29256	P09192	Q55274	CF-B-provisional	11_24	remote_sequence	0.996724	0.998922	0.549360	0.912593	0.005693	0.446260	0.030422	0.398467
SCF:0000070	C4R3Z5	C4R5R1	C4QZQ7	CF-B-provisional	11_24	remote_sequence	0.988999	0.999792	0.037951	0.678249	0.004249	0.004215	0.562582	0.573666
SCF:0000071	C4R3Z5	C4R5R1	C4R370	CF-B-provisional	11_24	remote_sequence	0.988999	0.987786	0.037951	0.959536	0.004249	0.004197	0.562582	0.748670
SCF:0000072	C4R3Z5	C4R5R1	F2QUC3	CF-B-provisional	11_24	remote_sequence	0.988999	0.987786	0.037951	0.959536	0.004249	0.004197	0.562582	0.748670
SCF:0000073	O14810	P60880	P32851	CF-B-provisional	3_10	remote_sequence	0.999790	0.999764	0.134567	0.960322	0.004193	0.016361	0.706121	0.728245
SCF:0000074	P60880	O14810	P63041	CF-B-provisional	3_10	high	0.999790	0.999676	0.134567	0.879476	0.004193	0.004196	0.706121	0.705133
SCF:0000075	O19882	O19928	Q9TM46	CF-B-provisional	11_24	medium	0.997464	0.997817	0.961993	0.932860	0.094642	0.062117	0.397754	0.507787
SCF:0000076	Q12464	P31376	Q03388	CF-B-provisional	11_24	remote_sequence	0.976131	0.984606	0.069633	0.976393	0.073080	0.455336	0.720651	0.799110
SCF:0000077	O94646	O94376	O13964	CF-B-provisional	11_24	remote_sequence	0.999937	0.999901	0.221660	0.717834	0.818088	0.086422	0.747063	0.369338
SCF:0000078	O94646	O94376	O14010	CF-B-provisional	11_24	remote_sequence	0.999937	0.999941	0.221660	0.593681	0.818088	0.222884	0.747063	0.786842
SCF:0000079	Q9UKF6	Q969L4	P62318	CF-B-provisional	3_10	remote_sequence	0.999030	0.999900	0.150919	0.903744	0.646960	0.792625	0.794957	0.721212
SCF:0000080	Q9UKF6	Q969L4	P62308	CF-B-provisional	3_10	remote_sequence	0.999030	0.999559	0.150919	0.795283	0.646960	0.956055	0.794957	0.799995
SCF:0000081	G0RZG4	G0SCD1	G0SC21	CF-A-provisional	3_10	medium	0.999611	0.999693	0.063096	0.829986	0.004174	0.004180	0.308038	0.499636
SCF:0000082	G0RZG4	G0SCD1	P0CT46	CF-B-provisional	3_10	remote_sequence	0.999611	0.999613	0.063096	0.781223	0.004174	0.004174	0.308038	0.129193
SCF:0000083	G0SCD1	G0RZG4	G0S1P1	CF-B-provisional	3_10	remote_sequence	0.999611	0.999052	0.063096	0.949104	0.004174	0.004174	0.308038	0.108608
SCF:0000084	A8IH07	A8IJY7	A8IL21	CF-B-provisional	11_24	remote_sequence	0.015314	0.990770	0.025748	0.729159	0.004180	0.004180	0.401695	0.507164
SCF:0000085	A8IH07	A8IJY7	A8INX1	CF-B-provisional	11_24	remote_sequence	0.015314	0.281478	0.025748	0.874921	0.004180	0.004176	0.401695	0.531633
SCF:0000086	A8IJY7	A8IH07	A8INX1	CF-B-provisional	11_24	remote_sequence	0.015314	0.269701	0.025748	0.321801	0.004180	0.960297	0.401695	0.671971
SCF:0000087	P36121	P07703	P32910	CF-B-provisional	11_24	remote_sequence	0.999942	0.999919	0.483834	0.901724	0.004176	0.004176	0.408082	0.758038
SCF:0000088	P28000	P47076	P20435	CF-B-provisional	11_24	remote_sequence	0.999905	0.999538	0.090890	0.654767	0.004190	0.011521	0.818309	0.772672
SCF:0000089	I7MDA9	I7MLZ4	I7M6D6	CF-B-provisional	11_24	remote_sequence	0.998868	0.000223	0.417429	0.974324	0.004177	0.004183	0.499751	0.059175
SCF:0000090	I7MDA9	I7MLZ4	Q229S1	CF-B-provisional	11_24	remote_sequence	0.998868	0.000969	0.417429	0.974789	0.004177	0.004183	0.499751	0.250068
SCF:0000091	O19928	Q9TM46	Q9TM47	CF-B-provisional	11_24	remote_sequence	0.997992	0.161966	0.853159	0.781152	0.352048	0.005035	0.639644	0.033957
SCF:0000092	O19928	Q9TM46	O19895	CF-B-provisional	11_24	remote_sequence	0.997992	0.757294	0.853159	0.750507	0.352048	0.011242	0.639644	0.447960
SCF:0000093	Q23YW7	Q24CL2	Q24DJ0	CF-B-provisional	11_24	remote_sequence	0.008311	0.001245	0.034167	0.907418	0.004186	0.004179	0.199943	0.209833
SCF:0000094	Q24CL2	Q23YW7	Q23S05	CF-B-provisional	11_24	remote_sequence	0.008311	0.079286	0.034167	0.890227	0.004186	0.004184	0.199943	0.256320
SCF:0000095	P20339	Q9P2Y5	Q15276	CF-B-provisional	3_10	remote_sequence	0.999782	0.999742	0.710506	0.993606	0.014225	0.004234	0.278616	0.318572
SCF:0000096	P63272	P53803	A0A4X1TRS6	CF-B-provisional	11_24	high	0.994938	0.999624	0.028086	0.940764	0.027794	0.027793	0.639802	0.639802
SCF:0000097	O95456	P28070	P60900	CF-B-provisional	11_24	remote_sequence	0.999575	0.999798	0.108015	0.953342	0.004178	0.004180	0.746537	0.627817
SCF:0000098	O95456	P28070	P25788	CF-B-provisional	11_24	remote_sequence	0.999575	0.999713	0.108015	0.942488	0.004178	0.004179	0.746537	0.717718
SCF:0000099	O95456	P28070	O14818	CF-B-provisional	11_24	remote_sequence	0.999575	0.999776	0.108015	0.975923	0.004178	0.004179	0.746537	0.594695
SCF:0000100	P28070	O95456	P48556	CF-B-provisional	11_24	remote_sequence	0.999575	0.999922	0.108015	0.993794	0.004178	0.832167	0.746537	0.761184
SCF:0000101	P28070	O95456	O14818	CF-B-provisional	11_24	remote_sequence	0.999575	0.999858	0.108015	0.996670	0.004178	0.960649	0.746537	0.735551
SCF:0000102	P50990	Q99471	O15212	CF-B-provisional	11_24	remote_sequence	0.999744	0.999853	0.067062	0.733554	0.004187	0.004193	0.686882	0.334621
SCF:0000103	Q99471	P50990	P49368	CF-B-provisional	11_24	medium	0.999744	0.999866	0.067062	0.821550	0.004187	0.004183	0.686882	0.744918
SCF:0000104	Q99471	P50990	P40227	CF-B-provisional	11_24	remote_sequence	0.999744	0.999866	0.067062	0.940188	0.004187	0.004181	0.686882	0.356407
SCF:0000105	C4QZ45	C4R7H2	C4QZQ7	CF-B-provisional	11_24	remote_sequence	0.989910	0.999313	0.033716	0.934148	0.007020	0.004177	0.646780	0.568718
SCF:0000106	A0A1S3ZQT7	A0A1S3X2G3	A0A1S3YU01	CF-B-provisional	11_24	remote_sequence	0.003988	0.000239	0.059463	0.728909	0.005885	0.004176	0.113349	0.199845
SCF:0000107	A0A4V8H005	A0A4V8GZZ7	A0A4V8GZZ9	CF-B-provisional	11_24	high	0.000460	0.002379	0.009798	0.964482	0.006612	0.166885	0.173055	0.071026
SCF:0000108	A0A4V8H005	A0A4V8GZZ7	A0A4V8H001	CF-B-provisional	11_24	medium	0.000460	0.004709	0.009798	0.981849	0.006612	0.004486	0.173055	0.095903
SCF:0000109	P02309	P47128	P02293	CF-B-provisional	11_24	remote_sequence	0.999858	0.999870	0.685957	0.927103	0.004205	0.959558	0.385643	0.746221
SCF:0000110	P47128	P02309	P61830	CF-B-provisional	11_24	medium	0.999858	0.935224	0.685957	0.709817	0.004205	0.004194	0.385643	0.249401
SCF:0000111	P47128	P02309	Q12692	CF-B-provisional	11_24	medium	0.999858	0.949768	0.685957	0.734553	0.004205	0.004219	0.385643	0.497410
SCF:0000112	G0RZG4	G0S1P1	G0SC21	CF-B-provisional	3_10	remote_sequence	0.999263	0.999693	0.223759	0.829986	0.004174	0.004180	0.105209	0.499636
SCF:0000113	Q2FZ25	Q2G113	Q2FW20	CF-B-provisional	11_24	medium	0.999622	0.999872	0.261435	0.876731	0.007846	0.830295	0.529680	0.826798
SCF:0000114	P59768	P08913	P21728	CF-A-provisional	3_10	medium	0.999889	0.999902	0.222636	0.905063	0.263609	0.822415	0.867608	0.890002
SCF:0000115	P59768	P08913	P28223	CF-A-provisional	3_10	medium	0.999889	0.999911	0.222636	0.963155	0.263609	0.522557	0.867608	0.867291
SCF:0000116	P59768	P08913	P41143	CF-A-provisional	3_10	medium	0.999889	0.999919	0.222636	0.936465	0.263609	0.399031	0.867608	0.823162
SCF:0000117	Q8DLL4	Q8DKZ4	Q8DL31	CF-B-provisional	11_24	remote_sequence	0.012734	0.116501	0.067565	0.930509	0.004175	0.004179	0.498883	0.498636
SCF:0000118	D8V7I7	D7NIZ2	K0J903	CF-B-provisional	11_24	remote_sequence	0.001613	0.000241	0.156075	0.479203	0.004182	0.004179	0.250123	0.426124
SCF:0000119	P50991	P61758	O15212	CF-B-provisional	11_24	remote_sequence	0.999252	0.999879	0.029245	0.759654	0.008343	0.004183	0.274419	0.499210
SCF:0000120	P50991	P61758	Q9NQP4	CF-B-provisional	11_24	remote_sequence	0.999252	0.999905	0.029245	0.451720	0.008343	0.004445	0.274419	0.791117
SCF:0000121	P61201	Q9UBF6	P62877	CF-B-provisional	11_24	high	0.998194	0.999842	0.733118	0.990682	0.004180	0.034015	0.708224	0.757668
SCF:0000122	Q9UBF6	P61201	Q9UNS2	CF-B-provisional	11_24	remote_sequence	0.998194	0.999352	0.733118	0.737614	0.004180	0.497648	0.708224	0.517313
SCF:0000123	A0A125YU99	A0A125YS93	A0A125YTU2	CF-B-provisional	11_24	remote_sequence	0.999703	0.999777	0.127559	0.845154	0.004788	0.009865	0.783762	0.072367
SCF:0000124	A0A2K1IAD0	A0A2K1IB10	A9RT62	CF-B-provisional	11_24	medium	0.994053	0.998431	0.405804	0.797175	0.007767	0.037451	0.602976	0.602905
SCF:0000125	A0A2K1IB10	A0A2K1IAD0	A0A2K1K0C7	CF-B-provisional	11_24	remote_sequence	0.994053	0.999900	0.405804	0.818396	0.007767	0.066867	0.602976	0.697509
SCF:0000126	P25515	P38784	P22203	CF-B-provisional	11_24	remote_sequence	0.000538	0.999850	0.008930	0.979602	0.004181	0.035881	0.150206	0.728773
SCF:0000127	P68135	P02602	P14649	CF-B-provisional	3_10	high	0.053770	0.126084	0.031332	0.968793	0.858930	0.931694	0.003930	0.009447
SCF:0000128	P68135	P02602	P0DP26	CF-B-provisional	3_10	medium	0.053770	0.732467	0.031332	0.813422	0.858930	0.872794	0.003930	0.223355
SCF:0000129	P68135	P02602	P68246	CF-B-provisional	3_10	remote_sequence	0.053770	0.827757	0.031332	0.978513	0.858930	0.005473	0.003930	0.500729
SCF:0000130	Q9VLI9	Q9VUZ1	Q9VA95	CF-B-provisional	3_10	remote_sequence	0.999705	0.999787	0.166102	0.784349	0.004174	0.004178	0.550902	0.718038
SCF:0000131	P01116	Q13617	P07900	CF-B-provisional	3_10	remote_sequence	0.061902	0.999693	0.039020	0.983443	0.004306	0.158900	0.313806	0.699000
SCF:0000132	Q96SY0	Q9NV88	Q9NVM9	CF-B-provisional	11_24	remote_sequence	0.999822	0.929735	0.340595	0.882807	0.004175	0.004175	0.736050	0.704056
SCF:0000133	Q96SY0	Q9NV88	Q9NVR2	CF-B-provisional	11_24	remote_sequence	0.999822	0.973613	0.340595	0.876722	0.004175	0.004175	0.736050	0.736570
SCF:0000134	Q9NVM9	Q9NVR2	Q9NV88	CF-B-provisional	11_24	remote_sequence	0.040808	0.883177	0.021208	0.913620	0.004175	0.004174	0.601756	0.656508
SCF:0000135	Q9NVR2	Q9NVM9	Q9NV88	CF-B-provisional	11_24	remote_sequence	0.040808	0.971891	0.021208	0.959501	0.004175	0.004175	0.601756	0.734860
SCF:0000136	Q9NVR2	Q9NVM9	Q5TA45	CF-B-provisional	11_24	remote_sequence	0.040808	0.999564	0.021208	0.969323	0.004175	0.004177	0.601756	0.714116
SCF:0000137	A0A1S3XP85	A0A1S4BFK7	A0A1S4CE74	CF-B-provisional	11_24	medium	0.000055	0.000073	0.005668	0.933734	0.037810	0.061166	0.444496	0.286742
SCF:0000138	A0A1S4BFK7	A0A1S3XP85	A0A1S3YEW3	CF-B-provisional	11_24	remote_sequence	0.000055	0.000104	0.005668	0.910566	0.037810	0.005295	0.444496	0.337738
SCF:0000139	A0A4V8GZZ6	A0A4V8GZZ7	A0A4V8GZZ9	CF-B-provisional	11_24	high	0.999926	0.999935	0.454843	0.936845	0.183776	0.210106	0.745785	0.753355
SCF:0000140	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H000	CF-B-provisional	11_24	medium	0.999926	0.999941	0.454843	0.851656	0.183776	0.318720	0.745785	0.719301
SCF:0000141	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8H001	CF-B-provisional	11_24	medium	0.999926	0.999930	0.454843	0.874105	0.183776	0.059190	0.745785	0.744772
SCF:0000142	A0A4V8GZZ7	A0A4V8GZZ6	A0A4V8GZZ9	CF-B-provisional	11_24	medium	0.999926	0.999938	0.454843	0.962524	0.183776	0.606979	0.745785	0.696143
SCF:0000143	Q3B726	O15446	Q9GZS1	CF-B-provisional	11_24	remote_sequence	0.999904	0.999829	0.107122	0.923210	0.004176	0.031154	0.617729	0.618964
SCF:0000144	P07305	P62805	P04908	CF-B-provisional	11_24	medium	0.999877	0.997058	0.658373	0.712115	0.980777	0.973902	0.816899	0.776157
SCF:0000145	P62805	P07305	P10412	CF-B-provisional	11_24	medium	0.999877	0.999521	0.658373	0.863206	0.980777	0.972371	0.816899	0.745402
SCF:0000146	P62805	P07305	A0A1B8Y854	CF-B-provisional	11_24	remote_sequence	0.999877	0.999889	0.658373	0.925915	0.980777	0.979683	0.816899	0.677240
SCF:0000147	P62805	P07305	P33778	CF-B-provisional	11_24	remote_sequence	0.999877	0.999872	0.658373	0.904868	0.980777	0.879357	0.816899	0.692432
SCF:0000148	P20436	P32910	P29055	CF-B-provisional	11_24	remote_sequence	0.999923	0.999894	0.050840	0.957435	0.100525	0.454338	0.745738	0.568829
SCF:0000149	P20436	P32910	P46669	CF-B-provisional	11_24	remote_sequence	0.999923	0.421331	0.050840	0.870303	0.100525	0.004178	0.745738	0.536443
SCF:0000150	P20436	P32910	P07703	CF-B-provisional	11_24	remote_sequence	0.999923	0.999765	0.050840	0.879715	0.100525	0.004324	0.745738	0.530783
SCF:0000151	A0T0V1	B8CEQ3	B8C770	CF-B-provisional	11_24	medium	0.992481	0.997928	0.188516	0.668772	0.015944	0.004668	0.019313	0.181950
SCF:0000152	A0T0V1	B8CEQ3	B8C2K6	CF-B-provisional	11_24	medium	0.992481	0.998630	0.188516	0.898978	0.015944	0.004478	0.019313	0.065414
SCF:0000153	B8CEQ3	A0T0V1	A0T0S1	CF-B-provisional	11_24	remote_sequence	0.992481	0.998782	0.188516	0.733191	0.015944	0.004186	0.019313	0.003166
SCF:0000154	Q9NQP4	Q99832	P50991	CF-B-provisional	11_24	medium	0.999846	0.999905	0.039285	0.451720	0.004257	0.004445	0.579932	0.791117
SCF:0000155	P39933	Q12308	P32367	CF-B-provisional	3_10	remote_sequence	0.000070	0.072501	0.009220	0.977353	0.004174	0.004174	0.401717	0.029229
SCF:0000156	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TT36	CF-B-provisional	11_24	medium	0.008390	0.001161	0.240133	0.817061	0.004190	0.004243	0.650320	0.606168
SCF:0000157	A0A2P6TPV8	A0A2P6TQ14	A0A2P6TZ50	CF-B-provisional	11_24	medium	0.008390	0.002432	0.240133	0.835571	0.004190	0.004194	0.650320	0.682024
SCF:0000158	D5MAL3	Q32904	Q41038	CF-B-provisional	11_24	medium	0.501037	0.156815	0.159387	0.619382	0.064621	0.006629	0.655417	0.616487
SCF:0000159	P56768	Q949Q5	Q9SUI6	CF-B-provisional	11_24	remote_sequence	0.075006	0.003827	0.201361	0.947409	0.004174	0.004331	0.374285	0.604587
SCF:0000160	P56768	Q949Q5	Q9SUI7	CF-B-provisional	11_24	remote_sequence	0.075006	0.004928	0.201361	0.962842	0.004174	0.019560	0.374285	0.652226
SCF:0000161	P12356	Q75VY9	Q05093	CF-B-provisional	11_24	high	0.999767	0.999451	0.843970	0.816504	0.004195	0.010035	0.096037	0.605325
SCF:0000162	P12356	Q75VY9	Q7DM26	CF-B-provisional	11_24	high	0.999767	0.999065	0.843970	0.754686	0.004195	0.010435	0.096037	0.534979
