panel	dataset	score
6b	Random negative	0.000148
6b	Random negative	0.999942
6b	Random negative	0.204228
6b	Random negative	0.999937
6b	Random negative	0.000133
6b	Random negative	0.000107
6b	Random negative	0.255283
6b	Random negative	0.000257
6b	Random negative	0.002005
6b	Random negative	0.036953
6b	Random negative	0.02876
6b	Random negative	0.001
6b	Random negative	0.000381
6b	Random negative	0.984187
6b	Random negative	0.000108
6b	Random negative	0.999902
6b	Random negative	0.000107
6b	Random negative	0.000318
6b	Random negative	0.999844
6b	Random negative	0.99994
6b	Random negative	0.000118
6b	Random negative	0.999907
6b	Random negative	0.001083
6b	Random negative	0.876937
6b	Random negative	0.000231
6b	Random negative	0.000368
6b	Random negative	6.4e-05
6b	Random negative	0.000354
6b	Random negative	7.9e-05
6b	Random negative	7e-05
6b	Random negative	0.999944
6b	Random negative	8.8e-05
6b	Random negative	0.000116
6b	Random negative	0.000252
6b	Random negative	0.000159
6b	Random negative	0.999875
6b	Random negative	0.000234
6b	Random negative	0.999717
6b	Random negative	0.999911
6b	Random negative	0.005762
6b	Random negative	0.019427
6b	Random negative	0.000314
6b	Random negative	0.000669
6b	Random negative	0.998966
6b	Random negative	5.5e-05
6b	Random negative	0.00011
6b	Random negative	0.999831
6b	Random negative	0.889564
6b	Random negative	0.004281
6b	Random negative	0.014579
6b	Random negative	7.1e-05
6b	Random negative	5.3e-05
6b	Random negative	7.3e-05
6b	Random negative	0.000447
6b	Random negative	0.99922
6b	Random negative	0.00023
6b	Random negative	0.000423
6b	Random negative	6.6e-05
6b	Random negative	0.000294
6b	Random negative	0.999903
6b	Random negative	0.999382
6b	Random negative	0.000128
6b	Random negative	0.000108
6b	Random negative	0.014072
6b	Random negative	5.4e-05
6b	Random negative	0.000413
6b	Random negative	0.000383
6b	Random negative	0.999904
6b	Random negative	0.999851
6b	Random negative	0.000103
6b	Random negative	0.999892
6b	Random negative	0.001037
6b	Random negative	0.000108
6b	Random negative	0.00031
6b	Random negative	0.999923
6b	Random negative	0.004387
6b	Random negative	0.000106
6b	Random negative	6.5e-05
6b	Random negative	0.005962
6b	Random negative	0.000193
6b	Random negative	0.000802
6b	Random negative	0.002438
6b	Random negative	0.00069
6b	Random negative	0.997753
6b	Random negative	7.6e-05
6b	Random negative	7.9e-05
6b	Random negative	6.2e-05
6b	Random negative	9.6e-05
6b	Random negative	0.955088
6b	Random negative	0.999927
6b	Random negative	0.046892
6b	Random negative	0.999828
6b	Random negative	0.000223
6b	Random negative	0.000291
6b	Random negative	0.00059
6b	Random negative	7.7e-05
6b	Random negative	0.254043
6b	Random negative	0.000113
6b	Random negative	0.999918
6b	Random negative	0.206208
6b	Random negative	0.000216
6b	Random negative	0.999892
6b	Random negative	0.003196
6b	Random negative	0.92682
6b	Random negative	0.009502
6b	Random negative	0.000904
6b	Random negative	0.219032
6b	Random negative	0.022336
6b	Random negative	0.032545
6b	Random negative	0.00259
6b	Random negative	0.992755
6b	Random negative	0.011809
6b	Random negative	0.999873
6b	Random negative	0.972173
6b	Random negative	0.999508
6b	Random negative	0.00011
6b	Random negative	6.6e-05
6b	Random negative	0.000215
6b	Random negative	0.000195
6b	Random negative	0.000545
6b	Random negative	0.316362
6b	Random negative	0.000744
6b	Random negative	0.998008
6b	Random negative	0.000107
6b	Random negative	7.8e-05
6b	Random negative	0.001471
6b	Random negative	0.000866
6b	Random negative	0.999689
6b	Random negative	0.998473
6b	Random negative	0.003808
6b	Random negative	0.000467
6b	Random negative	0.000142
6b	Random negative	0.999931
6b	Random negative	0.004589
6b	Random negative	0.000217
6b	Random negative	0.997723
6b	Random negative	0.999449
6b	Random negative	8.5e-05
6b	Random negative	0.000281
6b	Random negative	8.6e-05
6b	Random negative	5.7e-05
6b	Random negative	0.989465
6b	Random negative	0.000982
6b	Random negative	0.00042
6b	Random negative	6.1e-05
6b	Random negative	0.000324
6b	Random negative	0.999852
6b	Random negative	9.8e-05
6b	Random negative	8.8e-05
6b	Random negative	0.677841
6b	Random negative	0.999936
6b	Random negative	0.0001
6b	Random negative	0.913115
6b	Random negative	6.5e-05
6b	Random negative	0.001359
6b	Random negative	7.4e-05
6b	Random negative	0.999921
6b	Random negative	0.999926
6b	Random negative	0.000391
6b	Random negative	0.999929
6b	Random negative	0.985554
6b	Random negative	0.167938
6b	Random negative	0.999696
6b	Random negative	0.001622
6b	Random negative	0.000184
6b	Random negative	6.8e-05
6b	Random negative	0.961982
6b	Random negative	5.8e-05
6b	Random negative	0.839414
6b	Random negative	0.000649
6b	Random negative	0.982447
6b	Random negative	0.541801
6b	Random negative	0.993414
6b	Random negative	0.001613
6b	Random negative	0.011885
6b	Random negative	5.4e-05
6b	Random negative	0.000113
6b	Random negative	0.000465
6b	Random negative	0.000267
6b	Random negative	0.000162
6b	Random negative	9.7e-05
6b	Random negative	0.004562
6b	Random negative	0.74605
6b	Random negative	0.000135
6b	Random negative	7.6e-05
6b	Random negative	0.000142
6b	Random negative	0.480072
6b	Random negative	7.8e-05
6b	Random negative	0.992379
6b	Random negative	0.001197
6b	Random negative	0.99742
6b	Random negative	0.000154
6b	Random negative	0.000259
6b	Random negative	5.6e-05
6b	Random negative	0.000261
6b	Random negative	0.068429
6b	Random negative	0.001584
6b	Random negative	0.993511
6b	Random negative	0.000212
6b	Random negative	0.999063
6b	Random negative	0.018186
6b	Random negative	0.981649
6b	Random negative	6.2e-05
6b	Random negative	0.00039
6b	Random negative	0.000139
6b	Random negative	0.000278
6b	Random negative	0.999935
6b	Random negative	0.000639
6b	Random negative	0.000889
6b	Random negative	6.7e-05
6b	Random negative	0.040529
6b	Random negative	0.999935
6b	Random negative	0.999738
6b	Random negative	0.000955
6b	Random negative	0.858136
6b	Random negative	0.000144
6b	Random negative	0.000115
6b	Random negative	0.986645
6b	Random negative	0.028472
6b	Random negative	8.8e-05
6b	Random negative	0.011761
6b	Random negative	0.000131
6b	Random negative	0.326764
6b	Random negative	0.000108
6b	Random negative	0.000288
6b	Random negative	0.04546
6b	Random negative	0.999502
6b	Random negative	6.2e-05
6b	Random negative	0.999561
6b	Random negative	0.000485
6b	Random negative	0.999246
6b	Random negative	0.971145
6b	Random negative	0.999938
6b	Random negative	0.027599
6b	Random negative	0.001029
6b	Random negative	6.5e-05
6b	Random negative	0.132618
6b	Random negative	0.999801
6b	Random negative	0.00705
6b	Random negative	7.7e-05
6b	Random negative	0.999211
6b	Random negative	9.6e-05
6b	Random negative	0.001587
6b	Random negative	0.000213
6b	Random negative	0.000112
6b	Random negative	0.000229
6b	Random negative	0.999844
6b	Random negative	6.6e-05
6b	Random negative	0.851161
6b	Random negative	0.00128
6b	Random negative	0.002557
6b	Random negative	0.959967
6b	Random negative	9.2e-05
6b	Random negative	5.9e-05
6b	Random negative	0.000134
6b	Random negative	5.2e-05
6b	Random negative	0.959666
6b	Random negative	0.000172
6b	Random negative	0.889682
6b	Random negative	0.96459
6b	Random negative	5.9e-05
6b	Random negative	0.997055
6b	Random negative	0.001227
6b	Random negative	0.02048
6b	Random negative	7.1e-05
6b	Random negative	0.000363
6b	Random negative	0.00011
6b	Random negative	9.4e-05
6b	Random negative	0.950232
6b	Random negative	0.999918
6b	Random negative	0.004841
6b	Random negative	6.9e-05
6b	Random negative	8.5e-05
6b	Random negative	0.127542
6b	Random negative	0.999738
6b	Random negative	0.999812
6b	Random negative	0.999595
6b	Random negative	6e-05
6b	Random negative	0.00013
6b	Random negative	0.000178
6b	Random negative	0.00019
6b	Random negative	0.000313
6b	Random negative	0.038931
6b	Random negative	5.9e-05
6b	Random negative	0.993566
6b	Random negative	0.000254
6b	Random negative	0.999293
6b	Random negative	0.000472
6b	Random negative	0.230468
6b	Random negative	0.999943
6b	Random negative	0.991096
6b	Random negative	9.1e-05
6b	Random negative	0.000226
6b	Random negative	0.499174
6b	Random negative	0.524766
6b	Random negative	0.000285
6b	Random negative	0.999659
6b	Random negative	0.000128
6b	Random negative	0.916212
6b	Random negative	0.81062
6b	Random negative	0.998136
6b	Random negative	0.000217
6b	Random negative	0.991119
6b	Random negative	9.6e-05
6b	Random negative	0.002385
6b	Random negative	9.2e-05
6b	Random negative	0.000559
6b	Random negative	0.798322
6b	Random negative	0.000341
6b	Random negative	0.956518
6b	Random negative	0.473541
6b	Random negative	6.2e-05
6b	Random negative	8.5e-05
6b	Random negative	0.00033
6b	Random negative	0.001852
6b	Random negative	0.000226
6b	Random negative	0.998938
6b	Random negative	0.996496
6b	Random negative	0.000509
6b	Random negative	0.000113
6b	Random negative	0.001891
6b	Random negative	5.3e-05
6b	Random negative	5.8e-05
6b	Random negative	0.014747
6b	Random negative	0.063108
6b	Random negative	6e-05
6b	Random negative	0.000719
6b	Random negative	0.001034
6b	Random negative	8.6e-05
6b	Random negative	0.000665
6b	Random negative	7.9e-05
6b	Random negative	0.002018
6b	Random negative	0.00062
6b	Random negative	0.003048
6b	Random negative	0.013339
6b	Random negative	0.998119
6b	Random negative	0.056628
6b	Random negative	9.6e-05
6b	Random negative	0.00011
6b	Random negative	0.214041
6b	Random negative	0.006133
6b	Random negative	0.000121
6b	Random negative	0.0027
6b	Random negative	0.999821
6b	Random negative	0.999942
6b	Random negative	0.000109
6b	Random negative	0.999938
6b	Random negative	7.5e-05
6b	Random negative	0.999807
6b	Random negative	0.000129
6b	Random negative	9.8e-05
6b	Random negative	0.999535
6b	Random negative	0.000868
6b	Random negative	5.8e-05
6b	Random negative	0.999885
6b	Random negative	0.999886
6b	Random negative	6.3e-05
6b	Random negative	0.994549
6b	Random negative	6.8e-05
6b	Random negative	0.000208
6b	Random negative	6.9e-05
6b	Random negative	0.999936
6b	Random negative	0.130633
6b	Random negative	0.997246
6b	Random negative	0.957985
6b	Random negative	0.000971
6b	Random negative	0.005395
6b	Random negative	0.000103
6b	Random negative	0.000105
6b	Random negative	0.000109
6b	Random negative	0.000143
6b	Random negative	0.999878
6b	Random negative	0.001978
6b	Random negative	5.9e-05
6b	Random negative	0.002566
6b	Random negative	0.000567
6b	Random negative	0.999945
6b	Random negative	0.999936
6b	Random negative	0.008913
6b	Random negative	0.000532
6b	Random negative	0.000963
6b	Random negative	0.999926
6b	Random negative	0.000781
6b	Random negative	0.000215
6b	Random negative	7.1e-05
6b	Random negative	0.001179
6b	Random negative	6.6e-05
6b	Random negative	0.000108
6b	Random negative	0.99994
6b	Random negative	9e-05
6b	Random negative	0.000434
6b	Random negative	0.010949
6b	Random negative	0.001213
6b	Random negative	8.9e-05
6b	Random negative	0.998852
6b	Random negative	0.000334
6b	Random negative	6.5e-05
6b	Random negative	0.141833
6b	Random negative	0.000107
6b	Random negative	0.999849
6b	Random negative	0.025983
6b	Random negative	0.981203
6b	Random negative	0.091095
6b	Random negative	0.316365
6b	Random negative	6.4e-05
6b	Random negative	0.000276
6b	Random negative	0.098118
6b	Random negative	0.345849
6b	Random negative	0.007004
6b	Random negative	0.999853
6b	Random negative	6e-05
6b	Random negative	0.999929
6b	Random negative	0.998661
6b	Random negative	0.742449
6b	Random negative	0.009033
6b	Random negative	0.983358
6b	Random negative	0.064788
6b	Random negative	0.000396
6b	Random negative	0.000543
6b	Random negative	0.000116
6b	Random negative	0.119735
6b	Random negative	0.999895
6b	Random negative	0.999143
6b	Random negative	0.987597
6b	Random negative	0.283655
6b	Random negative	0.999508
6b	Random negative	0.146749
6b	Random negative	0.595127
6b	Random negative	0.001886
6b	Random negative	0.999904
6b	Random negative	0.186144
6b	Random negative	0.62194
6b	Random negative	0.00041
6b	Random negative	0.000347
6b	Random negative	6.6e-05
6b	Random negative	0.998908
6b	Random negative	0.000229
6b	Random negative	0.218683
6b	Random negative	0.999896
6b	Random negative	0.999534
6b	Random negative	0.005713
6b	Random negative	0.999875
6b	Random negative	0.002131
6b	Random negative	0.860193
6b	Random negative	0.000121
6b	Random negative	0.858827
6b	Random negative	0.000152
6b	Random negative	0.995288
6b	Random negative	0.000165
6b	Random negative	0.99906
6b	Random negative	7.4e-05
6b	Random negative	0.999856
6b	Random negative	0.000134
6b	Random negative	6.7e-05
6b	Random negative	0.002116
6b	Random negative	0.999398
6b	Random negative	0.997053
6b	Random negative	8.3e-05
6b	Random negative	7.5e-05
6b	Random negative	6.7e-05
6b	Random negative	0.000261
6b	Random negative	0.884745
6b	Random negative	0.965797
6b	Random negative	0.000734
6b	Random negative	0.000196
6b	Random negative	0.996876
6b	Random negative	0.998778
6b	Random negative	0.000183
6b	Random negative	0.992805
6b	Random negative	6.9e-05
6b	Random negative	0.000393
6b	Random negative	9.7e-05
6b	Random negative	6.4e-05
6b	Random negative	0.00888
6b	Random negative	0.000112
6b	Random negative	0.000114
6b	Random negative	7.6e-05
6b	Random negative	0.00015
6b	Random negative	0.043271
6b	Random negative	0.998751
6b	Random negative	0.00263
6b	Random negative	0.002584
6b	Random negative	0.999934
6b	Random negative	0.000509
6b	Random negative	6.1e-05
6b	Random negative	0.062096
6b	Random negative	8.6e-05
6b	Random negative	6e-05
6b	Random negative	0.000227
6b	Random negative	0.004932
6b	Random negative	5.5e-05
6b	Random negative	0.192623
6b	Random negative	0.000132
6b	Random negative	0.999916
6b	Random negative	0.000109
6b	Random negative	7.3e-05
6b	Random negative	0.000506
6b	Random negative	0.000978
6b	Random negative	0.997479
6b	Random negative	0.999882
6b	Random negative	7.5e-05
6b	Random negative	0.00029
6b	Random negative	0.999912
6b	Random negative	0.00056
6b	Random negative	0.999713
6b	Random negative	7.6e-05
6b	Random negative	0.009114
6b	Random negative	0.000382
6b	Random negative	6.3e-05
6b	Random negative	0.166686
6b	Random negative	0.999303
6b	Random negative	9.4e-05
6b	Random negative	0.988776
6b	Random negative	0.000775
6b	Random negative	0.001821
6b	Random negative	0.000453
6b	Random negative	0.682708
6b	Random negative	0.005298
6b	Random negative	7.5e-05
6b	Random negative	0.052937
6b	Random negative	0.997586
6b	Random negative	0.0001
6b	Random negative	0.056323
6b	Random negative	9.5e-05
6b	Random negative	0.000416
6b	Random negative	0.999351
6b	Random negative	0.999946
6b	Random negative	7e-05
6b	Random negative	0.999726
6b	Random negative	0.99993
6b	Random negative	0.981343
6b	Random negative	0.000541
6b	Random negative	0.001385
6b	Random negative	0.081323
6b	Random negative	5.1e-05
6b	Random negative	0.842077
6b	Random negative	9.9e-05
6b	Random negative	0.000274
6b	Random negative	0.012747
6b	Random negative	0.011217
6b	Random negative	0.999582
6b	Random negative	0.99991
6b	Random negative	0.049102
6b	Random negative	0.000934
6b	Random negative	7.3e-05
6b	Random negative	0.002908
6b	Random negative	0.996467
6b	Random negative	0.000162
6b	Random negative	0.99977
6b	Random negative	0.000141
6b	Random negative	0.999104
6b	Random negative	0.031256
6b	Random negative	0.000119
6b	Random negative	0.999921
6b	Random negative	6.5e-05
6b	Random negative	5.4e-05
6b	Random negative	0.977798
6b	Random negative	0.000124
6b	Random negative	0.028164
6b	Random negative	6.5e-05
6b	Random negative	4.7e-05
6b	Random negative	9.3e-05
6b	Random negative	0.014394
6b	Random negative	0.999867
6b	Random negative	0.004362
6b	Random negative	0.999153
6b	Random negative	0.768668
6b	Random negative	0.001563
6b	Random negative	0.982082
6b	Random negative	7.3e-05
6b	Random negative	0.973025
6b	Random negative	0.999064
6b	Random negative	0.000199
6b	Random negative	0.001597
6b	Random negative	0.999893
6b	Random negative	0.34995
6b	Random negative	0.002319
6b	Random negative	0.000368
6b	Random negative	0.999712
6b	Random negative	0.524092
6b	Random negative	0.99991
6b	Random negative	9.2e-05
6b	Random negative	0.009463
6b	Random negative	0.999798
6b	Random negative	0.024368
6b	Random negative	0.003166
6b	Random negative	0.939152
6b	Random negative	0.999814
6b	Random negative	0.999337
6b	Random negative	0.99923
6b	Random negative	9e-05
6b	Random negative	0.044431
6b	Random negative	0.013106
6b	Random negative	0.998973
6b	Random negative	0.000283
6b	Random negative	8.8e-05
6b	Random negative	0.005373
6b	Random negative	5.9e-05
6b	Random negative	0.998719
6b	Random negative	5.4e-05
6b	Random negative	4.7e-05
6b	Random negative	0.008368
6b	Random negative	0.84841
6b	Random negative	0.999576
6b	Random negative	0.000251
6b	Random negative	8.7e-05
6b	Random negative	0.000839
6b	Random negative	7.4e-05
6b	Random negative	6.4e-05
6b	Random negative	7e-05
6b	Random negative	0.99994
6b	Random negative	0.999843
6b	Random negative	0.999068
6b	Random negative	0.017464
6b	Random negative	0.000489
6b	Random negative	0.997977
6b	Random negative	0.999683
6b	Random negative	0.999865
6b	Random negative	0.000221
6b	Random negative	0.999826
6b	Random negative	0.000226
6b	Random negative	0.999907
6b	Random negative	0.999937
6b	Random negative	0.00012
6b	Random negative	0.051522
6b	Random negative	6.8e-05
6b	Random negative	0.000198
6b	Random negative	9e-05
6b	Random negative	5.3e-05
6b	Random negative	0.001131
6b	Random negative	0.009678
6b	Random negative	0.960038
6b	Random negative	8.8e-05
6b	Random negative	6.9e-05
6b	Random negative	9.6e-05
6b	Random negative	8.4e-05
6b	Random negative	0.00197
6b	Random negative	0.999777
6b	Random negative	0.999819
6b	Random negative	0.952627
6b	Random negative	0.009501
6b	Random negative	0.000209
6b	Random negative	0.999666
6b	Random negative	0.000639
6b	Random negative	0.000127
6b	Random negative	0.999909
6b	Random negative	0.000155
6b	Random negative	0.006715
6b	Random negative	0.015569
6b	Random negative	0.009018
6b	Random negative	0.975243
6b	Random negative	0.998942
6b	Random negative	0.999916
6b	Random negative	0.000741
6b	Random negative	5.5e-05
6b	Random negative	0.999918
6b	Random negative	8.2e-05
6b	Random negative	0.000395
6b	Random negative	0.134026
6b	Random negative	5.4e-05
6b	Random negative	0.002568
6b	Random negative	0.001468
6b	Random negative	9e-05
6b	Random negative	6.8e-05
6b	Random negative	0.000127
6b	Random negative	0.999844
6b	Random negative	7.2e-05
6b	Random negative	9.3e-05
6b	Random negative	0.002022
6b	Random negative	6.9e-05
6b	Random negative	0.999798
6b	Random negative	0.000185
6b	Random negative	0.817258
6b	Random negative	0.735624
6b	Random negative	0.999415
6b	Random negative	0.99973
6b	Random negative	0.000996
6b	Random negative	0.993129
6b	Random negative	0.000129
6b	Random negative	0.999606
6b	Random negative	0.000366
6b	Random negative	0.99994
6b	Random negative	5.2e-05
6b	Random negative	0.002239
6b	Random negative	0.000111
6b	Random negative	0.000141
6b	Random negative	7.2e-05
6b	Random negative	0.000414
6b	Random negative	0.999935
6b	Random negative	0.854361
6b	Random negative	8.8e-05
6b	Random negative	0.006861
6b	Random negative	0.000163
6b	Random negative	0.000591
6b	Random negative	0.999884
6b	Random negative	0.999875
6b	Random negative	0.506737
6b	Random negative	0.000311
6b	Random negative	0.999916
6b	Random negative	0.999917
6b	Random negative	0.009086
6b	Random negative	0.99986
6b	Random negative	6.7e-05
6b	Random negative	0.001642
6b	Random negative	0.000151
6b	Random negative	0.000108
6b	Random negative	0.00026
6b	Random negative	0.000165
6b	Random negative	0.024229
6b	Random negative	6.6e-05
6b	Random negative	0.002328
6b	Random negative	0.015303
6b	Random negative	0.9983
6b	Random negative	0.000121
6b	Random negative	0.95204
6b	Random negative	5.9e-05
6b	Random negative	6.9e-05
6b	Random negative	0.000172
6b	Random negative	0.051235
6b	Random negative	0.000641
6b	Random negative	0.000765
6b	Random negative	9.7e-05
6b	Random negative	0.603217
6b	Random negative	0.063452
6b	Random negative	0.999469
6b	Random negative	5.9e-05
6b	Random negative	0.990903
6b	Random negative	0.885105
6b	Random negative	0.000273
6b	Random negative	0.000217
6b	Random negative	0.000126
6b	Random negative	0.000181
6b	Random negative	0.906297
6b	Random negative	0.999441
6b	Random negative	0.99983
6b	Random negative	0.000144
6b	Random negative	0.006438
6b	Random negative	0.997737
6b	Random negative	0.00264
6b	Random negative	6.5e-05
6b	Random negative	0.000167
6b	Random negative	0.003987
6b	Random negative	0.965739
6b	Random negative	6.6e-05
6b	Random negative	0.999929
6b	Random negative	0.999492
6b	Random negative	0.02932
6b	Random negative	0.991849
6b	Random negative	0.000122
6b	Random negative	0.999798
6b	Random negative	0.002093
6b	Random negative	0.20301
6b	Random negative	0.000635
6b	Random negative	0.004464
6b	Random negative	7.2e-05
6b	Random negative	0.99765
6b	Random negative	7.4e-05
6b	Random negative	0.000295
6b	Random negative	0.999743
6b	Random negative	0.996807
6b	Random negative	4.6e-05
6b	Random negative	0.999526
6b	Random negative	0.000494
6b	Random negative	0.998991
6b	Random negative	0.180178
6b	Random negative	0.030855
6b	Random negative	0.000356
6b	Random negative	0.995362
6b	Random negative	0.001204
6b	Random negative	0.071233
6b	Random negative	0.00013
6b	Random negative	0.000351
6b	Random negative	0.000186
6b	Random negative	0.999756
6b	Random negative	0.669242
6b	Random negative	0.070799
6b	Random negative	0.997136
6b	Random negative	0.000119
6b	Random negative	0.999489
6b	Random negative	8e-05
6b	Random negative	0.000104
6b	Random negative	0.999841
6b	Random negative	0.147955
6b	Random negative	0.999831
6b	Random negative	9.6e-05
6b	Random negative	0.999858
6b	Random negative	0.999927
6b	Random negative	0.999813
6b	Random negative	0.000135
6b	Random negative	0.999847
6b	Random negative	6e-05
6b	Random negative	6.4e-05
6b	Random negative	0.000586
6b	Random negative	7.1e-05
6b	Random negative	0.9995
6b	Random negative	0.015343
6b	Random negative	0.279254
6b	Random negative	0.999919
6b	Random negative	0.000275
6b	Random negative	0.000847
6b	Random negative	0.001827
6b	Random negative	0.054734
6b	Random negative	0.000254
6b	Random negative	0.999383
6b	Random negative	0.999922
6b	Random negative	0.999425
6b	Random negative	0.000124
6b	Random negative	0.0045
6b	Random negative	0.000729
6b	Random negative	0.041148
6b	Random negative	7.8e-05
6b	Random negative	0.99985
6b	Random negative	0.99896
6b	Random negative	0.999933
6b	Random negative	0.999877
6b	Random negative	0.00035
6b	Random negative	0.996345
6b	Random negative	8.3e-05
6b	Random negative	9.2e-05
6b	Random negative	0.998784
6b	Random negative	0.999821
6b	Random negative	0.000145
6b	Random negative	0.000332
6b	Random negative	0.032754
6b	Random negative	0.000184
6b	Random negative	0.22726
6b	Random negative	0.000147
6b	Random negative	0.000104
6b	Random negative	0.000137
6b	Random negative	0.053428
6b	Random negative	0.997178
6b	Random negative	8e-05
6b	Random negative	0.997552
6b	Random negative	0.710384
6b	Random negative	6.3e-05
6b	Random negative	0.001569
6b	Random negative	0.993186
6b	Random negative	0.06685
6b	Random negative	0.999824
6b	Random negative	7.3e-05
6b	Random negative	0.855394
6b	Random negative	0.999638
6b	Random negative	0.279702
6b	Random negative	0.00952
6b	Random negative	0.999872
6b	Random negative	0.00012
6b	Random negative	5.5e-05
6b	Random negative	0.000186
6b	Random negative	0.999912
6b	Random negative	0.001847
6b	Random negative	0.000498
6b	Random negative	0.002577
6b	Random negative	0.995645
6b	Random negative	0.000311
6b	Random negative	0.999935
6b	Random negative	0.002368
6b	Random negative	0.999813
6b	Random negative	0.986567
6b	Random negative	0.999898
6b	Random negative	0.999815
6b	Random negative	0.985195
6b	Random negative	0.030463
6b	Random negative	0.997274
6b	Random negative	0.996347
6b	Random negative	0.000317
6b	Random negative	0.999927
6b	Random negative	0.000338
6b	Random negative	0.999929
6b	Random negative	6.9e-05
6b	Random negative	0.000139
6b	Random negative	0.041887
6b	Random negative	6.8e-05
6b	Random negative	0.577524
6b	Random negative	0.019066
6b	Random negative	8.2e-05
6b	Random negative	0.138279
6b	Random negative	0.002712
6b	Random negative	0.000129
6b	Random negative	0.000341
6b	Random negative	6.6e-05
6b	Random negative	0.999892
6b	Random negative	0.00019
6b	Random negative	0.006048
6b	Random negative	0.000349
6b	Random negative	0.00017
6b	Random negative	0.998629
6b	Random negative	0.999547
6b	Random negative	0.001412
6b	Random negative	6.5e-05
6b	Random negative	0.985357
6b	Random negative	0.067189
6b	Random negative	0.997191
6b	Random negative	0.000882
6b	Random negative	0.380378
6b	Random negative	0.999951
6b	Random negative	0.000108
6b	Random negative	5.1e-05
6b	Random negative	0.000595
6b	Random negative	0.00039
6b	Random negative	0.998998
6b	Random negative	0.024281
6b	Random negative	0.996958
6b	Random negative	0.714984
6b	Random negative	0.000427
6b	Random negative	6.1e-05
6b	Random negative	8.1e-05
6b	Random negative	0.000398
6b	Random negative	0.000126
6b	Random negative	0.007519
6b	Random negative	8.4e-05
6b	Random negative	0.000189
6b	Random negative	0.965839
6b	Random negative	0.999151
6b	Random negative	5.9e-05
6b	Random negative	0.999938
6b	Random negative	0.961866
6b	Random negative	0.999839
6b	Random negative	0.999861
6b	Random negative	0.000788
6b	Random negative	0.044086
6b	Random negative	0.010571
6b	Random negative	0.029948
